,Team,Margin_Of_Victory,Simple_Rating_System,Offensive_Rating,Defensive_Rating,Net_Rating,Pace,Free_Throw_Rate,3_Pt_Rate,Turnover_Percentage,Offensive_Rebound_Percentage,Opponent_EFG,Opponent_Turnover_Percentage,Opponent_Defensive_Rebound_Percentage,Team_ID
0,GOLDEN_STATE_WARRIORS,11.63,11.35,115.6,104.0,11.6,99.8,0.259,0.359,13.2,22.8,0.486,13.5,74.9,9
1,SAN_ANTONIO_SPURS,7.2,7.13,111.1,103.5,7.6,94.2,0.263,0.281,12.6,24.0,0.49200000000000005,13.5,77.6,26
2,HOUSTON_ROCKETS,5.77,5.84,114.7,109.0,5.7,100.0,0.304,0.462,13.3,24.6,0.519,13.2,75.8,10
3,LOS_ANGELES_CLIPPERS,4.29,4.42,112.7,108.2,4.5,96.1,0.312,0.32899999999999996,12.0,21.5,0.506,12.1,76.9,12
4,UTAH_JAZZ,3.94,4.0,109.6,105.3,4.3,91.6,0.28800000000000003,0.327,13.2,23.2,0.493,11.8,78.9,28
5,TORONTO_RAPTORS,4.21,3.65,112.3,107.8,4.5,94.7,0.293,0.289,11.8,25.0,0.507,13.5,76.3,27
6,CLEVELAND_CAVALIERS,3.18,2.87,113.6,110.3,3.3,96.2,0.275,0.39899999999999997,12.6,21.9,0.516,11.4,75.8,5
7,BOSTON_CELTICS,2.63,2.25,111.2,108.4,2.8,96.8,0.273,0.39299999999999996,12.2,21.2,0.503,12.6,75.3,1
8,WASHINGTON_WIZARDS,1.8,1.36,111.2,109.3,1.9,97.4,0.254,0.284,12.8,24.1,0.524,13.8,75.5,29
9,OKLAHOMA_CITY_THUNDER,0.76,1.14,108.3,107.5,0.8,97.8,0.295,0.295,13.2,27.9,0.511,12.5,79.0,20
10,MEMPHIS_GRIZZLIES,0.49,0.96,107.7,107.1,0.6,92.3,0.28,0.316,12.1,24.8,0.506,13.6,77.5,14
11,MIAMI_HEAT,1.06,0.77,107.8,106.7,1.1,95.2,0.251,0.314,12.4,24.2,0.496,12.6,76.4,15
12,DENVER_NUGGETS,0.51,0.7,113.2,112.7,0.5,98.3,0.276,0.32899999999999996,13.2,27.3,0.532,10.9,78.7,7
13,CHICAGO_BULLS,0.43,0.03,107.4,107.0,0.4,95.3,0.259,0.256,12.3,27.0,0.507,12.4,76.8,4
14,CHARLOTTE_HORNETS,0.2,-0.07,108.8,108.6,0.2,95.7,0.27899999999999997,0.335,10.7,19.9,0.523,12.1,79.6,3
15,PORTLAND_TRAIL_BLAZERS,-0.52,-0.23,110.3,110.8,-0.5,96.7,0.275,0.322,12.5,23.0,0.508,11.6,76.8,24
16,MILWAUKEE_BUCKS,-0.18,-0.45,109.1,109.3,-0.2,94.5,0.27399999999999997,0.29,13.2,21.5,0.518,13.6,75.4,16
17,INDIANA_PACERS,-0.22,-0.64,108.6,108.8,-0.2,95.9,0.261,0.272,12.8,21.2,0.512,13.6,75.5,11
18,MINNESOTA_TIMBERWOLVES,-1.11,-0.64,110.8,112.0,-1.2,94.6,0.287,0.249,12.9,27.2,0.535,13.2,75.9,17
19,ATLANTA_HAWKS,-0.85,-1.23,104.9,105.7,-0.8,97.4,0.295,0.309,14.2,23.6,0.507,13.8,76.1,0
20,DETROIT_PISTONS,-1.12,-1.29,106.0,107.1,-1.1,95.0,0.218,0.263,10.9,24.1,0.516,12.1,81.2,8
21,NEW_ORLEANS_PELICANS,-2.1,-1.69,105.2,107.4,-2.2,98.0,0.256,0.308,11.7,18.5,0.509,12.4,76.8,18
22,DALLAS_MAVERICKS,-2.93,-2.53,105.6,108.8,-3.2,92.2,0.225,0.366,11.6,18.1,0.529,14.4,77.6,6
23,SACRAMENTO_KINGS,-3.88,-3.29,107.3,111.3,-4.0,94.9,0.284,0.29100000000000004,13.7,21.0,0.528,12.9,76.3,25
24,NEW_YORK_KNICKS,-3.67,-3.87,107.7,111.5,-3.8,96.0,0.239,0.27899999999999997,12.4,26.6,0.511,11.7,74.1,19
25,PHOENIX_SUNS,-5.63,-5.14,106.6,112.2,-5.6,100.3,0.297,0.255,13.4,26.0,0.525,13.1,76.4,23
26,PHILADELPHIA_76ERS,-5.7,-5.83,103.2,108.9,-5.7,98.5,0.258,0.349,14.9,22.4,0.512,13.5,75.3,22
27,LOS_ANGELES_LAKERS,-6.88,-6.29,106.0,113.0,-7.0,98.5,0.259,0.295,13.5,25.0,0.542,13.0,75.8,13
28,ORLANDO_MAGIC,-6.57,-6.61,103.7,110.5,-6.8,96.8,0.24600000000000002,0.3,12.1,21.6,0.523,11.9,77.4,21
29,BROOKLYN_NETS,-6.73,-6.74,104.1,110.7,-6.6,101.3,0.289,0.371,14.7,19.6,0.513,11.6,76.1,2
