,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.2,Location.AWAY,PHILADELPHIA_76ERS,22,3,804,1,2,1,1,0,0,0,1,0,0,0,2,-0.9
1,2016-10-30,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.0,Location.HOME,LOS_ANGELES_LAKERS,13,5,109,1,1,0,0,3,3,0,0,0,1,0,0,5.7
2,2016-11-02,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,6,474,2,2,2,2,0,0,0,0,0,0,0,2,3.4
3,2016-11-03,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.1,Location.AWAY,GOLDEN_STATE_WARRIORS,9,5,1160,1,6,1,6,2,2,1,2,1,0,0,0,3.2
4,2016-11-05,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.4,Location.HOME,MINNESOTA_TIMBERWOLVES,17,1,1036,0,1,0,0,1,1,0,2,2,1,0,0,2.9
5,2016-11-07,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.4,Location.HOME,MIAMI_HEAT,15,5,1019,2,9,1,7,0,0,1,1,0,1,0,2,-1.3
6,2016-11-09,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.HOME,TORONTO_RAPTORS,27,3,290,1,1,1,1,0,0,0,0,0,0,0,1,1.7
7,2016-11-11,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.2,Location.HOME,LOS_ANGELES_CLIPPERS,12,3,776,1,2,0,1,1,2,0,1,0,0,0,1,0.1
8,2016-11-13,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.6,Location.HOME,ORLANDO_MAGIC,21,7,1135,3,7,1,4,0,0,0,3,0,0,0,1,2.0
9,2016-11-14,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.7,Location.AWAY,DETROIT_PISTONS,8,5,1040,1,7,1,5,2,2,0,1,1,0,0,1,-0.3
10,2016-11-16,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.5,Location.HOME,HOUSTON_ROCKETS,10,7,870,2,4,2,3,1,1,0,0,1,1,0,0,6.7
11,2016-11-18,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.4,Location.HOME,BROOKLYN_NETS,2,10,1326,4,10,2,7,0,0,0,2,0,0,0,1,3.8
12,2016-11-20,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.5,Location.HOME,INDIANA_PACERS,11,8,1354,4,9,0,4,0,0,0,0,1,1,0,1,4.0
13,2016-11-22,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.5,Location.AWAY,LOS_ANGELES_LAKERS,13,0,409,0,2,0,1,0,0,0,0,1,0,1,0,0.0
14,2016-11-23,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],-1.0,Location.AWAY,SACRAMENTO_KINGS,25,0,231,0,2,0,2,0,0,0,0,0,0,0,1,-2.4
15,2016-11-26,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,DETROIT_PISTONS,8,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16,2016-12-11,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,BOSTON_CELTICS,1,0,312,0,0,0,0,0,0,0,0,0,0,0,0,-0.8
17,2016-12-13,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.9,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,5,803,2,7,1,5,0,0,0,2,1,0,0,0,1.8
18,2016-12-14,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.AWAY,UTAH_JAZZ,28,3,169,1,2,1,2,0,0,0,0,0,0,0,0,2.0
19,2016-12-17,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.HOME,PHOENIX_SUNS,23,0,748,0,2,0,2,0,0,1,0,0,0,0,0,-1.1
20,2016-12-19,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.2,Location.HOME,ATLANTA_HAWKS,0,9,1035,3,8,1,5,2,2,0,1,0,1,0,0,5.1
21,2016-12-21,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.1,Location.AWAY,NEW_ORLEANS_PELICANS,18,18,1777,6,12,5,11,1,2,0,3,1,1,0,2,11.4
22,2016-12-23,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.9,Location.AWAY,BOSTON_CELTICS,1,3,370,1,2,1,1,0,0,2,0,1,0,0,0,3.7
23,2016-12-25,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.4,Location.HOME,MINNESOTA_TIMBERWOLVES,17,10,1241,3,9,3,7,1,1,0,2,0,1,0,0,5.3
24,2016-12-27,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.4,Location.AWAY,MIAMI_HEAT,15,14,1346,5,9,4,7,0,0,1,1,0,0,1,0,9.8
25,2016-12-29,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.6,Location.AWAY,MEMPHIS_GRIZZLIES,14,10,1591,2,11,2,8,4,4,2,1,0,0,0,2,2.8
26,2016-12-31,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.2,Location.HOME,LOS_ANGELES_CLIPPERS,12,12,706,4,5,4,5,0,0,0,1,0,2,1,0,12.3
27,2017-01-02,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.9,Location.AWAY,MILWAUKEE_BUCKS,16,6,832,2,6,2,4,0,0,1,1,1,1,0,0,4.5
28,2017-01-04,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.2,Location.AWAY,CHARLOTTE_HORNETS,3,6,1275,2,6,2,5,0,0,0,1,0,2,0,0,3.3
29,2017-01-05,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.4,Location.AWAY,HOUSTON_ROCKETS,10,3,1026,1,2,0,1,1,2,1,1,0,0,0,0,1.8
30,2017-01-07,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.9,Location.HOME,DENVER_NUGGETS,7,7,1171,1,4,1,3,4,4,0,2,3,1,0,0,7.1
31,2017-01-09,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.4,Location.AWAY,CHICAGO_BULLS,4,7,1133,3,6,1,3,0,0,0,2,2,0,1,1,5.7
32,2017-01-11,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.0,Location.HOME,MEMPHIS_GRIZZLIES,14,6,994,2,3,2,3,0,0,0,0,0,0,0,0,3.5
33,2017-01-13,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],-1.0,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,0,253,0,1,0,0,0,0,0,0,0,0,0,1,-2.5
34,2017-01-15,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.1,Location.AWAY,SACRAMENTO_KINGS,25,13,1028,3,5,3,4,4,5,1,2,1,1,0,2,9.7
35,2017-01-16,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.5,Location.AWAY,LOS_ANGELES_CLIPPERS,12,4,812,1,4,0,1,2,3,0,0,1,1,0,1,0.3
36,2017-01-18,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.2,Location.AWAY,GOLDEN_STATE_WARRIORS,9,2,820,1,1,0,0,0,0,0,1,0,1,0,0,2.6
37,2017-01-23,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.2,Location.AWAY,UTAH_JAZZ,28,3,799,1,4,1,4,0,0,0,1,0,0,0,0,0.5
38,2017-01-25,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.0,Location.AWAY,NEW_ORLEANS_PELICANS,18,11,1109,4,5,2,2,1,1,0,0,0,1,1,0,9.6
39,2017-01-26,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.5,Location.HOME,DALLAS_MAVERICKS,6,5,983,1,3,1,3,2,2,0,0,1,0,0,0,4.0
40,2017-01-29,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.AWAY,CLEVELAND_CAVALIERS,5,0,460,0,1,0,1,0,0,0,0,1,0,0,0,0.0
41,2017-02-06,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.2,Location.AWAY,INDIANA_PACERS,11,6,464,2,4,2,4,0,0,1,0,0,0,0,1,2.9
42,2017-02-09,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.7,Location.HOME,CLEVELAND_CAVALIERS,5,2,566,1,2,0,1,0,0,0,1,3,1,0,0,3.6
43,2017-02-11,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,2,544,0,0,0,0,2,2,0,0,0,1,0,0,3.0
44,2017-02-13,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.4,Location.AWAY,WASHINGTON_WIZARDS,29,8,1214,2,7,2,6,2,2,0,2,0,1,0,0,4.3
45,2017-02-15,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.2,Location.HOME,NEW_YORK_KNICKS,19,5,934,2,5,1,2,0,0,0,1,0,0,0,0,1.8
46,2017-02-24,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.6,Location.HOME,LOS_ANGELES_LAKERS,13,19,1752,7,13,5,11,0,0,0,3,0,0,0,0,11.6
47,2017-02-26,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.1,Location.HOME,NEW_ORLEANS_PELICANS,18,13,2099,4,12,3,7,2,2,1,2,1,0,0,0,6.6
48,2017-02-28,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.0,Location.HOME,UTAH_JAZZ,28,11,1589,4,4,3,3,0,0,0,0,0,0,0,0,8.6
49,2017-03-02,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.0,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,6,586,2,3,2,2,0,0,0,0,0,0,0,0,2.7
50,2017-03-03,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.2,Location.AWAY,PHOENIX_SUNS,23,13,1951,5,11,3,8,0,0,0,1,0,1,0,1,6.0
51,2017-03-05,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.AWAY,DALLAS_MAVERICKS,6,0,611,0,3,0,2,0,0,0,0,2,0,0,0,-1.5
52,2017-03-07,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.7,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,5,750,2,5,1,3,0,0,0,1,1,0,0,0,2.5
53,2017-03-09,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.6,Location.HOME,SAN_ANTONIO_SPURS,26,3,723,1,6,1,5,0,0,1,2,0,2,0,0,2.1
54,2017-03-11,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.5,Location.HOME,UTAH_JAZZ,28,5,919,2,3,1,1,0,0,0,0,1,0,0,0,4.0
55,2017-03-14,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],30.1,Location.AWAY,BROOKLYN_NETS,2,13,1554,5,7,3,5,0,0,0,3,3,2,1,0,15.4
56,2017-03-16,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.4,Location.AWAY,TORONTO_RAPTORS,27,10,1212,3,7,2,6,2,2,0,2,2,2,0,1,8.9
57,2017-03-18,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.2,Location.HOME,SACRAMENTO_KINGS,25,2,691,1,3,0,2,0,0,0,1,0,0,0,0,0.2
58,2017-03-20,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.6,Location.HOME,GOLDEN_STATE_WARRIORS,9,2,1173,0,8,0,7,2,2,0,3,2,2,0,0,-0.5
59,2017-03-22,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.6,Location.HOME,PHILADELPHIA_76ERS,22,5,1450,1,6,1,5,2,2,0,3,0,1,1,1,2.0
60,2017-03-26,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.0,Location.AWAY,HOUSTON_ROCKETS,10,11,1640,4,10,3,9,0,0,0,0,2,3,0,1,8.2
61,2017-03-27,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.4,Location.AWAY,DALLAS_MAVERICKS,6,0,411,0,2,0,1,0,0,0,2,0,0,0,1,-2.6
62,2017-03-29,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.7,Location.AWAY,ORLANDO_MAGIC,21,6,1304,2,8,2,6,0,0,1,0,1,2,0,0,3.8
63,2017-03-31,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.5,Location.HOME,SAN_ANTONIO_SPURS,26,5,824,2,5,1,2,0,0,0,0,1,0,0,1,2.0
64,2017-04-02,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.4,Location.HOME,CHARLOTTE_HORNETS,3,0,791,0,4,0,4,0,0,0,2,0,0,0,1,-4.0
65,2017-04-04,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.2,Location.HOME,MILWAUKEE_BUCKS,16,12,704,4,6,4,6,0,0,0,1,0,0,0,1,8.7
66,2017-04-11,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.0,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,6,881,2,3,2,2,0,0,0,0,0,1,1,1,5.4
67,2017-04-12,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.7,Location.HOME,DENVER_NUGGETS,7,11,1098,4,11,3,6,0,0,3,3,1,0,0,1,7.2
68,2017-10-19,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.6,Location.HOME,NEW_YORK_KNICKS,19,3,1455,1,5,1,5,0,0,0,3,0,1,0,2,-1.4
69,2017-10-21,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.3,Location.AWAY,UTAH_JAZZ,28,7,1744,2,6,1,4,2,2,2,2,1,1,0,0,6.9
70,2017-10-22,abrinal01,Álex Abrines,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,4,860,2,2,0,0,0,0,0,0,0,1,0,0,2.8
