,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-01-19,adelde01,Deng Adel,5,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.4,Location.AWAY,DENVER_NUGGETS,7,3,308,1,1,1,1,0,0,1,1,0,0,0,0,3.7
1,2019-01-21,adelde01,Deng Adel,5,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.HOME,CHICAGO_BULLS,4,0,340,0,0,0,0,0,0,0,1,0,0,0,0,-0.1
2,2019-01-23,adelde01,Deng Adel,5,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.0,Location.AWAY,BOSTON_CELTICS,1,0,163,0,0,0,0,0,0,0,0,0,0,1,0,0.7
3,2019-01-25,adelde01,Deng Adel,5,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.4,Location.HOME,MIAMI_HEAT,15,2,876,1,2,0,1,0,0,0,2,0,1,0,2,0.6
4,2019-01-27,adelde01,Deng Adel,5,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.7,Location.AWAY,CHICAGO_BULLS,4,6,634,2,3,2,2,0,0,0,1,1,0,1,0,6.4
5,2019-01-29,adelde01,Deng Adel,5,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.7000000000000002,Location.HOME,WASHINGTON_WIZARDS,29,0,880,0,2,0,1,0,0,1,0,1,0,0,1,-1.8
6,2019-02-02,adelde01,Deng Adel,5,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.2,Location.HOME,DALLAS_MAVERICKS,6,4,864,1,3,0,2,2,2,0,1,0,0,0,0,1.4
7,2019-02-05,adelde01,Deng Adel,5,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.4,Location.HOME,BOSTON_CELTICS,1,2,1498,1,4,0,3,0,0,0,2,2,0,0,0,1.2
8,2019-02-08,adelde01,Deng Adel,5,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.4,Location.AWAY,WASHINGTON_WIZARDS,29,5,2158,2,8,1,5,0,0,0,2,0,0,2,1,0.4
9,2019-02-09,adelde01,Deng Adel,5,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.2,Location.AWAY,INDIANA_PACERS,11,3,1492,1,7,1,5,0,0,0,1,0,0,0,1,-2.6
10,2019-02-11,adelde01,Deng Adel,5,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,NEW_YORK_KNICKS,19,0,261,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
11,2019-02-13,adelde01,Deng Adel,5,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,BROOKLYN_NETS,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,2019-03-11,adelde01,Deng Adel,5,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.HOME,TORONTO_RAPTORS,27,0,131,0,0,0,0,0,0,0,1,0,0,0,0,0.3
13,2019-03-12,adelde01,Deng Adel,5,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.4,Location.AWAY,PHILADELPHIA_76ERS,22,0,1012,0,2,0,0,0,0,0,2,0,0,0,0,-1.2
14,2019-03-14,adelde01,Deng Adel,5,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.AWAY,ORLANDO_MAGIC,21,0,247,0,1,0,1,0,0,0,1,0,0,0,0,-0.4
15,2019-03-30,adelde01,Deng Adel,5,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.5,Location.AWAY,LOS_ANGELES_CLIPPERS,12,2,214,1,1,0,0,0,0,0,0,1,0,0,0,2.4
16,2019-04-04,adelde01,Deng Adel,5,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,SACRAMENTO_KINGS,25,0,102,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
17,2019-04-07,adelde01,Deng Adel,5,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.4,Location.HOME,SAN_ANTONIO_SPURS,26,5,212,1,1,1,1,2,2,1,1,0,0,0,1,4.3
18,2019-04-09,adelde01,Deng Adel,5,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,CHARLOTTE_HORNETS,3,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0.0
