,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],12.4,Location.AWAY,MEMPHIS_GRIZZLIES,14,4,598,2,4,0,0,0,0,1,1,0,1,1,0,3.9
1,2016-10-29,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],5.0,Location.AWAY,SACRAMENTO_KINGS,25,0,702,0,0,0,0,0,0,1,4,0,0,0,1,-0.3
2,2016-11-01,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],7.300000000000001,Location.HOME,MEMPHIS_GRIZZLIES,14,2,592,1,1,0,0,0,0,0,4,1,0,0,1,1.4
3,2016-11-03,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],1.0,Location.HOME,DENVER_NUGGETS,7,2,510,1,2,0,0,0,0,0,0,0,0,0,1,-1.2
4,2016-11-05,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],14.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,2,874,1,1,0,0,0,2,2,3,0,1,1,0,3.7
5,2016-11-08,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],16.5,Location.AWAY,BROOKLYN_NETS,2,4,1406,1,3,0,0,2,2,2,3,1,2,0,1,5.1
6,2016-11-09,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],12.0,Location.AWAY,ORLANDO_MAGIC,21,0,709,0,2,0,0,0,0,1,4,2,0,1,0,1.0
7,2016-11-12,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],14.6,Location.HOME,LOS_ANGELES_CLIPPERS,12,8,847,4,6,0,0,0,0,2,1,0,1,0,0,5.7
8,2016-11-13,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],19.1,Location.HOME,LOS_ANGELES_LAKERS,13,2,810,1,3,0,0,0,2,1,2,1,3,1,0,4.4
9,2016-11-15,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],11.0,Location.HOME,CHARLOTTE_HORNETS,3,2,908,1,2,0,0,0,0,2,3,0,1,0,0,4.3
10,2016-11-17,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],9.6,Location.HOME,PHILADELPHIA_76ERS,22,3,833,1,1,0,0,1,1,1,2,0,0,1,0,3.5
11,2016-11-19,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],3.2,Location.AWAY,MEMPHIS_GRIZZLIES,14,2,373,1,1,0,0,0,0,0,1,0,0,0,0,2.0
12,2016-11-21,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],5.6,Location.HOME,BOSTON_CELTICS,1,2,509,1,2,0,0,0,0,0,3,0,0,0,0,1.5
13,2016-11-23,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],10.0,Location.AWAY,NEW_ORLEANS_PELICANS,18,4,865,2,4,0,0,0,0,1,4,0,0,0,0,3.9
14,2016-11-25,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],13.5,Location.AWAY,PHOENIX_SUNS,23,4,665,0,1,0,0,4,4,2,3,1,0,1,1,4.8
15,2016-11-26,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],3.5999999999999996,Location.AWAY,GOLDEN_STATE_WARRIORS,9,0,591,0,0,0,0,0,0,1,2,0,0,0,0,0.5
16,2016-11-28,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],2.7,Location.HOME,UTAH_JAZZ,28,0,268,0,0,0,0,0,0,1,0,1,0,0,0,1.0
17,2016-11-30,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],7.4,Location.HOME,NEW_YORK_KNICKS,19,2,355,1,1,0,0,0,0,0,2,0,0,1,0,3.0
18,2016-12-02,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],42.4,Location.AWAY,NEW_YORK_KNICKS,19,10,1624,4,6,0,0,2,2,5,7,2,2,3,0,17.3
19,2016-12-03,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],27.1,Location.AWAY,CHARLOTTE_HORNETS,3,4,1298,2,4,0,0,0,0,3,5,1,2,2,0,9.3
20,2016-12-06,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],7.7,Location.HOME,SAN_ANTONIO_SPURS,26,2,887,1,3,0,0,0,0,1,0,1,1,0,0,2.7
21,2016-12-08,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],17.6,Location.AWAY,TORONTO_RAPTORS,27,6,895,3,3,0,0,0,0,2,6,0,1,0,1,8.3
22,2016-12-09,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],13.2,Location.HOME,DETROIT_PISTONS,8,4,1212,1,2,0,0,2,3,0,1,2,1,1,1,4.6
23,2016-12-13,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],9.8,Location.AWAY,CHICAGO_BULLS,4,2,656,1,2,0,0,0,0,2,2,0,0,1,0,2.9
24,2016-12-17,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],12.0,Location.HOME,HOUSTON_ROCKETS,10,0,867,0,0,0,0,0,0,2,3,2,0,1,0,3.6
25,2016-12-19,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],3.0,Location.HOME,PHOENIX_SUNS,23,4,480,1,1,0,0,2,2,0,0,0,0,0,1,2.3
26,2016-12-23,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],2.4,Location.HOME,SACRAMENTO_KINGS,25,0,297,0,1,0,0,0,0,1,1,0,0,0,0,-0.1
27,2016-12-28,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],4.6,Location.AWAY,DENVER_NUGGETS,7,1,235,0,1,0,0,1,2,2,1,0,0,0,0,1.2
28,2016-12-30,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],4.2,Location.HOME,MILWAUKEE_BUCKS,16,0,279,0,0,0,0,0,0,0,1,0,1,0,0,1.3
29,2017-01-01,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],13.2,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,0,588,0,1,0,0,0,0,2,4,0,1,1,0,3.2
30,2017-01-03,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],6.9,Location.AWAY,PHILADELPHIA_76ERS,22,0,487,0,2,0,0,0,0,0,2,1,0,1,0,-0.2
31,2017-01-06,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],8.8,Location.AWAY,WASHINGTON_WIZARDS,29,4,459,2,2,0,0,0,0,2,2,0,0,0,0,5.0
32,2017-01-07,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],2.9,Location.HOME,UTAH_JAZZ,28,0,234,0,1,0,0,0,0,0,2,1,0,0,1,-1.2
33,2017-01-09,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],2.9,Location.HOME,DALLAS_MAVERICKS,6,0,246,0,0,0,0,0,0,1,1,1,0,0,1,0.7
34,2017-01-11,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],5.9,Location.HOME,HOUSTON_ROCKETS,10,2,246,1,1,0,0,0,0,1,1,1,0,0,0,2.6
35,2017-01-13,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],6.9,Location.HOME,OKLAHOMA_CITY_THUNDER,20,0,546,0,0,0,0,0,1,0,2,1,1,0,0,1.5
36,2017-01-15,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],3.5999999999999996,Location.AWAY,DALLAS_MAVERICKS,6,0,273,0,0,0,0,0,0,0,3,0,0,0,0,0.5
37,2017-01-19,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],2.7,Location.AWAY,LOS_ANGELES_CLIPPERS,12,0,272,0,1,0,0,0,0,0,1,1,0,0,0,-0.5
38,2017-01-22,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],3.5,Location.HOME,DENVER_NUGGETS,7,0,330,0,0,0,0,0,0,0,0,1,1,0,1,0.3
39,2017-01-24,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],8.8,Location.AWAY,PHOENIX_SUNS,23,4,455,2,2,0,0,0,0,1,3,0,0,0,0,4.2
40,2017-01-26,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],6.0,Location.HOME,INDIANA_PACERS,11,0,285,0,0,0,0,0,0,0,0,0,1,1,0,0.9
41,2017-01-28,aldrico01,Cole Aldrich,9,[<Position.CENTER: 'CENTER'>],-1.0,Location.HOME,BROOKLYN_NETS,2,0,119,0,1,0,0,0,0,0,0,0,0,0,1,-2.1
