,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],48.3,Location.AWAY,GOLDEN_STATE_WARRIORS,9,26,2111,10,20,1,1,5,6,8,6,3,1,0,2,23.7
1,2016-10-27,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22.5,Location.AWAY,SACRAMENTO_KINGS,25,16,1900,5,13,0,1,6,8,2,3,1,0,0,1,8.5
2,2016-10-29,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22.2,Location.HOME,NEW_ORLEANS_PELICANS,18,12,1509,4,13,1,2,3,4,1,5,0,0,1,0,5.4
3,2016-11-01,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30.3,Location.HOME,UTAH_JAZZ,28,21,2112,8,16,0,1,5,5,0,4,1,0,1,0,15.6
4,2016-11-04,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33.2,Location.AWAY,UTAH_JAZZ,28,19,1741,7,13,0,0,5,6,1,5,0,2,1,2,14.0
5,2016-11-05,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28.2,Location.HOME,LOS_ANGELES_CLIPPERS,12,19,1510,7,13,3,3,2,2,1,5,0,0,1,1,13.8
6,2016-11-09,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],29.0,Location.HOME,HOUSTON_ROCKETS,10,14,1831,5,15,0,1,4,5,3,2,2,2,1,3,7.7
7,2016-11-11,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28.9,Location.HOME,DETROIT_PISTONS,8,14,2244,6,14,0,0,2,2,1,11,1,0,0,1,9.9
8,2016-11-12,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],36.0,Location.AWAY,HOUSTON_ROCKETS,10,16,2114,5,13,0,1,6,6,0,10,2,0,3,4,9.8
9,2016-11-14,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.6,Location.HOME,MIAMI_HEAT,15,18,2181,8,14,0,0,2,2,1,2,2,1,0,2,12.7
10,2016-11-16,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],43.6,Location.AWAY,SACRAMENTO_KINGS,25,21,2000,8,16,1,1,4,4,2,6,2,2,2,2,17.8
11,2016-11-18,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],46.2,Location.AWAY,LOS_ANGELES_LAKERS,13,23,2167,10,14,1,1,2,2,0,6,2,2,3,2,21.7
12,2016-11-23,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],42.4,Location.AWAY,CHARLOTTE_HORNETS,3,23,2212,8,17,0,2,7,8,3,4,2,1,2,1,19.6
13,2016-11-25,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.8,Location.AWAY,BOSTON_CELTICS,1,10,1917,4,12,0,0,2,4,3,1,4,0,2,0,8.2
14,2016-11-26,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34.4,Location.AWAY,WASHINGTON_WIZARDS,29,24,2020,9,17,1,3,5,6,2,5,0,1,0,1,17.4
15,2016-11-29,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],29.7,Location.HOME,ORLANDO_MAGIC,21,16,1851,7,12,1,1,1,2,1,5,3,0,1,1,13.6
16,2016-11-30,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.1,Location.AWAY,DALLAS_MAVERICKS,6,5,1938,2,9,0,0,1,2,2,6,3,0,0,2,1.6
17,2016-12-02,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27.5,Location.HOME,WASHINGTON_WIZARDS,29,19,2204,8,14,0,0,3,6,2,3,1,0,1,2,11.3
18,2016-12-05,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],42.3,Location.AWAY,MILWAUKEE_BUCKS,16,18,2175,7,14,1,1,3,4,3,6,5,1,1,0,18.5
19,2016-12-06,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.399999999999999,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,6,1821,3,8,0,1,0,0,0,2,0,3,0,3,1.0
20,2016-12-08,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],31.700000000000003,Location.AWAY,CHICAGO_BULLS,4,10,1858,5,15,0,1,0,0,3,3,1,1,4,2,6.6
21,2016-12-10,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],29.299999999999997,Location.HOME,BROOKLYN_NETS,2,12,1329,6,10,0,0,0,0,4,5,3,0,1,1,12.7
22,2016-12-15,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.4,Location.AWAY,PHOENIX_SUNS,23,14,1638,6,11,0,0,2,2,3,4,2,0,1,5,7.5
23,2016-12-18,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33.7,Location.HOME,NEW_ORLEANS_PELICANS,18,22,1546,6,15,0,1,10,10,1,5,3,1,0,3,15.0
24,2016-12-20,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],39.5,Location.AWAY,HOUSTON_ROCKETS,10,17,2148,6,15,0,0,5,6,5,5,5,0,1,0,16.9
25,2016-12-22,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.3,Location.AWAY,LOS_ANGELES_CLIPPERS,12,10,1372,5,13,0,1,0,0,2,2,1,0,1,1,3.7
26,2016-12-23,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],52.8,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,18,2203,7,18,0,0,4,4,6,8,6,3,0,0,22.0
27,2016-12-25,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],44.3,Location.HOME,CHICAGO_BULLS,4,33,2277,15,20,0,0,3,6,3,6,1,0,0,1,25.8
28,2016-12-28,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],45.6,Location.HOME,PHOENIX_SUNS,23,27,1959,10,12,0,0,7,9,3,5,2,1,1,0,27.7
29,2016-12-30,aldrila01,LaMarcus Aldridge,10,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.7,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,8,1764,2,3,0,0,4,4,1,5,1,0,1,3,6.1
