,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-22,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.8,Location.AWAY,TORONTO_RAPTORS,27,3,715,1,10,1,7,0,0,1,3,2,2,0,1,-0.4
1,2019-10-25,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.2,Location.HOME,DALLAS_MAVERICKS,6,6,887,2,9,2,5,0,0,0,1,6,0,0,1,3.6
2,2019-10-26,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.2,Location.AWAY,HOUSTON_ROCKETS,10,2,741,1,4,0,2,0,0,0,1,0,0,0,1,-1.9
3,2019-10-28,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],35.3,Location.HOME,GOLDEN_STATE_WARRIORS,9,15,1425,6,11,2,4,1,2,0,4,9,1,0,1,16.0
4,2019-10-31,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.5,Location.HOME,DENVER_NUGGETS,7,0,740,0,5,0,3,0,0,1,4,3,0,0,0,-0.3
5,2019-11-02,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,4,475,1,5,0,1,2,2,0,1,0,0,0,0,0.4
6,2019-11-04,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,BROOKLYN_NETS,2,0,257,0,2,0,1,0,0,0,0,0,0,0,0,-1.4
7,2019-11-08,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.4,Location.HOME,TORONTO_RAPTORS,27,13,979,4,8,3,5,2,2,0,2,4,0,0,2,9.6
8,2019-11-09,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.4000000000000004,Location.AWAY,CHARLOTTE_HORNETS,3,5,501,2,4,1,2,0,0,0,2,0,0,0,5,-2.2
9,2019-11-11,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.HOME,HOUSTON_ROCKETS,10,2,678,1,4,0,1,0,0,0,0,0,1,0,2,-2.2
10,2019-11-14,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.9,Location.HOME,LOS_ANGELES_CLIPPERS,12,2,1264,0,6,0,2,2,2,0,2,3,0,2,1,0.1
11,2019-11-16,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33.3,Location.AWAY,MIAMI_HEAT,15,27,1825,10,18,6,9,1,2,0,4,3,0,0,3,17.9
12,2019-11-17,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,19,2071,7,18,5,13,0,0,0,5,4,1,0,1,11.9
13,2019-11-19,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.300000000000001,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,3,935,1,6,1,4,0,0,0,4,1,0,0,2,-1.7
14,2019-11-21,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,PHOENIX_SUNS,23,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,2019-11-24,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.7,Location.AWAY,LOS_ANGELES_CLIPPERS,12,2,207,0,2,0,2,2,4,0,1,1,0,0,0,0.8
16,2019-12-03,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.6,Location.HOME,DALLAS_MAVERICKS,6,7,720,3,9,1,4,0,0,1,2,0,0,0,0,3.2
17,2019-12-05,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.9,Location.HOME,PHOENIX_SUNS,23,7,642,3,8,1,4,0,0,0,2,1,1,0,1,3.9
18,2019-12-07,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.8,Location.AWAY,DALLAS_MAVERICKS,6,7,1289,3,10,0,4,1,2,1,3,2,1,0,2,2.8
19,2019-12-09,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.HOME,DETROIT_PISTONS,8,3,383,1,2,1,2,0,0,0,0,0,0,0,0,2.0
20,2019-12-11,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.2,Location.AWAY,MILWAUKEE_BUCKS,16,6,607,2,4,2,2,0,0,0,1,0,0,0,0,4.3
21,2019-12-13,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.7,Location.AWAY,PHILADELPHIA_76ERS,22,3,625,1,3,1,2,0,0,0,1,1,2,0,1,2.9
22,2019-12-17,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.8,Location.HOME,BROOKLYN_NETS,2,9,1364,4,7,1,4,0,0,0,4,4,0,0,1,8.3
23,2019-12-18,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.6,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,0,397,0,1,0,0,0,0,0,3,2,0,2,1,2.0
24,2019-12-20,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,0,232,0,2,0,0,0,0,0,0,0,0,0,0,-2.2
25,2019-12-23,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,0,165,0,2,0,1,0,0,0,0,0,0,0,0,-1.4
26,2019-12-28,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.2,Location.HOME,INDIANA_PACERS,11,5,248,2,2,1,1,0,0,0,1,0,0,0,0,4.3
27,2020-01-06,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.0,Location.HOME,UTAH_JAZZ,28,5,919,2,5,1,2,0,2,0,5,2,0,0,1,2.6
28,2020-01-08,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.8,Location.HOME,CHICAGO_BULLS,4,11,1199,4,8,2,5,1,3,1,3,6,0,0,2,9.6
29,2020-01-10,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.2,Location.AWAY,NEW_YORK_KNICKS,19,9,1431,3,8,3,7,0,0,0,1,4,0,0,1,6.3
30,2020-01-11,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.6,Location.AWAY,BOSTON_CELTICS,1,5,1356,2,10,1,5,0,0,1,2,4,0,0,0,1.7
31,2020-01-13,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.4,Location.AWAY,DETROIT_PISTONS,8,5,845,1,4,0,1,3,3,0,2,0,0,0,2,1.2
32,2020-01-16,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.7,Location.HOME,UTAH_JAZZ,28,12,965,5,11,2,4,0,0,1,0,3,1,1,0,10.0
33,2020-01-18,alexani01,Nickeil Alexander-Walker,12,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.899999999999999,Location.HOME,LOS_ANGELES_CLIPPERS,12,10,838,3,6,2,5,2,4,0,2,1,0,1,2,5.4
