,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-12-17,alkinra01,Rawle Alkins,13,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,173,0,1,0,0,0,0,1,0,2,1,0,0,2.4
1,2018-12-23,alkinra01,Rawle Alkins,13,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.4,Location.AWAY,CLEVELAND_CAVALIERS,5,3,95,1,3,1,1,0,0,2,0,0,0,0,0,2.7
2,2019-02-13,alkinra01,Rawle Alkins,13,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,MEMPHIS_GRIZZLIES,14,0,101,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
3,2019-03-27,alkinra01,Rawle Alkins,13,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.1,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,2,969,0,2,0,1,2,2,1,2,1,0,0,3,-0.8
4,2019-03-30,alkinra01,Rawle Alkins,13,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.1,Location.HOME,TORONTO_RAPTORS,27,7,1092,3,9,0,2,1,1,5,3,3,0,0,0,8.4
5,2019-04-01,alkinra01,Rawle Alkins,13,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,NEW_YORK_KNICKS,19,0,90,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
6,2019-04-03,alkinra01,Rawle Alkins,13,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.5,Location.AWAY,WASHINGTON_WIZARDS,29,11,1562,4,9,1,4,2,4,0,5,3,0,0,2,6.3
7,2019-04-06,alkinra01,Rawle Alkins,13,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.8,Location.HOME,PHILADELPHIA_76ERS,22,7,1213,2,7,1,2,2,2,1,3,2,0,0,2,3.1
8,2019-04-09,alkinra01,Rawle Alkins,13,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.1,Location.HOME,NEW_YORK_KNICKS,19,2,774,1,3,0,0,0,0,1,2,1,0,0,0,1.9
9,2019-04-10,alkinra01,Rawle Alkins,13,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.5,Location.AWAY,PHILADELPHIA_76ERS,22,5,1153,2,4,0,1,1,3,0,0,1,0,0,1,1.9
