,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,anderch01,Chris Andersen,21,[<Position.CENTER: 'CENTER'>],5.0,Location.HOME,NEW_YORK_KNICKS,19,2,334,1,1,0,0,0,0,0,0,0,0,1,0,2.4
1,2016-10-29,anderch01,Chris Andersen,21,[<Position.CENTER: 'CENTER'>],12.9,Location.HOME,ORLANDO_MAGIC,21,6,535,2,2,0,0,2,4,1,1,1,1,0,0,6.5
2,2016-11-16,anderch01,Chris Andersen,21,[<Position.CENTER: 'CENTER'>],4.0,Location.AWAY,INDIANA_PACERS,11,0,371,0,1,0,0,0,0,2,3,0,0,0,2,-0.4
3,2016-11-18,anderch01,Chris Andersen,21,[<Position.CENTER: 'CENTER'>],11.8,Location.HOME,DETROIT_PISTONS,8,2,556,0,5,0,1,2,2,2,2,0,1,1,1,0.4
4,2016-11-23,anderch01,Chris Andersen,21,[<Position.CENTER: 'CENTER'>],6.2,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,2,241,1,3,0,1,0,0,0,1,0,0,1,0,1.3
5,2016-11-25,anderch01,Chris Andersen,21,[<Position.CENTER: 'CENTER'>],13.7,Location.HOME,DALLAS_MAVERICKS,6,4,1128,2,4,0,1,0,0,3,3,3,0,0,2,3.5
6,2016-11-29,anderch01,Chris Andersen,21,[<Position.CENTER: 'CENTER'>],7.1,Location.AWAY,MILWAUKEE_BUCKS,16,2,656,0,1,0,0,2,2,0,3,1,0,0,0,2.1
7,2016-12-01,anderch01,Chris Andersen,21,[<Position.CENTER: 'CENTER'>],3.2,Location.HOME,LOS_ANGELES_CLIPPERS,12,2,456,0,0,0,0,2,4,0,1,0,0,0,0,0.7
8,2016-12-07,anderch01,Chris Andersen,21,[<Position.CENTER: 'CENTER'>],9.2,Location.AWAY,NEW_YORK_KNICKS,19,2,474,1,1,0,0,0,0,0,1,0,1,1,0,3.7
9,2016-12-09,anderch01,Chris Andersen,21,[<Position.CENTER: 'CENTER'>],17.8,Location.HOME,MIAMI_HEAT,15,4,729,1,1,0,0,2,2,1,3,0,1,2,0,6.1
10,2016-12-13,anderch01,Chris Andersen,21,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,MEMPHIS_GRIZZLIES,14,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,2016-12-14,anderch01,Chris Andersen,21,[<Position.CENTER: 'CENTER'>],12.8,Location.AWAY,MEMPHIS_GRIZZLIES,14,2,1172,1,3,0,0,0,0,0,4,0,1,1,0,1.6
