,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,anderju01,Justin Anderson,22,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.0,Location.AWAY,INDIANA_PACERS,11,7,1159,3,9,1,6,0,0,1,4,2,0,1,0,5.1
1,2016-10-28,anderju01,Justin Anderson,22,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.6,Location.HOME,HOUSTON_ROCKETS,10,9,1210,2,5,1,3,4,6,1,2,0,2,1,2,7.5
2,2016-10-30,anderju01,Justin Anderson,22,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.6,Location.AWAY,HOUSTON_ROCKETS,10,8,1040,3,8,1,2,1,1,1,2,0,2,0,0,6.1
3,2016-11-02,anderju01,Justin Anderson,22,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.1,Location.AWAY,UTAH_JAZZ,28,5,1198,2,5,1,2,0,0,4,4,1,1,0,3,4.2
4,2016-11-04,anderju01,Justin Anderson,22,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.4,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,6,1102,3,5,0,1,0,0,1,1,0,0,1,0,4.6
5,2016-11-06,anderju01,Justin Anderson,22,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.4,Location.HOME,MILWAUKEE_BUCKS,16,4,608,2,5,0,2,0,0,0,2,0,1,0,0,2.9
6,2016-11-08,anderju01,Justin Anderson,22,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.0,Location.AWAY,LOS_ANGELES_LAKERS,13,11,1250,4,8,1,1,2,2,2,3,0,1,1,0,10.2
7,2016-11-09,anderju01,Justin Anderson,22,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],36.1,Location.AWAY,GOLDEN_STATE_WARRIORS,9,16,2458,6,19,0,5,4,7,3,5,7,0,0,0,10.8
8,2016-11-14,anderju01,Justin Anderson,22,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.4,Location.AWAY,NEW_YORK_KNICKS,19,0,1385,0,11,0,5,0,0,3,4,2,1,0,0,-3.2
9,2016-11-16,anderju01,Justin Anderson,22,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.1,Location.AWAY,BOSTON_CELTICS,1,4,1282,2,3,0,0,0,0,1,2,1,1,1,1,5.0
