,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-19,arcidry01,Ryan Arcidiacono,32,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.AWAY,TORONTO_RAPTORS,27,0,319,0,2,0,2,0,0,0,0,1,0,0,0,-1.1
1,2018-01-20,arcidry01,Ryan Arcidiacono,32,[<Position.POINT_GUARD: 'POINT GUARD'>],17.0,Location.AWAY,ATLANTA_HAWKS,0,8,1346,2,2,2,2,2,2,0,0,4,1,0,0,10.0
2,2018-01-22,arcidry01,Ryan Arcidiacono,32,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.AWAY,NEW_ORLEANS_PELICANS,18,0,288,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
3,2018-01-24,arcidry01,Ryan Arcidiacono,32,[<Position.POINT_GUARD: 'POINT GUARD'>],3.2,Location.AWAY,PHILADELPHIA_76ERS,22,0,1073,0,1,0,1,0,0,0,1,2,0,0,1,0.0
4,2018-01-26,arcidry01,Ryan Arcidiacono,32,[<Position.POINT_GUARD: 'POINT GUARD'>],1.2,Location.HOME,LOS_ANGELES_LAKERS,13,0,219,0,0,0,0,0,0,0,1,0,0,0,0,0.3
5,2018-01-28,arcidry01,Ryan Arcidiacono,32,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.HOME,MILWAUKEE_BUCKS,16,0,342,0,1,0,1,0,0,0,0,1,0,0,0,-0.4
6,2018-01-31,arcidry01,Ryan Arcidiacono,32,[<Position.POINT_GUARD: 'POINT GUARD'>],10.7,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,2,1013,1,1,0,0,0,0,0,1,1,2,0,0,3.9
7,2018-02-03,arcidry01,Ryan Arcidiacono,32,[<Position.POINT_GUARD: 'POINT GUARD'>],5.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,2,387,1,2,0,1,0,0,0,0,0,1,0,0,2.0
8,2018-02-05,arcidry01,Ryan Arcidiacono,32,[<Position.POINT_GUARD: 'POINT GUARD'>],1.2,Location.AWAY,SACRAMENTO_KINGS,25,0,395,0,0,0,0,0,0,0,1,0,0,0,0,0.3
9,2018-02-09,arcidry01,Ryan Arcidiacono,32,[<Position.POINT_GUARD: 'POINT GUARD'>],6.2,Location.HOME,MINNESOTA_TIMBERWOLVES,17,3,515,1,1,1,1,0,0,0,1,0,1,0,1,2.6
10,2018-02-10,arcidry01,Ryan Arcidiacono,32,[<Position.POINT_GUARD: 'POINT GUARD'>],4.7,Location.HOME,WASHINGTON_WIZARDS,29,0,565,0,1,0,1,0,0,0,1,3,0,0,1,0.3
