,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,arizatr01,Trevor Ariza,33,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.2,Location.AWAY,LOS_ANGELES_LAKERS,13,5,1971,2,8,1,4,0,0,0,6,2,1,0,0,3.6
1,2016-10-28,arizatr01,Trevor Ariza,33,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],34.8,Location.AWAY,DALLAS_MAVERICKS,6,27,2140,8,12,5,7,6,6,0,4,0,1,0,0,22.8
2,2016-10-30,arizatr01,Trevor Ariza,33,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.9,Location.HOME,DALLAS_MAVERICKS,6,6,1982,2,4,2,4,0,0,2,5,3,2,1,3,8.3
3,2016-11-01,arizatr01,Trevor Ariza,33,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.2,Location.AWAY,CLEVELAND_CAVALIERS,5,11,1889,4,11,3,10,0,0,0,1,2,0,0,1,4.4
4,2016-11-02,arizatr01,Trevor Ariza,33,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29.3,Location.AWAY,NEW_YORK_KNICKS,19,8,1805,3,10,1,5,1,2,0,4,3,4,0,0,8.7
5,2016-11-05,arizatr01,Trevor Ariza,33,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.1,Location.AWAY,ATLANTA_HAWKS,0,10,1870,4,10,2,7,0,0,0,3,3,2,1,1,8.5
6,2016-11-07,arizatr01,Trevor Ariza,33,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],31.0,Location.AWAY,WASHINGTON_WIZARDS,29,15,2053,5,11,4,9,1,1,0,5,2,3,0,2,12.8
7,2016-11-09,arizatr01,Trevor Ariza,33,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.5,Location.AWAY,SAN_ANTONIO_SPURS,26,9,2440,4,8,1,5,0,0,0,5,3,4,0,3,8.0
8,2016-11-12,arizatr01,Trevor Ariza,33,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.8,Location.HOME,SAN_ANTONIO_SPURS,26,15,2222,5,13,4,11,1,2,1,3,2,3,0,1,12.5
9,2016-11-14,arizatr01,Trevor Ariza,33,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],41.6,Location.HOME,PHILADELPHIA_76ERS,22,17,2108,6,14,5,11,0,0,1,7,2,3,1,0,17.1
