,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-03,arthuda01,Darrell Arthur,35,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.9,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,2,512,1,3,0,1,0,0,0,2,1,0,0,0,0.8
1,2016-11-05,arthuda01,Darrell Arthur,35,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.4,Location.AWAY,DETROIT_PISTONS,8,3,396,1,3,1,1,0,0,0,2,0,0,0,0,1.9
2,2016-11-23,arthuda01,Darrell Arthur,35,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.2,Location.AWAY,UTAH_JAZZ,28,8,949,3,8,2,5,0,0,1,0,0,0,0,0,3.9
3,2016-11-25,arthuda01,Darrell Arthur,35,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.4,Location.HOME,OKLAHOMA_CITY_THUNDER,20,5,1204,2,5,1,4,0,0,0,2,0,1,0,3,-0.3
4,2016-11-27,arthuda01,Darrell Arthur,35,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.2,Location.AWAY,PHOENIX_SUNS,23,8,1243,3,9,2,4,0,0,0,1,2,0,0,0,3.8
5,2016-12-02,arthuda01,Darrell Arthur,35,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.3,Location.HOME,HOUSTON_ROCKETS,10,8,547,4,4,0,0,0,0,2,2,1,0,1,1,8.4
6,2016-12-03,arthuda01,Darrell Arthur,35,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.7,Location.AWAY,UTAH_JAZZ,28,3,740,1,4,1,1,0,0,0,1,1,0,0,2,-2.0
7,2016-12-05,arthuda01,Darrell Arthur,35,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22.4,Location.AWAY,PHILADELPHIA_76ERS,22,7,1367,2,5,1,3,2,2,1,6,2,1,1,2,7.1
8,2016-12-07,arthuda01,Darrell Arthur,35,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.0,Location.AWAY,BROOKLYN_NETS,2,3,686,1,1,1,1,0,0,0,0,0,0,0,2,-0.5
9,2016-12-08,arthuda01,Darrell Arthur,35,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.6,Location.AWAY,WASHINGTON_WIZARDS,29,6,1187,2,3,2,3,0,0,0,3,4,0,1,2,6.3
