,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,asikom01,Ömer Aşık,37,[<Position.CENTER: 'CENTER'>],4.7,Location.HOME,DENVER_NUGGETS,7,2,992,1,3,0,0,0,0,0,1,1,0,0,0,0.5
1,2016-10-28,asikom01,Ömer Aşık,37,[<Position.CENTER: 'CENTER'>],4.6,Location.HOME,GOLDEN_STATE_WARRIORS,9,2,466,1,1,0,0,0,0,0,3,0,0,0,1,1.6
2,2016-10-29,asikom01,Ömer Aşık,37,[<Position.CENTER: 'CENTER'>],9.9,Location.AWAY,SAN_ANTONIO_SPURS,26,0,901,0,0,0,0,0,0,1,6,1,0,0,0,2.8
3,2016-11-01,asikom01,Ömer Aşık,37,[<Position.CENTER: 'CENTER'>],19.9,Location.HOME,MILWAUKEE_BUCKS,16,5,793,1,3,0,0,3,6,2,5,1,1,1,1,6.0
4,2016-11-02,asikom01,Ömer Aşık,37,[<Position.CENTER: 'CENTER'>],14.2,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,2129,0,2,0,0,0,0,2,9,2,0,0,2,1.3
5,2016-11-04,asikom01,Ömer Aşık,37,[<Position.CENTER: 'CENTER'>],20.9,Location.HOME,PHOENIX_SUNS,23,0,1496,0,2,0,0,0,0,2,10,1,0,2,1,2.5
6,2016-11-07,asikom01,Ömer Aşık,37,[<Position.CENTER: 'CENTER'>],15.2,Location.AWAY,GOLDEN_STATE_WARRIORS,9,8,859,3,6,0,0,2,3,3,3,0,0,0,0,7.6
7,2016-11-08,asikom01,Ömer Aşık,37,[<Position.CENTER: 'CENTER'>],17.799999999999997,Location.AWAY,SACRAMENTO_KINGS,25,5,1546,1,4,0,0,3,4,4,5,0,0,1,1,5.0
8,2016-11-10,asikom01,Ömer Aşık,37,[<Position.CENTER: 'CENTER'>],17.2,Location.AWAY,MILWAUKEE_BUCKS,16,10,1151,4,5,0,0,2,4,3,3,0,0,0,0,9.1
9,2016-11-12,asikom01,Ömer Aşık,37,[<Position.CENTER: 'CENTER'>],7.0,Location.HOME,LOS_ANGELES_LAKERS,13,2,800,1,3,0,0,0,0,2,3,0,0,0,1,0.8
10,2016-11-14,asikom01,Ömer Aşık,37,[<Position.CENTER: 'CENTER'>],8.8,Location.HOME,BOSTON_CELTICS,1,4,748,2,2,0,0,0,0,1,3,0,0,0,0,5.0
11,2016-11-16,asikom01,Ömer Aşık,37,[<Position.CENTER: 'CENTER'>],14.0,Location.AWAY,ORLANDO_MAGIC,21,0,1177,0,1,0,0,0,2,2,8,0,0,1,1,2.0
12,2016-11-18,asikom01,Ömer Aşık,37,[<Position.CENTER: 'CENTER'>],17.0,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,2,1048,1,2,0,0,0,0,1,4,2,0,2,0,4.1
13,2016-11-19,asikom01,Ömer Aşık,37,[<Position.CENTER: 'CENTER'>],9.5,Location.HOME,CHARLOTTE_HORNETS,3,0,791,0,0,0,0,0,0,2,3,1,1,0,1,2.6
14,2016-11-22,asikom01,Ömer Aşık,37,[<Position.CENTER: 'CENTER'>],14.7,Location.AWAY,ATLANTA_HAWKS,0,6,1305,2,3,0,0,2,2,1,5,1,0,0,0,6.8
15,2016-11-23,asikom01,Ömer Aşık,37,[<Position.CENTER: 'CENTER'>],16.799999999999997,Location.HOME,MINNESOTA_TIMBERWOLVES,17,6,1652,2,3,0,0,2,4,1,8,0,0,0,0,6.6
16,2016-11-25,asikom01,Ömer Aşık,37,[<Position.CENTER: 'CENTER'>],10.8,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,6,1052,2,2,0,0,2,2,0,4,0,0,0,0,5.8
17,2016-11-27,asikom01,Ömer Aşık,37,[<Position.CENTER: 'CENTER'>],6.8,Location.AWAY,DALLAS_MAVERICKS,6,2,411,1,1,0,0,0,0,2,2,0,0,0,0,3.7
18,2016-11-29,asikom01,Ömer Aşık,37,[<Position.CENTER: 'CENTER'>],29.7,Location.HOME,LOS_ANGELES_LAKERS,13,10,1574,4,6,0,0,2,2,4,7,1,1,1,1,13.7
19,2016-12-02,asikom01,Ömer Aşık,37,[<Position.CENTER: 'CENTER'>],9.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,4,1057,2,3,0,0,0,0,2,3,0,0,0,1,3.2
20,2016-12-04,asikom01,Ömer Aşık,37,[<Position.CENTER: 'CENTER'>],6.6,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,980,0,1,0,0,0,2,0,3,0,1,0,0,-1.2
21,2016-12-05,asikom01,Ömer Aşık,37,[<Position.CENTER: 'CENTER'>],4.6,Location.HOME,MEMPHIS_GRIZZLIES,14,1,803,0,3,0,0,1,2,0,3,0,0,0,0,-1.0
