,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-17,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.0,Location.HOME,UTAH_JAZZ,28,6,727,3,6,0,0,0,0,1,4,0,0,0,0,4.1
1,2018-10-19,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],44.1,Location.AWAY,NEW_ORLEANS_PELICANS,18,19,1958,7,10,0,3,5,6,2,6,3,3,1,1,20.4
2,2018-10-21,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.4,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,13,1424,5,13,0,0,3,6,5,2,0,1,0,4,4.6
3,2018-10-23,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],46.3,Location.AWAY,DENVER_NUGGETS,7,20,1940,9,11,1,1,1,3,1,8,3,0,5,4,19.0
4,2018-10-24,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.7,Location.HOME,MEMPHIS_GRIZZLIES,14,13,1340,4,8,0,0,5,8,3,3,1,0,0,1,9.7
5,2018-10-26,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.6,Location.HOME,WASHINGTON_WIZARDS,29,11,1376,5,11,1,1,0,2,4,4,0,1,1,5,4.4
6,2018-10-29,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.5,Location.AWAY,MIAMI_HEAT,15,7,1017,3,7,1,1,0,0,2,3,1,0,2,2,4.9
7,2018-10-30,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.799999999999997,Location.AWAY,ORLANDO_MAGIC,21,10,1363,3,7,2,3,2,4,5,4,2,1,1,3,9.9
8,2018-11-01,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.0,Location.AWAY,ATLANTA_HAWKS,0,18,1447,7,10,0,0,4,4,4,1,0,1,0,1,16.1
9,2018-11-04,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.7,Location.AWAY,MILWAUKEE_BUCKS,16,11,1218,3,10,1,3,4,9,1,5,1,0,1,1,4.6
10,2018-11-07,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.6,Location.HOME,TORONTO_RAPTORS,27,13,1523,5,8,1,1,2,2,1,2,0,0,1,2,8.6
11,2018-11-09,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.4,Location.HOME,MINNESOTA_TIMBERWOLVES,17,6,978,2,7,0,1,2,2,1,1,0,0,2,1,3.3
12,2018-11-10,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.6,Location.HOME,LOS_ANGELES_LAKERS,13,13,1312,5,12,0,0,3,6,2,1,0,0,2,3,5.5
13,2018-11-12,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.2,Location.HOME,SAN_ANTONIO_SPURS,26,7,1276,3,9,0,2,1,1,2,4,0,0,1,3,1.4
14,2018-11-16,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.699999999999999,Location.AWAY,MEMPHIS_GRIZZLIES,14,7,1212,1,3,0,1,5,6,1,0,1,0,0,2,3.9
15,2018-11-17,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28.1,Location.AWAY,HOUSTON_ROCKETS,10,16,1637,7,10,0,1,2,3,3,5,1,0,1,2,14.0
16,2018-11-19,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],40.6,Location.HOME,OKLAHOMA_CITY_THUNDER,20,15,1550,6,11,0,1,3,6,6,7,2,0,3,2,15.5
17,2018-11-21,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],29.2,Location.AWAY,UTAH_JAZZ,28,11,1624,5,9,0,0,1,2,0,6,0,2,2,1,9.3
18,2018-11-24,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],43.4,Location.AWAY,GOLDEN_STATE_WARRIORS,9,20,2027,7,15,0,0,6,8,7,10,2,0,0,0,20.4
19,2018-11-25,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30.2,Location.HOME,UTAH_JAZZ,28,18,1811,6,12,0,3,6,8,1,5,0,0,2,1,12.6
20,2018-11-29,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],36.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,18,1642,8,15,0,1,2,2,5,5,2,1,0,0,17.3
21,2018-12-07,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.7,Location.AWAY,CLEVELAND_CAVALIERS,5,17,1503,8,9,1,1,0,0,1,0,1,1,1,2,14.6
22,2018-12-08,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.9,Location.AWAY,INDIANA_PACERS,11,4,583,2,4,0,0,0,0,1,1,1,0,1,2,0.0
23,2018-12-10,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.4,Location.AWAY,CHICAGO_BULLS,4,16,1590,5,9,1,1,5,6,1,1,0,0,0,0,11.5
24,2018-12-12,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33.5,Location.HOME,MINNESOTA_TIMBERWOLVES,17,17,1589,4,5,0,1,9,10,3,7,3,0,0,0,20.6
25,2018-12-14,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.2,Location.HOME,GOLDEN_STATE_WARRIORS,9,4,320,2,2,0,0,0,0,0,1,0,0,0,0,3.7
26,2019-01-07,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.7,Location.HOME,ORLANDO_MAGIC,21,8,1218,2,7,0,2,4,6,1,5,1,0,1,0,5.9
27,2019-01-10,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.9,Location.HOME,DETROIT_PISTONS,8,10,1214,4,5,0,0,2,2,2,5,1,2,0,2,11.3
28,2019-01-12,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27.799999999999997,Location.HOME,CHARLOTTE_HORNETS,3,11,1514,5,13,1,2,0,3,1,8,0,1,1,0,7.1
29,2019-01-14,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.7,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,13,1416,6,12,0,1,1,5,2,9,1,0,0,1,6.8
30,2019-01-17,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.1,Location.AWAY,CHARLOTTE_HORNETS,3,15,1375,6,11,1,2,2,4,4,4,1,0,0,3,9.8
31,2019-01-19,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.4,Location.AWAY,DETROIT_PISTONS,8,14,1602,6,9,0,1,2,2,0,2,0,2,1,4,7.4
32,2019-01-21,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.5,Location.AWAY,BROOKLYN_NETS,2,9,1209,3,7,0,2,3,4,1,4,1,0,0,1,6.1
33,2019-01-22,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],43.7,Location.AWAY,TORONTO_RAPTORS,27,22,2268,10,20,0,2,2,2,1,10,1,1,2,2,15.6
34,2019-01-25,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30.299999999999997,Location.AWAY,MEMPHIS_GRIZZLIES,14,14,1739,6,15,0,1,2,2,4,5,1,1,1,2,9.4
35,2019-01-27,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,14,1189,5,10,0,2,4,4,2,3,0,0,3,2,11.4
36,2019-01-30,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],35.4,Location.HOME,ATLANTA_HAWKS,0,17,1690,7,14,0,3,3,6,5,7,2,1,0,2,13.6
37,2019-02-02,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],31.1,Location.HOME,PHILADELPHIA_76ERS,22,14,1994,7,16,0,2,0,0,4,9,1,1,0,3,9.0
38,2019-02-04,baglema01,Marvin Bagley,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],56.4,Location.HOME,SAN_ANTONIO_SPURS,26,24,1837,10,17,1,4,3,4,4,8,4,1,3,0,26.8
