,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,bakerro01,Ron Baker,43,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.2,Location.AWAY,CLEVELAND_CAVALIERS,5,5,404,2,3,1,1,0,0,0,1,0,0,0,0,4.0
1,2016-11-02,bakerro01,Ron Baker,43,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.2,Location.HOME,HOUSTON_ROCKETS,10,4,950,1,5,1,3,1,2,1,0,2,1,0,1,2.2
2,2016-11-11,bakerro01,Ron Baker,43,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.0,Location.AWAY,BOSTON_CELTICS,1,2,470,1,3,0,1,0,0,0,0,0,1,1,0,2.0
3,2016-11-14,bakerro01,Ron Baker,43,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.HOME,DALLAS_MAVERICKS,6,0,188,0,2,0,2,0,0,0,0,0,1,0,0,-0.4
4,2016-12-06,bakerro01,Ron Baker,43,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,MIAMI_HEAT,15,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,2016-12-07,bakerro01,Ron Baker,43,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.699999999999999,Location.HOME,CLEVELAND_CAVALIERS,5,6,610,2,7,1,4,1,2,0,1,1,0,0,1,1.5
6,2016-12-13,bakerro01,Ron Baker,43,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.2,Location.AWAY,PHOENIX_SUNS,23,0,884,0,3,0,1,0,0,1,0,2,1,0,2,-1.8
7,2016-12-15,bakerro01,Ron Baker,43,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.9,Location.AWAY,GOLDEN_STATE_WARRIORS,9,13,1375,6,7,1,2,0,0,0,2,3,0,0,2,10.8
8,2016-12-17,bakerro01,Ron Baker,43,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.5,Location.AWAY,DENVER_NUGGETS,7,4,696,2,7,0,3,0,0,1,4,1,0,0,1,1.5
9,2016-12-22,bakerro01,Ron Baker,43,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.19999999999999996,Location.HOME,ORLANDO_MAGIC,21,0,69,0,1,0,0,0,0,0,1,0,0,0,1,-1.4
