,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27.799999999999997,Location.AWAY,INDIANA_PACERS,11,19,2081,8,14,3,6,0,0,3,6,0,0,0,2,13.1
1,2016-10-28,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],40.5,Location.HOME,HOUSTON_ROCKETS,10,31,2330,13,23,2,4,3,3,1,4,1,1,0,1,21.9
2,2016-10-30,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.0,Location.AWAY,HOUSTON_ROCKETS,10,10,2306,3,11,0,1,4,4,0,5,0,0,0,0,4.2
3,2016-11-02,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.9,Location.AWAY,UTAH_JAZZ,28,14,2142,6,13,0,3,2,2,0,2,1,0,1,1,7.9
4,2016-11-04,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27.0,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,17,2116,8,17,1,4,0,0,2,8,0,0,0,2,8.9
5,2016-11-06,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],51.6,Location.HOME,MILWAUKEE_BUCKS,16,34,2903,13,26,2,5,6,7,3,5,2,2,0,1,26.6
6,2016-11-08,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],35.4,Location.AWAY,LOS_ANGELES_LAKERS,13,31,2371,11,18,1,3,8,9,0,2,2,0,0,1,22.2
7,2016-11-09,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],36.1,Location.AWAY,GOLDEN_STATE_WARRIORS,9,25,2027,8,20,1,3,8,8,2,6,1,0,0,0,17.7
8,2016-11-14,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28.1,Location.AWAY,NEW_YORK_KNICKS,19,20,2110,8,17,0,2,4,6,0,3,1,1,1,3,10.4
9,2016-11-16,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],35.9,Location.AWAY,BOSTON_CELTICS,1,28,2457,12,24,0,1,4,5,0,2,1,2,0,2,14.9
10,2016-11-18,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.4,Location.HOME,MEMPHIS_GRIZZLIES,14,15,2013,5,17,0,1,5,5,1,6,0,0,0,4,3.6
11,2016-11-19,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28.7,Location.AWAY,ORLANDO_MAGIC,21,11,2312,3,13,1,3,4,5,1,5,3,2,0,0,8.2
12,2016-11-21,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],32.3,Location.AWAY,SAN_ANTONIO_SPURS,26,20,2521,9,18,0,2,2,4,4,5,1,0,1,3,11.7
13,2016-11-23,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30.3,Location.HOME,LOS_ANGELES_CLIPPERS,12,22,1827,10,19,2,4,0,0,0,4,1,1,0,1,14.2
14,2016-11-25,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.0,Location.AWAY,CLEVELAND_CAVALIERS,5,12,1828,6,13,0,3,0,0,3,2,0,0,0,0,8.0
15,2016-11-27,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],42.4,Location.HOME,NEW_ORLEANS_PELICANS,18,23,2467,9,24,1,4,4,4,0,7,4,2,0,1,14.9
16,2016-11-30,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24.9,Location.HOME,SAN_ANTONIO_SPURS,26,17,2410,8,15,1,2,0,0,1,1,1,1,1,2,11.1
17,2016-12-01,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34.3,Location.AWAY,CHARLOTTE_HORNETS,3,17,2261,8,20,1,2,0,0,1,8,1,2,0,1,10.6
18,2016-12-03,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],32.5,Location.HOME,CHICAGO_BULLS,4,22,2234,9,21,2,5,2,2,3,2,1,1,0,0,14.9
19,2016-12-05,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],43.4,Location.HOME,CHARLOTTE_HORNETS,3,29,2295,10,21,2,4,7,7,4,3,2,1,0,0,22.8
20,2016-12-07,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.3,Location.HOME,SACRAMENTO_KINGS,25,11,1941,5,16,0,4,1,2,2,2,1,0,0,5,-2.1
21,2016-12-09,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],36.4,Location.HOME,INDIANA_PACERS,11,25,2175,10,17,3,3,2,4,2,5,2,0,0,0,19.8
22,2016-12-10,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27.3,Location.AWAY,HOUSTON_ROCKETS,10,20,1922,7,13,1,1,5,5,2,2,1,1,0,2,14.6
23,2016-12-12,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24.1,Location.HOME,DENVER_NUGGETS,7,18,1936,6,11,0,0,6,7,1,2,1,1,0,2,13.3
24,2016-12-14,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],32.0,Location.HOME,DETROIT_PISTONS,8,19,2223,9,18,1,5,0,0,2,3,2,2,0,2,13.7
25,2016-12-16,barneha02,Harrison Barnes,49,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34.1,Location.AWAY,UTAH_JAZZ,28,21,2220,10,22,1,3,0,0,1,2,3,2,0,1,13.2
