,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-23,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33.0,Location.AWAY,SAN_ANTONIO_SPURS,26,21,2227,9,13,1,3,2,4,0,5,2,2,0,3,15.4
1,2019-10-25,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],37.1,Location.AWAY,BROOKLYN_NETS,2,16,2140,7,16,2,4,0,3,0,3,3,6,0,5,8.8
2,2019-10-26,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],34.9,Location.HOME,BOSTON_CELTICS,1,26,2194,9,21,4,6,4,7,3,4,3,0,0,4,13.9
3,2019-10-28,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],45.5,Location.HOME,CHICAGO_BULLS,4,19,2402,7,15,0,2,5,11,6,9,5,0,1,2,16.8
4,2019-10-30,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.4,Location.AWAY,ORLANDO_MAGIC,21,9,1845,4,11,1,4,0,2,0,2,2,0,0,2,1.3
5,2019-11-01,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],34.9,Location.AWAY,BOSTON_CELTICS,1,15,2347,5,17,1,4,4,6,2,5,5,1,1,2,9.2
6,2019-11-03,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],35.3,Location.HOME,SACRAMENTO_KINGS,25,22,2444,8,20,1,5,5,9,1,3,3,1,1,2,13.0
7,2019-11-06,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],37.2,Location.AWAY,DETROIT_PISTONS,8,15,2022,4,12,1,2,6,11,0,6,8,2,0,3,11.4
8,2019-11-08,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.6,Location.AWAY,DALLAS_MAVERICKS,6,3,2095,1,9,0,1,1,6,0,8,4,0,0,1,-1.9
9,2019-11-10,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.7,Location.HOME,CLEVELAND_CAVALIERS,5,9,1456,4,11,1,4,0,2,0,1,1,1,0,3,-0.1
10,2019-11-12,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],45.7,Location.AWAY,CHICAGO_BULLS,4,21,1899,8,16,2,4,3,6,3,3,9,2,0,2,19.9
11,2019-11-14,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.4,Location.HOME,DALLAS_MAVERICKS,6,8,1812,3,10,0,2,2,2,1,6,2,1,0,4,2.3
12,2019-11-16,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27.0,Location.HOME,CHARLOTTE_HORNETS,3,22,1844,8,16,2,4,4,5,2,3,2,0,0,4,12.5
13,2019-11-18,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29.9,Location.HOME,CLEVELAND_CAVALIERS,5,15,1453,5,13,1,1,4,5,1,1,1,2,2,1,10.8
14,2019-11-20,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.9,Location.AWAY,PHILADELPHIA_76ERS,22,8,2148,4,12,0,1,0,0,2,5,3,3,1,4,4.7
15,2019-11-23,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],30.0,Location.HOME,SAN_ANTONIO_SPURS,26,13,1736,6,11,0,2,1,4,1,4,4,1,1,1,11.1
16,2019-11-27,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33.0,Location.AWAY,TORONTO_RAPTORS,27,16,1837,5,17,2,8,4,6,0,5,4,3,0,4,7.8
17,2019-11-29,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.6,Location.HOME,PHILADELPHIA_76ERS,22,18,1726,8,13,1,2,1,1,0,3,2,0,0,2,10.4
18,2019-12-01,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],30.4,Location.HOME,BOSTON_CELTICS,1,16,2108,4,13,0,2,8,13,2,5,0,1,1,0,9.9
19,2019-12-02,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.5,Location.AWAY,MILWAUKEE_BUCKS,16,2,1198,0,9,0,2,2,2,0,0,1,0,1,0,-2.9
20,2019-12-05,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29.1,Location.HOME,DENVER_NUGGETS,7,9,1318,4,10,1,5,0,0,1,2,5,3,1,3,8.3
21,2019-12-07,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.299999999999997,Location.HOME,INDIANA_PACERS,11,12,2182,4,11,1,3,3,6,1,8,3,1,1,2,8.8
22,2019-12-10,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.8,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,5,1132,1,9,0,2,3,4,0,4,0,0,0,0,-0.1
23,2019-12-11,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],41.5,Location.AWAY,GOLDEN_STATE_WARRIORS,9,22,2765,8,16,3,5,3,4,0,10,3,1,1,3,15.4
24,2019-12-13,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.8,Location.AWAY,SACRAMENTO_KINGS,25,8,1882,4,14,0,5,0,0,1,3,2,0,0,0,2.8
25,2019-12-15,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.1,Location.AWAY,DENVER_NUGGETS,7,7,2146,3,12,1,6,0,0,1,2,1,0,0,2,-0.6
26,2019-12-17,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],38.7,Location.HOME,ATLANTA_HAWKS,0,27,1717,10,13,2,3,5,8,1,5,1,1,0,0,24.2
27,2019-12-20,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.4,Location.AWAY,MIAMI_HEAT,15,2,1223,1,10,0,3,0,2,0,2,0,0,0,0,-4.8
28,2019-12-21,barrerj01,RJ Barrett,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.5,Location.HOME,MILWAUKEE_BUCKS,16,17,2001,6,16,2,4,3,4,0,5,3,0,1,2,8.9
