,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-23,bazleda01,Darius Bazley,59,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.6,Location.AWAY,UTAH_JAZZ,28,0,1155,0,3,0,1,0,0,0,3,0,0,1,1,-2.3
1,2019-10-25,bazleda01,Darius Bazley,59,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.4,Location.HOME,WASHINGTON_WIZARDS,29,5,904,2,3,0,0,1,2,0,2,0,1,0,0,4.9
2,2019-10-27,bazleda01,Darius Bazley,59,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.399999999999999,Location.HOME,GOLDEN_STATE_WARRIORS,9,5,1579,2,3,1,2,0,0,0,7,2,0,0,4,2.8
3,2019-10-28,bazleda01,Darius Bazley,59,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.3,Location.AWAY,HOUSTON_ROCKETS,10,3,699,1,2,1,2,0,0,0,4,1,0,0,1,2.5
4,2019-10-30,bazleda01,Darius Bazley,59,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.3999999999999999,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,0,756,0,0,0,0,0,0,0,2,0,0,0,2,-1.8
5,2019-11-02,bazleda01,Darius Bazley,59,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.0,Location.HOME,NEW_ORLEANS_PELICANS,18,17,1125,5,10,3,6,4,4,2,3,0,0,1,1,14.0
6,2019-11-05,bazleda01,Darius Bazley,59,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24.7,Location.HOME,ORLANDO_MAGIC,21,10,1425,4,11,2,5,0,0,0,6,1,2,0,0,7.6
7,2019-11-07,bazleda01,Darius Bazley,59,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.3,Location.AWAY,SAN_ANTONIO_SPURS,26,0,950,0,4,0,4,0,0,0,4,1,0,0,0,-0.9
8,2019-11-09,bazleda01,Darius Bazley,59,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.1,Location.HOME,GOLDEN_STATE_WARRIORS,9,9,1053,3,4,3,3,0,0,0,3,1,0,0,2,6.6
9,2019-11-10,bazleda01,Darius Bazley,59,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.8,Location.HOME,MILWAUKEE_BUCKS,16,0,1093,0,2,0,2,0,2,0,4,2,0,1,1,-0.3
