,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.0,Location.AWAY,ATLANTA_HAWKS,0,13,1422,6,12,0,2,1,1,0,0,4,0,0,3,5.2
1,2016-10-30,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27.1,Location.AWAY,MEMPHIS_GRIZZLIES,14,14,2389,5,17,2,8,2,2,0,3,1,2,1,1,6.6
2,2016-11-02,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.2,Location.HOME,TORONTO_RAPTORS,27,15,2313,5,13,2,4,3,6,0,1,2,0,2,1,8.0
3,2016-11-04,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32.9,Location.HOME,ATLANTA_HAWKS,0,28,2354,6,16,3,8,13,14,1,1,3,0,1,5,17.2
4,2016-11-05,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],30.3,Location.AWAY,ORLANDO_MAGIC,21,15,1994,6,17,1,5,2,2,2,2,3,1,1,0,9.3
5,2016-11-07,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],40.9,Location.HOME,HOUSTON_ROCKETS,10,20,2046,8,18,2,6,2,2,1,1,3,4,1,1,16.2
6,2016-11-09,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.3,Location.HOME,BOSTON_CELTICS,1,3,651,1,8,0,1,1,2,2,2,1,1,0,0,0.7
7,2016-11-17,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.9,Location.HOME,NEW_YORK_KNICKS,19,18,1753,5,10,3,5,5,5,0,2,5,0,0,1,16.1
8,2016-11-19,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],47.0,Location.HOME,MIAMI_HEAT,15,34,2409,12,26,4,11,6,6,2,3,4,1,0,2,23.1
9,2016-11-21,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],47.3,Location.HOME,PHOENIX_SUNS,23,42,2380,14,22,5,10,9,11,1,3,1,0,0,1,31.9
10,2016-11-25,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.4,Location.AWAY,ORLANDO_MAGIC,21,14,2277,6,15,2,6,0,0,0,2,8,1,0,3,9.7
11,2016-11-26,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],45.7,Location.HOME,SAN_ANTONIO_SPURS,26,25,2283,11,23,3,9,0,0,2,4,5,2,0,0,21.4
12,2016-11-28,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],43.7,Location.HOME,SACRAMENTO_KINGS,25,31,2432,12,24,7,13,0,2,1,5,3,0,1,2,21.2
13,2016-11-30,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],40.5,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,31,2490,10,21,4,10,7,10,1,4,1,2,0,4,17.7
14,2016-12-02,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.0,Location.AWAY,SAN_ANTONIO_SPURS,26,23,1823,7,11,5,5,4,5,0,0,0,0,0,2,14.9
15,2016-12-05,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],36.8,Location.AWAY,BROOKLYN_NETS,2,18,2161,7,18,3,8,1,4,1,3,4,3,0,1,12.2
16,2016-12-06,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25.6,Location.HOME,ORLANDO_MAGIC,21,19,2233,7,18,3,6,2,4,1,2,4,0,0,3,8.3
17,2016-12-08,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],35.1,Location.HOME,DENVER_NUGGETS,7,26,2194,8,15,4,7,6,6,0,3,5,0,0,2,20.7
18,2016-12-10,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.0,Location.HOME,MILWAUKEE_BUCKS,16,20,2199,6,15,1,4,7,8,0,0,6,0,0,1,14.7
19,2016-12-12,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],42.9,Location.AWAY,MIAMI_HEAT,15,29,2104,11,20,2,8,5,5,0,2,1,4,0,2,20.7
20,2016-12-14,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],37.3,Location.HOME,CHARLOTTE_HORNETS,3,20,2223,6,16,3,7,5,6,0,4,9,0,0,1,15.7
21,2016-12-16,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33.4,Location.HOME,DETROIT_PISTONS,8,25,2033,10,16,2,8,3,3,0,2,4,0,0,0,20.8
22,2016-12-18,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],51.1,Location.HOME,LOS_ANGELES_CLIPPERS,12,41,2282,13,23,6,10,9,11,0,3,3,1,0,1,31.5
23,2016-12-19,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.9,Location.AWAY,INDIANA_PACERS,11,22,1775,7,19,3,11,5,6,1,1,3,0,0,2,10.6
24,2016-12-21,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32.5,Location.AWAY,CHICAGO_BULLS,4,21,2208,7,17,1,7,6,8,0,0,5,2,0,2,13.8
25,2016-12-23,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.4,Location.AWAY,MILWAUKEE_BUCKS,16,10,1847,3,10,1,5,3,3,1,1,6,0,1,3,6.3
26,2016-12-26,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],37.3,Location.HOME,MILWAUKEE_BUCKS,16,22,2198,5,14,3,8,9,10,1,3,5,2,0,3,17.1
27,2016-12-28,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.2,Location.HOME,INDIANA_PACERS,11,12,1072,5,9,1,3,1,4,0,1,2,2,0,0,10.2
28,2017-01-02,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],36.6,Location.AWAY,HOUSTON_ROCKETS,10,27,2126,9,18,5,10,4,4,0,3,2,2,0,3,19.3
29,2017-01-03,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],37.8,Location.AWAY,DALLAS_MAVERICKS,6,25,2117,10,26,3,11,2,3,0,4,6,0,0,1,14.0
30,2017-01-06,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29.1,Location.HOME,MINNESOTA_TIMBERWOLVES,17,22,2049,7,12,5,7,3,3,0,3,3,0,0,1,18.4
31,2017-01-08,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33.8,Location.AWAY,MILWAUKEE_BUCKS,16,26,2158,10,19,2,10,4,5,1,3,2,0,1,3,15.0
32,2017-01-10,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.3,Location.HOME,CHICAGO_BULLS,4,19,2238,7,15,3,6,2,3,0,4,3,0,0,4,9.4
33,2017-01-11,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],47.4,Location.AWAY,BOSTON_CELTICS,1,35,2229,13,26,6,10,3,4,2,0,4,1,1,2,23.9
34,2017-01-14,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.3,Location.HOME,PHILADELPHIA_76ERS,22,20,1616,8,15,2,3,2,2,0,4,1,1,0,1,14.2
35,2017-01-16,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],42.9,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,25,1715,7,11,3,3,8,8,1,1,5,3,0,1,25.8
36,2017-01-18,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.2,Location.HOME,MEMPHIS_GRIZZLIES,14,12,2218,4,14,1,7,3,4,0,1,4,1,0,3,2.9
37,2017-01-19,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.899999999999999,Location.AWAY,NEW_YORK_KNICKS,19,8,2275,4,13,0,7,0,0,1,1,5,1,0,5,0.6
38,2017-01-21,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],38.0,Location.AWAY,DETROIT_PISTONS,8,17,2252,4,16,0,7,9,11,1,4,4,2,1,0,13.6
39,2017-01-23,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29.0,Location.AWAY,CHARLOTTE_HORNETS,3,18,1915,6,16,4,9,2,3,2,3,4,1,0,4,9.7
40,2017-01-24,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],41.9,Location.HOME,BOSTON_CELTICS,1,31,2072,12,18,2,5,5,5,0,2,5,2,0,5,23.1
41,2017-01-27,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25.2,Location.AWAY,ATLANTA_HAWKS,0,15,1579,6,13,2,7,1,1,0,1,4,1,0,0,11.6
42,2017-01-29,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],36.2,Location.AWAY,NEW_ORLEANS_PELICANS,18,27,2330,11,16,3,6,2,3,0,6,2,1,0,4,19.6
43,2017-01-31,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],36.4,Location.HOME,NEW_YORK_KNICKS,19,28,1913,12,18,2,6,2,2,1,1,4,1,0,3,21.6
44,2017-02-02,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],38.2,Location.HOME,LOS_ANGELES_LAKERS,13,23,2026,9,17,5,9,0,0,0,1,4,2,1,1,17.9
45,2017-02-04,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.5,Location.HOME,NEW_ORLEANS_PELICANS,18,12,2228,5,12,2,6,0,0,0,5,3,1,0,4,5.8
46,2017-02-06,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],59.0,Location.HOME,CLEVELAND_CAVALIERS,5,41,2720,16,28,6,14,3,3,0,5,8,0,0,0,34.5
47,2017-02-08,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],43.2,Location.AWAY,BROOKLYN_NETS,2,31,2473,12,25,3,6,4,4,2,4,2,2,0,4,18.7
48,2017-02-10,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],30.6,Location.HOME,INDIANA_PACERS,11,20,2109,6,15,3,10,5,8,1,2,4,1,0,2,13.4
49,2017-02-13,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.5,Location.HOME,OKLAHOMA_CITY_THUNDER,20,22,1359,7,8,6,7,2,3,0,0,3,0,0,3,16.3
50,2017-02-16,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29.6,Location.AWAY,INDIANA_PACERS,11,19,2144,7,14,4,7,1,2,1,2,4,1,0,2,13.5
51,2017-02-24,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],49.8,Location.AWAY,PHILADELPHIA_76ERS,22,40,2490,15,25,2,8,8,10,0,4,2,1,0,1,29.1
52,2017-02-26,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.6,Location.HOME,UTAH_JAZZ,28,22,2044,9,16,3,7,1,2,1,2,4,0,0,0,16.5
53,2017-02-28,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],35.3,Location.HOME,GOLDEN_STATE_WARRIORS,9,25,2342,8,17,4,10,5,5,2,2,3,2,0,5,15.8
54,2017-03-01,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],36.7,Location.AWAY,TORONTO_RAPTORS,27,23,1948,9,17,1,6,4,4,0,1,3,2,1,1,18.0
55,2017-03-03,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],42.4,Location.HOME,TORONTO_RAPTORS,27,27,2156,10,21,3,8,4,5,4,3,4,1,0,2,19.8
56,2017-03-05,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],49.6,Location.HOME,ORLANDO_MAGIC,21,32,2443,12,21,3,5,5,5,1,2,4,2,1,1,27.5
57,2017-03-07,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],34.6,Location.AWAY,PHOENIX_SUNS,23,27,1968,10,20,2,5,5,7,1,2,0,2,0,2,17.1
58,2017-03-08,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33.1,Location.AWAY,DENVER_NUGGETS,7,23,2016,9,15,5,7,0,0,1,2,5,0,0,1,19.9
59,2017-03-10,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],58.5,Location.AWAY,SACRAMENTO_KINGS,25,38,2564,13,24,5,9,7,7,2,8,3,1,1,2,31.6
60,2017-03-11,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],38.2,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,26,1972,9,18,5,10,3,4,0,1,6,1,0,1,20.3
61,2017-03-13,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],40.4,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,20,2277,7,21,3,11,3,3,2,5,2,3,0,0,14.2
62,2017-03-15,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.9,Location.HOME,DALLAS_MAVERICKS,6,24,2253,9,20,4,12,2,2,0,2,5,0,0,2,15.3
63,2017-03-17,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25.8,Location.HOME,CHICAGO_BULLS,4,24,1904,10,18,3,4,1,1,1,3,0,0,0,3,12.4
64,2017-03-18,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29.6,Location.AWAY,CHARLOTTE_HORNETS,3,18,1887,6,14,2,7,4,6,0,3,2,1,1,1,11.2
65,2017-03-20,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.3,Location.AWAY,BOSTON_CELTICS,1,19,1968,6,15,3,7,4,4,0,4,1,0,0,5,6.6
66,2017-03-22,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],53.8,Location.HOME,ATLANTA_HAWKS,0,28,2115,10,21,4,9,4,7,3,6,2,4,1,3,22.3
67,2017-03-24,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27.7,Location.HOME,BROOKLYN_NETS,2,19,1478,7,13,1,2,4,4,0,1,3,1,0,0,15.7
68,2017-03-25,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],38.8,Location.AWAY,CLEVELAND_CAVALIERS,5,27,2584,9,19,2,6,7,7,0,4,6,0,0,2,20.3
69,2017-03-28,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.7,Location.AWAY,LOS_ANGELES_LAKERS,13,16,2113,7,16,1,5,1,1,0,1,3,0,1,4,5.9
70,2017-03-29,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,27,2392,10,22,5,11,2,4,0,0,4,0,0,0,16.0
71,2017-03-31,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.6,Location.AWAY,UTAH_JAZZ,28,27,2358,10,20,3,7,4,4,1,2,0,1,0,5,13.5
72,2017-04-02,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32.9,Location.AWAY,GOLDEN_STATE_WARRIORS,9,20,1835,8,15,2,2,2,4,0,2,5,2,0,3,14.6
73,2017-04-04,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],35.4,Location.HOME,CHARLOTTE_HORNETS,3,19,2088,7,15,1,4,4,5,1,1,4,3,0,1,16.3
74,2017-04-06,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],37.1,Location.AWAY,NEW_YORK_KNICKS,19,25,2173,7,16,4,9,7,7,0,3,1,2,1,2,18.5
75,2017-04-08,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33.5,Location.HOME,MIAMI_HEAT,15,16,2276,6,15,1,5,3,3,2,3,5,2,1,5,9.8
76,2017-04-10,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],41.9,Location.AWAY,DETROIT_PISTONS,8,33,1992,13,20,3,8,4,4,0,2,3,0,1,1,25.8
77,2017-10-18,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],48.2,Location.HOME,PHILADELPHIA_76ERS,22,25,2137,6,17,1,4,12,16,2,4,4,3,1,2,20.2
78,2017-10-20,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],42.8,Location.HOME,DETROIT_PISTONS,8,25,2092,9,18,1,3,6,7,0,4,4,0,3,2,18.1
79,2017-10-23,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],30.0,Location.AWAY,DENVER_NUGGETS,7,20,2114,8,17,1,5,3,3,1,4,2,1,0,2,13.2
80,2017-10-25,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],46.2,Location.AWAY,LOS_ANGELES_LAKERS,13,28,2611,11,23,2,7,4,6,1,5,2,3,1,4,18.4
81,2017-10-27,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.6,Location.AWAY,GOLDEN_STATE_WARRIORS,9,4,921,2,7,0,2,0,0,2,1,2,1,0,1,2.6
82,2017-10-29,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.6,Location.AWAY,SACRAMENTO_KINGS,25,15,1747,6,11,1,3,2,2,1,2,4,0,0,1,12.4
83,2017-11-01,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],49.2,Location.HOME,PHOENIX_SUNS,23,40,2274,12,25,6,12,10,11,2,4,2,0,0,1,28.7
84,2017-11-03,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],45.8,Location.HOME,CLEVELAND_CAVALIERS,5,36,2211,12,19,1,5,11,13,2,2,4,1,0,4,28.1
85,2017-11-05,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],49.0,Location.AWAY,TORONTO_RAPTORS,27,38,2381,16,26,4,6,2,3,1,4,4,1,0,4,27.1
86,2017-11-07,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.799999999999997,Location.HOME,DALLAS_MAVERICKS,6,23,2248,8,20,3,8,4,5,0,4,2,1,0,5,9.2
87,2017-11-09,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],34.5,Location.HOME,LOS_ANGELES_LAKERS,13,22,2249,8,16,2,5,4,5,0,5,5,1,0,4,14.0
88,2017-11-11,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],35.8,Location.HOME,ATLANTA_HAWKS,0,19,1658,7,13,2,4,3,4,1,3,4,3,0,3,16.7
89,2017-11-13,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32.9,Location.HOME,SACRAMENTO_KINGS,25,14,1989,5,11,1,6,3,3,0,7,7,1,0,3,12.5
90,2017-11-15,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],39.9,Location.AWAY,MIAMI_HEAT,15,26,2361,6,19,1,6,13,14,3,4,1,2,0,2,18.3
91,2017-11-17,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],46.0,Location.HOME,MIAMI_HEAT,15,26,2372,9,22,5,12,3,4,0,10,4,1,0,1,18.0
92,2017-11-19,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.299999999999997,Location.AWAY,TORONTO_RAPTORS,27,27,2202,11,23,5,9,0,0,1,3,1,0,1,5,13.3
93,2017-11-20,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32.5,Location.AWAY,MILWAUKEE_BUCKS,16,23,2203,10,16,2,5,1,2,0,0,5,1,1,4,16.2
94,2017-11-22,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],35.8,Location.AWAY,CHARLOTTE_HORNETS,3,22,2456,7,22,3,8,5,7,1,3,2,2,1,3,10.5
95,2017-11-25,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],46.7,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,26,2109,10,24,3,10,3,4,0,1,7,2,2,3,18.4
96,2017-11-28,bealbr01,Bradley Beal,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.4,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,8,2061,2,11,0,1,4,6,0,2,6,0,1,1,4.4
