,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-05,beaslma01,Malik Beasley,61,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,DETROIT_PISTONS,8,0,311,0,2,0,0,0,0,0,0,0,0,0,0,-1.4
1,2016-11-06,beaslma01,Malik Beasley,61,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.AWAY,BOSTON_CELTICS,1,0,146,0,1,0,0,0,0,0,0,1,0,0,0,0.0
2,2016-11-10,beaslma01,Malik Beasley,61,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.9,Location.HOME,GOLDEN_STATE_WARRIORS,9,12,887,5,10,2,5,0,0,0,2,1,0,0,0,8.3
3,2016-11-13,beaslma01,Malik Beasley,61,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,0,357,0,3,0,1,0,0,0,0,0,0,0,0,-2.5
4,2016-11-16,beaslma01,Malik Beasley,61,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,PHOENIX_SUNS,23,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,2016-11-20,beaslma01,Malik Beasley,61,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.0,Location.HOME,UTAH_JAZZ,28,1,92,0,0,0,0,1,2,0,0,0,0,0,0,0.2
6,2016-11-23,beaslma01,Malik Beasley,61,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.7,Location.AWAY,UTAH_JAZZ,28,5,720,1,5,0,2,3,4,0,1,1,1,0,0,2.7
7,2016-11-27,beaslma01,Malik Beasley,61,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.2,Location.AWAY,PHOENIX_SUNS,23,3,386,1,5,1,3,0,0,0,1,0,0,0,0,0.2
8,2016-12-02,beaslma01,Malik Beasley,61,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.0,Location.HOME,HOUSTON_ROCKETS,10,5,265,2,3,1,2,0,0,0,0,0,1,0,0,4.7
9,2017-01-03,beaslma01,Malik Beasley,61,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.2,Location.HOME,SACRAMENTO_KINGS,25,2,71,1,1,0,0,0,0,0,1,0,0,0,0,2.0
