,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,beaslmi01,Michael Beasley,62,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.9,Location.HOME,CHARLOTTE_HORNETS,3,2,1159,1,5,0,0,0,2,1,1,1,1,0,0,0.4
1,2016-10-29,beaslmi01,Michael Beasley,62,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.0,Location.HOME,BROOKLYN_NETS,2,4,546,2,2,0,0,0,0,0,0,0,0,0,1,2.0
2,2016-10-30,beaslmi01,Michael Beasley,62,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.2,Location.AWAY,DETROIT_PISTONS,8,7,947,3,5,0,2,1,2,0,1,2,2,0,2,4.8
3,2016-11-01,beaslmi01,Michael Beasley,62,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.2,Location.AWAY,NEW_ORLEANS_PELICANS,18,12,768,5,9,0,1,2,2,0,1,0,0,0,1,6.6
4,2016-11-03,beaslmi01,Michael Beasley,62,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.9,Location.HOME,INDIANA_PACERS,11,4,777,2,6,0,1,0,0,0,2,1,0,1,2,-0.6
5,2016-11-05,beaslmi01,Michael Beasley,62,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.8,Location.HOME,SACRAMENTO_KINGS,25,10,966,5,10,0,1,0,0,1,3,0,1,0,0,7.6
6,2016-11-06,beaslmi01,Michael Beasley,62,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.6,Location.AWAY,DALLAS_MAVERICKS,6,7,623,3,4,1,1,0,0,0,3,0,1,0,0,6.5
7,2016-11-10,beaslmi01,Michael Beasley,62,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.8,Location.HOME,NEW_ORLEANS_PELICANS,18,9,721,3,6,1,1,2,2,0,4,2,0,0,0,8.2
8,2016-11-12,beaslmi01,Michael Beasley,62,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27.3,Location.HOME,MEMPHIS_GRIZZLIES,14,19,1169,6,8,1,1,6,7,1,3,1,1,0,1,17.3
9,2016-11-16,beaslmi01,Michael Beasley,62,[<Position.POWER_FORWARD: 'POWER FORWARD'>],-2.0,Location.AWAY,ATLANTA_HAWKS,0,0,257,0,2,0,0,0,0,0,0,0,0,0,2,-3.8
10,2016-11-17,beaslmi01,Michael Beasley,62,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.0,Location.AWAY,MIAMI_HEAT,15,13,957,5,11,0,0,3,5,4,6,0,0,0,2,8.3
11,2016-11-19,beaslmi01,Michael Beasley,62,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.6,Location.HOME,GOLDEN_STATE_WARRIORS,9,9,1204,4,9,1,1,0,2,2,1,0,0,0,0,4.8
12,2016-11-21,beaslmi01,Michael Beasley,62,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.1,Location.HOME,ORLANDO_MAGIC,21,14,1185,7,14,0,1,0,0,1,2,1,0,0,0,8.2
13,2016-11-25,beaslmi01,Michael Beasley,62,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.6,Location.HOME,TORONTO_RAPTORS,27,2,934,1,7,0,1,0,0,0,8,2,0,1,1,-0.2
