,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.3,Location.AWAY,MILWAUKEE_BUCKS,16,7,1586,3,8,0,2,1,1,0,4,1,0,0,0,4.1
1,2016-10-28,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.2,Location.AWAY,MIAMI_HEAT,15,12,1703,4,9,2,3,2,2,0,1,2,1,0,0,8.8
2,2016-10-29,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.7,Location.HOME,BOSTON_CELTICS,1,5,1403,1,6,0,3,3,3,0,1,1,1,0,0,2.4
3,2016-11-02,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.6,Location.HOME,PHILADELPHIA_76ERS,22,11,1288,4,9,3,6,0,0,0,3,2,0,0,0,7.8
4,2016-11-04,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.600000000000001,Location.AWAY,BROOKLYN_NETS,2,2,1282,1,6,0,2,0,0,0,3,2,3,0,2,1.5
5,2016-11-07,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29.6,Location.HOME,INDIANA_PACERS,11,12,1629,3,8,2,4,4,4,1,2,4,3,0,1,13.3
6,2016-11-09,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.7,Location.HOME,UTAH_JAZZ,28,13,1629,5,7,1,2,2,2,0,1,1,0,0,2,7.9
7,2016-11-11,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.8,Location.HOME,TORONTO_RAPTORS,27,6,1596,2,9,1,5,1,1,0,4,0,1,1,1,2.0
8,2016-11-13,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.7,Location.AWAY,CLEVELAND_CAVALIERS,5,9,1247,3,7,3,4,0,0,0,1,1,1,0,0,6.9
9,2016-11-15,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.7,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,12,1635,5,8,2,2,0,0,0,1,1,0,0,0,9.0
10,2016-11-18,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.7,Location.HOME,ATLANTA_HAWKS,0,6,1603,2,7,1,4,1,2,0,1,3,1,0,1,3.5
11,2016-11-19,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],36.0,Location.AWAY,NEW_ORLEANS_PELICANS,18,22,1965,7,13,7,9,1,2,0,10,4,0,0,4,16.3
12,2016-11-21,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],37.0,Location.HOME,MEMPHIS_GRIZZLIES,14,14,1830,3,8,2,4,6,7,0,5,4,2,2,1,15.9
13,2016-11-23,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.3,Location.HOME,SAN_ANTONIO_SPURS,26,12,1257,5,11,1,5,1,2,1,3,1,0,0,0,7.0
14,2016-11-25,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27.9,Location.AWAY,NEW_YORK_KNICKS,19,19,1953,7,11,5,6,0,0,1,1,3,1,0,1,16.8
15,2016-11-26,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.9,Location.HOME,NEW_YORK_KNICKS,19,5,1170,2,5,1,3,0,0,0,2,1,0,0,0,3.2
16,2016-11-28,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.6,Location.AWAY,MEMPHIS_GRIZZLIES,14,6,1276,2,9,0,3,2,2,0,3,2,0,0,0,2.4
17,2016-11-29,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.4,Location.HOME,DETROIT_PISTONS,8,11,1479,4,10,1,4,2,2,0,2,2,0,1,0,7.9
18,2016-12-01,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.2,Location.HOME,DALLAS_MAVERICKS,6,8,1216,3,5,0,1,2,2,0,1,2,1,0,0,8.4
19,2016-12-03,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,15,1406,6,10,3,7,0,0,0,0,0,0,0,1,9.4
20,2016-12-05,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.2,Location.AWAY,DALLAS_MAVERICKS,6,16,1797,5,9,2,4,4,5,0,6,2,0,0,3,11.1
21,2016-12-07,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.5,Location.HOME,DETROIT_PISTONS,8,13,1686,5,10,1,4,2,2,0,5,1,2,0,0,11.4
22,2016-12-09,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.1,Location.HOME,ORLANDO_MAGIC,21,7,1231,3,6,0,1,1,1,0,3,1,0,0,0,5.2
23,2016-12-10,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.7,Location.AWAY,CLEVELAND_CAVALIERS,5,15,1735,6,11,3,4,0,0,1,0,1,0,0,1,8.5
24,2016-12-12,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.6,Location.AWAY,INDIANA_PACERS,11,14,1656,4,9,1,3,5,5,0,3,2,1,0,1,10.4
25,2016-12-14,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.7,Location.AWAY,WASHINGTON_WIZARDS,29,16,1314,6,10,4,6,0,0,0,1,1,0,0,2,10.0
26,2016-12-16,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.4,Location.AWAY,BOSTON_CELTICS,1,11,1619,4,13,1,6,2,3,2,0,4,0,0,0,6.1
27,2016-12-17,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.1,Location.AWAY,ATLANTA_HAWKS,0,19,1773,8,11,3,4,0,0,0,3,1,0,0,1,14.7
28,2016-12-20,belinma01,Marco Belinelli,63,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.4,Location.HOME,LOS_ANGELES_LAKERS,13,13,1988,4,10,3,6,2,3,0,2,2,0,1,1,8.9
