,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,bembrde01,DeAndre' Bembry,65,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.2,Location.HOME,WASHINGTON_WIZARDS,29,2,146,1,1,0,0,0,0,0,1,0,0,0,0,2.0
1,2016-10-29,bembrde01,DeAndre' Bembry,65,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.4,Location.AWAY,PHILADELPHIA_76ERS,22,2,364,1,3,0,1,0,0,1,1,0,0,0,0,1.3
2,2016-11-05,bembrde01,DeAndre' Bembry,65,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,HOUSTON_ROCKETS,10,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,2016-11-12,bembrde01,DeAndre' Bembry,65,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.HOME,PHILADELPHIA_76ERS,22,0,196,0,2,0,0,0,0,1,0,0,0,0,0,-0.7
4,2016-11-22,bembrde01,DeAndre' Bembry,65,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.2,Location.HOME,NEW_ORLEANS_PELICANS,18,2,720,1,4,0,1,0,0,0,1,2,0,0,0,1.3
5,2016-11-25,bembrde01,DeAndre' Bembry,65,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,UTAH_JAZZ,28,2,420,1,1,0,0,0,0,0,0,0,0,0,2,-0.3
6,2016-11-27,bembrde01,DeAndre' Bembry,65,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.0,Location.AWAY,LOS_ANGELES_LAKERS,13,1,177,0,1,0,1,1,2,0,0,0,1,0,0,0.9
7,2016-12-03,bembrde01,DeAndre' Bembry,65,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],-2.0,Location.AWAY,TORONTO_RAPTORS,27,0,410,0,2,0,0,0,0,0,0,0,0,0,2,-3.4
8,2016-12-13,bembrde01,DeAndre' Bembry,65,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,ORLANDO_MAGIC,21,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,2016-12-23,bembrde01,DeAndre' Bembry,65,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.3,Location.AWAY,DENVER_NUGGETS,7,9,1155,4,6,0,1,1,1,2,2,1,1,0,0,9.3
10,2016-12-26,bembrde01,DeAndre' Bembry,65,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.6,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,7,1018,3,4,0,0,1,3,0,3,0,0,0,2,2.3
11,2017-01-04,bembrde01,DeAndre' Bembry,65,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.AWAY,ORLANDO_MAGIC,21,0,134,0,0,0,0,0,0,0,1,0,0,0,0,0.3
12,2017-01-05,bembrde01,DeAndre' Bembry,65,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.2,Location.AWAY,NEW_ORLEANS_PELICANS,18,6,889,3,4,0,1,0,0,0,1,0,0,0,0,4.3
13,2017-01-10,bembrde01,DeAndre' Bembry,65,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.5,Location.AWAY,BROOKLYN_NETS,2,3,192,1,3,0,1,1,2,0,0,1,0,0,0,1.6
