,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,bendedr01,Dragan Bender,66,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.4,Location.HOME,SACRAMENTO_KINGS,25,10,717,4,5,2,3,0,0,1,1,0,0,0,0,9.1
1,2016-10-28,bendedr01,Dragan Bender,66,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,436,0,1,0,0,0,0,0,1,0,1,1,0,0.9
2,2016-10-30,bendedr01,Dragan Bender,66,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,203,0,2,0,2,0,0,0,0,0,0,0,0,-1.8
3,2016-10-31,bendedr01,Dragan Bender,66,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.2,Location.AWAY,LOS_ANGELES_CLIPPERS,12,0,412,0,1,0,0,0,0,0,1,2,1,0,0,2.0
4,2016-11-08,bendedr01,Dragan Bender,66,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.899999999999999,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,10,1381,4,9,2,4,0,0,1,1,1,0,1,2,4.9
5,2016-11-09,bendedr01,Dragan Bender,66,[<Position.POWER_FORWARD: 'POWER FORWARD'>],-1.0,Location.HOME,DETROIT_PISTONS,8,0,487,0,4,0,2,0,0,0,0,0,0,0,1,-5.4
6,2016-11-12,bendedr01,Dragan Bender,66,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.2,Location.HOME,BROOKLYN_NETS,2,5,458,2,3,1,2,0,0,0,1,0,0,0,0,3.6
7,2016-11-13,bendedr01,Dragan Bender,66,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.4,Location.AWAY,GOLDEN_STATE_WARRIORS,9,5,855,2,2,1,1,0,0,1,1,0,0,1,0,5.3
8,2016-11-16,bendedr01,Dragan Bender,66,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.5,Location.AWAY,DENVER_NUGGETS,7,0,146,0,1,0,1,0,0,0,0,1,0,0,0,-0.4
9,2016-11-19,bendedr01,Dragan Bender,66,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.2,Location.AWAY,PHILADELPHIA_76ERS,22,2,693,1,3,0,2,0,1,0,1,0,0,1,2,-1.5
10,2016-11-23,bendedr01,Dragan Bender,66,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.8,Location.AWAY,ORLANDO_MAGIC,21,3,784,1,3,1,1,0,0,0,4,0,0,2,1,2.1
11,2016-11-25,bendedr01,Dragan Bender,66,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.HOME,MINNESOTA_TIMBERWOLVES,17,3,448,1,2,1,2,0,2,0,1,0,0,0,1,0.5
12,2016-11-27,bendedr01,Dragan Bender,66,[<Position.POWER_FORWARD: 'POWER FORWARD'>],-0.8,Location.HOME,DENVER_NUGGETS,7,0,815,0,2,0,1,0,0,0,1,0,0,0,2,-3.1
