,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-03-10,bertada02,Dairis Bertāns,70,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.AWAY,ATLANTA_HAWKS,0,0,386,0,1,0,0,0,0,0,0,1,0,0,0,-0.4
1,2019-03-12,bertada02,Dairis Bertāns,70,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.HOME,MILWAUKEE_BUCKS,16,0,453,0,2,0,2,0,0,1,0,0,0,0,0,-1.1
2,2019-03-16,bertada02,Dairis Bertāns,70,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.5,Location.HOME,PHOENIX_SUNS,23,3,634,1,3,1,2,0,0,0,0,1,0,0,0,2.0
3,2019-03-18,bertada02,Dairis Bertāns,70,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.2,Location.AWAY,DALLAS_MAVERICKS,6,3,421,1,1,1,1,0,0,0,1,0,0,0,1,2.0
4,2019-03-20,bertada02,Dairis Bertāns,70,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.4,Location.AWAY,ORLANDO_MAGIC,21,4,881,2,6,0,3,0,0,1,1,0,0,0,1,0.6
5,2019-03-24,bertada02,Dairis Bertāns,70,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.2,Location.HOME,HOUSTON_ROCKETS,10,3,749,1,4,1,3,0,0,0,1,0,0,0,0,0.5
6,2019-03-28,bertada02,Dairis Bertāns,70,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.HOME,SACRAMENTO_KINGS,25,0,475,0,0,0,0,0,0,0,0,2,0,0,0,1.0
7,2019-03-31,bertada02,Dairis Bertāns,70,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.0,Location.HOME,LOS_ANGELES_LAKERS,13,6,1317,2,9,2,9,0,0,0,0,0,1,0,0,1.1
8,2019-04-03,bertada02,Dairis Bertāns,70,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.2,Location.HOME,CHARLOTTE_HORNETS,3,6,1040,2,5,2,4,0,0,0,1,2,0,0,0,5.0
9,2019-04-05,bertada02,Dairis Bertāns,70,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.2,Location.AWAY,PHOENIX_SUNS,23,3,843,1,4,1,3,0,0,0,1,2,0,0,0,2.3
10,2019-04-07,bertada02,Dairis Bertāns,70,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.4,Location.AWAY,SACRAMENTO_KINGS,25,6,1278,2,8,2,5,0,0,0,2,0,0,0,0,1.4
11,2019-04-09,bertada02,Dairis Bertāns,70,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,1544,0,4,0,2,0,0,0,0,2,0,0,0,-1.8
