,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-20,birdja01,Jabari Bird,73,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.2,Location.AWAY,PHILADELPHIA_76ERS,22,3,818,0,1,0,1,3,5,0,1,0,0,0,0,1.4
1,2017-10-24,birdja01,Jabari Bird,73,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,NEW_YORK_KNICKS,19,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2,2017-12-11,birdja01,Jabari Bird,73,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.7,Location.AWAY,CHICAGO_BULLS,4,2,305,1,3,0,1,0,0,0,1,1,1,0,0,2.3
3,2017-12-28,birdja01,Jabari Bird,73,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,HOUSTON_ROCKETS,10,0,62,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
4,2018-03-18,birdja01,Jabari Bird,73,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.19999999999999996,Location.AWAY,NEW_ORLEANS_PELICANS,18,0,195,0,0,0,0,0,0,1,0,0,0,0,1,-0.3
5,2018-03-25,birdja01,Jabari Bird,73,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,SACRAMENTO_KINGS,25,0,522,0,0,0,0,0,0,1,0,0,0,0,0,0.7
6,2018-03-26,birdja01,Jabari Bird,73,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,PHOENIX_SUNS,23,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,2018-03-31,birdja01,Jabari Bird,73,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,TORONTO_RAPTORS,27,0,10,0,0,0,0,0,1,0,0,0,0,0,0,-0.4
8,2018-04-04,birdja01,Jabari Bird,73,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,TORONTO_RAPTORS,27,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,2018-04-06,birdja01,Jabari Bird,73,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27.1,Location.HOME,CHICAGO_BULLS,4,15,1446,7,10,1,2,0,3,0,3,3,1,1,2,12.3
10,2018-04-08,birdja01,Jabari Bird,73,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.0,Location.HOME,ATLANTA_HAWKS,0,9,1292,4,5,1,1,0,0,2,3,2,0,0,1,8.6
11,2018-04-10,birdja01,Jabari Bird,73,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.5,Location.AWAY,WASHINGTON_WIZARDS,29,3,179,1,1,1,1,0,0,0,0,1,0,0,0,3.4
12,2018-04-11,birdja01,Jabari Bird,73,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.899999999999999,Location.HOME,BROOKLYN_NETS,2,7,1718,2,6,0,1,3,4,2,5,1,1,0,4,3.0
