,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,blackta01,Tarik Black,77,[<Position.CENTER: 'CENTER'>],10.8,Location.HOME,HOUSTON_ROCKETS,10,4,692,1,2,0,0,2,2,1,3,0,1,0,1,3.0
1,2016-10-28,blackta01,Tarik Black,77,[<Position.CENTER: 'CENTER'>],16.4,Location.AWAY,UTAH_JAZZ,28,8,608,4,6,0,0,0,0,4,3,0,0,0,0,8.3
2,2016-10-30,blackta01,Tarik Black,77,[<Position.CENTER: 'CENTER'>],5.8,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,2,662,1,2,0,0,0,0,1,3,0,0,0,1,0.8
3,2016-11-01,blackta01,Tarik Black,77,[<Position.CENTER: 'CENTER'>],19.1,Location.AWAY,INDIANA_PACERS,11,6,1117,1,2,0,0,4,4,2,6,1,0,1,1,7.4
4,2016-11-02,blackta01,Tarik Black,77,[<Position.CENTER: 'CENTER'>],10.6,Location.AWAY,ATLANTA_HAWKS,0,4,962,2,4,0,0,0,0,2,1,0,0,1,0,2.4
5,2016-11-04,blackta01,Tarik Black,77,[<Position.CENTER: 'CENTER'>],12.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,8,915,4,6,0,0,0,0,1,4,0,0,0,2,4.1
6,2016-11-06,blackta01,Tarik Black,77,[<Position.CENTER: 'CENTER'>],16.9,Location.HOME,PHOENIX_SUNS,23,4,1008,2,6,0,0,0,0,3,4,1,0,2,3,2.6
7,2016-11-08,blackta01,Tarik Black,77,[<Position.CENTER: 'CENTER'>],8.6,Location.HOME,DALLAS_MAVERICKS,6,2,926,1,2,0,0,0,0,0,3,2,0,0,0,2.9
8,2016-11-10,blackta01,Tarik Black,77,[<Position.CENTER: 'CENTER'>],12.3,Location.AWAY,SACRAMENTO_KINGS,25,7,649,3,4,0,0,1,2,1,3,1,0,0,1,5.5
9,2016-11-12,blackta01,Tarik Black,77,[<Position.CENTER: 'CENTER'>],18.0,Location.AWAY,NEW_ORLEANS_PELICANS,18,6,1076,3,5,0,0,0,0,2,3,2,0,1,0,8.1
