,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-19,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.AWAY,TORONTO_RAPTORS,27,2,74,1,1,0,0,0,0,0,0,0,0,0,0,1.7
1,2017-11-15,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.4,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,16,1568,5,12,3,6,3,5,0,2,0,0,0,2,6.2
2,2017-11-17,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.7,Location.HOME,CHARLOTTE_HORNETS,3,5,715,1,3,0,2,3,3,0,1,1,0,0,0,4.3
3,2017-11-19,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.9,Location.AWAY,PHOENIX_SUNS,23,7,1137,3,8,0,1,1,2,0,2,1,0,0,0,3.5
4,2017-11-21,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.9,Location.AWAY,LOS_ANGELES_LAKERS,13,15,1064,6,12,0,2,3,3,0,2,1,0,0,0,9.5
5,2017-11-22,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.4,Location.AWAY,UTAH_JAZZ,28,8,1456,3,7,2,3,0,0,1,1,0,0,0,2,3.3
6,2017-11-24,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.6,Location.AWAY,GOLDEN_STATE_WARRIORS,9,11,1183,5,14,1,4,0,0,2,1,2,1,0,1,5.9
7,2017-11-26,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.9,Location.HOME,MIAMI_HEAT,15,3,847,1,7,0,4,1,2,0,2,1,1,0,0,0.4
8,2017-11-28,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.8,Location.HOME,PHOENIX_SUNS,23,6,673,2,8,1,3,1,2,0,4,0,0,0,1,1.0
9,2017-11-30,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.9,Location.AWAY,DENVER_NUGGETS,7,2,809,0,3,0,1,2,2,0,2,1,0,0,0,0.4
10,2017-12-01,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.0,Location.HOME,SACRAMENTO_KINGS,25,3,276,1,2,1,2,0,0,0,0,0,0,0,2,0.0
11,2018-01-31,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.0,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,7,386,2,5,1,2,2,2,0,0,0,0,0,0,4.3
12,2018-03-09,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.2,Location.AWAY,DETROIT_PISTONS,8,4,169,2,2,0,0,0,0,0,1,0,0,0,0,3.7
13,2018-03-11,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.1,Location.AWAY,ATLANTA_HAWKS,0,14,1113,6,9,2,3,0,0,0,3,1,1,0,0,11.9
14,2018-03-13,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,6,1277,2,8,1,3,1,1,0,0,4,2,0,0,5.2
15,2018-03-15,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.7,Location.AWAY,MEMPHIS_GRIZZLIES,14,10,1482,2,7,1,4,5,8,0,1,1,1,0,0,5.5
16,2018-03-17,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.7,Location.HOME,CLEVELAND_CAVALIERS,5,10,1642,4,14,1,6,1,2,0,1,3,1,0,0,4.4
17,2018-03-19,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.3,Location.AWAY,NEW_YORK_KNICKS,19,16,1555,4,12,1,5,7,7,0,4,1,0,1,2,9.4
18,2018-03-21,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.1,Location.HOME,DENVER_NUGGETS,7,6,1408,3,9,0,1,0,0,1,2,3,0,0,1,2.5
19,2018-10-18,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.0,Location.AWAY,PHILADELPHIA_76ERS,22,15,1827,6,16,1,3,2,3,0,5,2,0,0,1,6.9
20,2018-10-20,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.8,Location.HOME,DETROIT_PISTONS,8,10,1290,5,6,0,0,0,0,0,4,0,1,0,0,10.0
21,2018-10-22,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.AWAY,DALLAS_MAVERICKS,6,3,272,1,2,1,1,0,2,0,0,0,0,0,0,1.2
22,2018-10-24,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.5,Location.HOME,CHARLOTTE_HORNETS,3,4,533,1,2,0,1,2,3,0,0,1,0,0,0,2.9
23,2018-10-26,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.4,Location.AWAY,CHARLOTTE_HORNETS,3,13,1330,5,10,2,5,1,2,0,2,0,0,2,0,8.8
24,2018-10-27,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.4,Location.AWAY,ATLANTA_HAWKS,0,9,912,4,8,1,2,0,0,0,2,0,0,0,1,3.8
25,2018-10-29,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.9,Location.HOME,GOLDEN_STATE_WARRIORS,9,21,1266,7,12,4,6,3,4,1,1,1,0,0,0,16.3
26,2018-10-31,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.6,Location.HOME,DENVER_NUGGETS,7,15,820,5,9,4,4,1,3,0,3,0,0,0,1,9.8
27,2018-11-02,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.6,Location.HOME,INDIANA_PACERS,11,22,1532,9,13,3,5,1,1,0,3,0,0,0,1,16.4
28,2018-11-03,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.9,Location.HOME,HOUSTON_ROCKETS,10,2,594,0,6,0,2,2,2,0,2,1,0,0,0,-0.9
29,2018-11-05,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.2,Location.AWAY,NEW_YORK_KNICKS,19,17,1208,6,13,1,5,4,5,0,1,0,2,1,1,11.1
30,2018-11-07,blakean01,Antonio Blakeney,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.1,Location.AWAY,NEW_ORLEANS_PELICANS,18,6,994,3,11,0,3,0,0,0,3,1,1,0,1,1.1
