,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],29.700000000000003,Location.HOME,SACRAMENTO_KINGS,25,16,1767,5,11,2,5,4,4,0,6,5,1,0,4,11.4
1,2016-10-28,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],40.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,17,2270,6,16,0,7,5,9,0,5,6,3,0,1,12.3
2,2016-10-30,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],39.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,21,2136,7,11,1,3,6,9,0,5,6,1,0,0,20.8
3,2016-10-31,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],26.1,Location.AWAY,LOS_ANGELES_CLIPPERS,12,12,1918,5,14,0,1,2,4,1,7,5,0,0,3,5.5
4,2016-11-02,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],34.4,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,20,2395,7,20,1,4,5,5,3,4,4,1,0,3,11.3
5,2016-11-04,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],28.4,Location.AWAY,NEW_ORLEANS_PELICANS,18,17,2134,7,13,2,6,1,3,2,5,4,0,0,3,10.6
6,2016-11-06,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],24.4,Location.AWAY,LOS_ANGELES_LAKERS,13,19,1782,7,14,0,4,5,6,1,1,2,2,0,6,8.0
7,2016-11-08,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],39.8,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,31,1865,9,13,2,3,11,12,0,4,4,0,0,2,25.9
8,2016-11-09,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],41.2,Location.HOME,DETROIT_PISTONS,8,21,2099,8,15,1,2,4,4,1,10,8,0,0,5,17.2
9,2016-11-12,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],35.6,Location.HOME,BROOKLYN_NETS,2,8,1786,1,8,1,3,5,7,2,6,8,3,0,3,10.0
10,2016-11-13,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],31.1,Location.AWAY,GOLDEN_STATE_WARRIORS,9,20,1702,6,13,1,4,7,7,1,2,5,0,0,0,17.3
11,2016-11-16,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],22.1,Location.AWAY,DENVER_NUGGETS,7,8,2045,2,4,0,1,4,6,1,2,5,3,0,6,5.8
12,2016-11-18,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],13.6,Location.AWAY,INDIANA_PACERS,11,6,788,3,10,0,1,0,0,0,3,2,1,0,2,-0.1
13,2016-11-19,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],38.0,Location.AWAY,PHILADELPHIA_76ERS,22,27,1801,12,24,1,4,2,2,2,3,6,0,0,4,16.3
14,2016-11-21,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],53.8,Location.AWAY,WASHINGTON_WIZARDS,29,29,2390,10,25,3,9,6,7,2,7,6,1,2,4,20.4
15,2016-11-23,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],37.3,Location.AWAY,ORLANDO_MAGIC,21,16,1949,5,15,1,4,5,8,0,9,5,1,1,3,10.8
16,2016-11-25,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],47.2,Location.HOME,MINNESOTA_TIMBERWOLVES,17,23,2068,8,15,2,5,5,7,2,4,10,3,0,7,18.9
17,2016-11-27,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],60.2,Location.HOME,DENVER_NUGGETS,7,35,2410,10,23,4,8,11,11,0,6,6,2,2,3,28.1
18,2016-11-30,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],33.2,Location.HOME,ATLANTA_HAWKS,0,12,1703,5,17,0,3,2,2,2,4,4,2,1,1,8.8
19,2016-12-03,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],53.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,27,1807,10,19,5,8,2,2,0,5,4,5,0,1,24.8
20,2016-12-06,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],24.2,Location.AWAY,UTAH_JAZZ,28,14,1492,5,10,0,0,4,4,1,5,2,1,0,3,10.2
21,2016-12-07,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],32.6,Location.HOME,INDIANA_PACERS,11,15,1728,5,13,0,5,5,5,0,3,4,3,1,4,9.3
22,2016-12-09,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],59.3,Location.AWAY,LOS_ANGELES_LAKERS,13,30,1955,10,18,3,5,7,8,0,4,9,3,1,1,31.2
23,2016-12-11,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],49.6,Location.HOME,NEW_ORLEANS_PELICANS,18,32,2377,13,26,3,11,3,4,1,2,8,2,0,4,21.1
24,2016-12-13,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],54.2,Location.HOME,NEW_YORK_KNICKS,19,31,2341,9,21,1,4,12,12,2,4,8,2,1,5,25.0
25,2016-12-15,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],27.3,Location.HOME,SAN_ANTONIO_SPURS,26,14,1784,5,14,1,5,3,4,1,3,5,1,0,2,9.5
26,2016-12-17,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],19.6,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,12,1855,4,13,1,6,3,3,0,3,4,0,0,2,5.8
27,2016-12-19,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],41.7,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,27,1985,9,20,3,4,6,9,0,1,3,2,2,3,17.8
28,2016-12-21,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],26.4,Location.HOME,HOUSTON_ROCKETS,10,16,1830,6,13,1,5,3,4,2,0,6,0,0,1,12.7
29,2016-12-23,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],47.9,Location.HOME,PHILADELPHIA_76ERS,22,24,2215,7,12,2,5,8,11,1,1,11,0,3,4,23.2
30,2016-12-26,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],41.2,Location.AWAY,HOUSTON_ROCKETS,10,24,1637,8,20,1,8,7,9,0,6,4,3,0,5,13.8
31,2016-12-28,bledser01,Eric Bledsoe,79,[<Position.POINT_GUARD: 'POINT GUARD'>],18.9,Location.AWAY,SAN_ANTONIO_SPURS,26,13,1600,6,9,0,2,1,1,1,1,3,0,0,1,10.0
