,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,bogdabo02,Bojan Bogdanović,83,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.0,Location.AWAY,BOSTON_CELTICS,1,21,1384,9,17,3,8,0,0,2,3,0,1,0,2,13.2
1,2016-10-28,bogdabo02,Bojan Bogdanović,83,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.2,Location.HOME,INDIANA_PACERS,11,4,1690,1,6,0,2,2,2,0,1,0,0,1,0,-0.4
2,2016-10-29,bogdabo02,Bojan Bogdanović,83,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],35.1,Location.AWAY,MILWAUKEE_BUCKS,16,26,1880,9,15,2,6,6,6,2,6,1,0,0,2,20.2
3,2016-10-31,bogdabo02,Bojan Bogdanović,83,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.1,Location.HOME,CHICAGO_BULLS,4,15,1245,5,11,2,4,3,4,2,1,1,0,0,1,9.9
4,2016-11-02,bogdabo02,Bojan Bogdanović,83,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.8,Location.HOME,DETROIT_PISTONS,8,11,1919,3,7,3,7,2,2,1,3,2,0,0,2,7.5
5,2016-11-04,bogdabo02,Bojan Bogdanović,83,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.3,Location.HOME,CHARLOTTE_HORNETS,3,14,1994,4,17,2,9,4,4,1,3,1,0,0,2,2.8
6,2016-11-08,bogdabo02,Bojan Bogdanović,83,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.2,Location.HOME,MINNESOTA_TIMBERWOLVES,17,13,1638,3,9,3,8,4,4,0,1,2,1,0,0,10.6
7,2016-11-09,bogdabo02,Bojan Bogdanović,83,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.4,Location.AWAY,NEW_YORK_KNICKS,19,6,1728,2,9,0,3,2,2,0,2,2,3,0,1,3.7
8,2016-11-12,bogdabo02,Bojan Bogdanović,83,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.0,Location.AWAY,PHOENIX_SUNS,23,7,1839,2,6,1,4,2,3,0,5,2,0,0,2,4.1
9,2016-11-14,bogdabo02,Bojan Bogdanović,83,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.4,Location.AWAY,LOS_ANGELES_CLIPPERS,12,18,1509,8,11,1,3,1,1,0,2,0,1,0,3,11.7
