,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-16,boldejo01,Jonah Bolden,86,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,BOSTON_CELTICS,1,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,2018-10-18,boldejo01,Jonah Bolden,86,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,CHICAGO_BULLS,4,0,169,0,1,0,1,0,0,0,0,0,0,0,0,-1.1
2,2018-10-29,boldejo01,Jonah Bolden,86,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.199999999999999,Location.HOME,ATLANTA_HAWKS,0,4,408,2,5,0,3,0,0,0,1,0,0,1,1,0.9
3,2018-10-30,boldejo01,Jonah Bolden,86,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.7,Location.AWAY,TORONTO_RAPTORS,27,1,229,0,0,0,0,1,2,0,1,1,0,0,0,1.6
4,2018-11-09,boldejo01,Jonah Bolden,86,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.3,Location.HOME,CHARLOTTE_HORNETS,3,5,657,2,4,1,3,0,0,0,4,1,0,0,1,2.3
5,2018-11-10,boldejo01,Jonah Bolden,86,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.6,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,873,0,1,0,0,0,0,0,3,0,3,0,0,3.2
6,2018-12-07,boldejo01,Jonah Bolden,86,[<Position.POWER_FORWARD: 'POWER FORWARD'>],-1.0,Location.AWAY,DETROIT_PISTONS,8,0,118,0,0,0,0,0,0,0,0,0,0,0,1,-1.4
7,2018-12-16,boldejo01,Jonah Bolden,86,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.6,Location.AWAY,CLEVELAND_CAVALIERS,5,2,158,1,1,0,0,0,0,2,1,0,0,0,0,3.4
8,2018-12-17,boldejo01,Jonah Bolden,86,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.0,Location.AWAY,SAN_ANTONIO_SPURS,26,0,546,0,2,0,2,0,2,0,0,0,0,2,0,-1.2
9,2018-12-22,boldejo01,Jonah Bolden,86,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.299999999999997,Location.HOME,TORONTO_RAPTORS,27,4,1519,1,3,0,1,2,2,1,8,1,0,4,3,4.7
