,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-11-04,bonejo01,Jordan Bone,89,[<Position.POINT_GUARD: 'POINT GUARD'>],-1.0,Location.AWAY,WASHINGTON_WIZARDS,29,0,114,0,1,0,0,0,0,0,0,0,0,0,1,-1.7
1,2019-11-06,bonejo01,Jordan Bone,89,[<Position.POINT_GUARD: 'POINT GUARD'>],-1.0,Location.HOME,NEW_YORK_KNICKS,19,0,154,0,2,0,1,0,0,0,0,0,0,0,1,-3.2
2,2019-11-23,bonejo01,Jordan Bone,89,[<Position.POINT_GUARD: 'POINT GUARD'>],4.0,Location.AWAY,MILWAUKEE_BUCKS,16,4,105,2,2,0,0,0,0,0,0,0,0,0,0,3.4
3,2020-01-13,bonejo01,Jordan Bone,89,[<Position.POINT_GUARD: 'POINT GUARD'>],4.5,Location.HOME,NEW_ORLEANS_PELICANS,18,0,478,0,2,0,1,0,0,0,0,3,0,0,0,0.7
4,2020-01-22,bonejo01,Jordan Bone,89,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,SACRAMENTO_KINGS,25,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,2020-01-25,bonejo01,Jordan Bone,89,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,BROOKLYN_NETS,2,0,174,0,2,0,1,0,0,0,0,0,0,0,0,-1.4
6,2020-02-05,bonejo01,Jordan Bone,89,[<Position.POINT_GUARD: 'POINT GUARD'>],2.7,Location.HOME,PHOENIX_SUNS,23,0,438,0,3,0,1,0,0,0,1,1,0,0,0,-1.5
7,2020-02-07,bonejo01,Jordan Bone,89,[<Position.POINT_GUARD: 'POINT GUARD'>],4.5,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,605,0,2,0,2,0,0,0,0,1,1,0,0,-0.9
8,2020-02-08,bonejo01,Jordan Bone,89,[<Position.POINT_GUARD: 'POINT GUARD'>],6.5,Location.HOME,NEW_YORK_KNICKS,19,2,713,1,3,0,2,0,0,0,0,3,0,0,0,2.4
9,2020-02-20,bonejo01,Jordan Bone,89,[<Position.POINT_GUARD: 'POINT GUARD'>],9.6,Location.HOME,MILWAUKEE_BUCKS,16,6,308,2,3,2,2,0,0,0,3,0,0,0,0,5.6
