,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-12-07,bongais01,Isaac Bonga,90,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.AWAY,SAN_ANTONIO_SPURS,26,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,2018-12-08,bongais01,Isaac Bonga,90,[<Position.POINT_GUARD: 'POINT GUARD'>],5.9,Location.AWAY,MEMPHIS_GRIZZLIES,14,1,265,0,2,0,1,1,1,1,1,1,1,0,2,-0.5
2,2018-12-13,bongais01,Isaac Bonga,90,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.AWAY,HOUSTON_ROCKETS,10,0,60,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
3,2018-12-15,bongais01,Isaac Bonga,90,[<Position.POINT_GUARD: 'POINT GUARD'>],10.7,Location.AWAY,CHARLOTTE_HORNETS,3,2,385,1,3,0,0,0,0,1,0,1,2,0,0,3.3
4,2018-12-16,bongais01,Isaac Bonga,90,[<Position.POINT_GUARD: 'POINT GUARD'>],5.7,Location.AWAY,WASHINGTON_WIZARDS,29,3,234,1,1,0,0,1,2,0,1,1,0,0,0,3.3
5,2019-01-06,bongais01,Isaac Bonga,90,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,0,300,0,1,0,0,0,0,0,0,1,0,0,0,0.0
6,2019-01-21,bongais01,Isaac Bonga,90,[<Position.POINT_GUARD: 'POINT GUARD'>],4.7,Location.HOME,GOLDEN_STATE_WARRIORS,9,2,392,0,1,0,1,2,4,1,0,1,0,0,0,1.9
7,2019-02-02,bongais01,Isaac Bonga,90,[<Position.POINT_GUARD: 'POINT GUARD'>],2.7,Location.AWAY,GOLDEN_STATE_WARRIORS,9,0,128,0,1,0,0,0,0,0,1,1,0,0,0,0.3
8,2019-03-06,bongais01,Isaac Bonga,90,[<Position.POINT_GUARD: 'POINT GUARD'>],3.7,Location.HOME,DENVER_NUGGETS,7,2,133,0,0,0,0,2,2,0,1,1,0,0,1,2.0
9,2019-03-09,bongais01,Isaac Bonga,90,[<Position.POINT_GUARD: 'POINT GUARD'>],3.2,Location.HOME,BOSTON_CELTICS,1,0,342,0,0,0,0,0,0,0,1,0,0,1,1,0.0
10,2019-03-15,bongais01,Isaac Bonga,90,[<Position.POINT_GUARD: 'POINT GUARD'>],3.5999999999999996,Location.AWAY,DETROIT_PISTONS,8,0,307,0,3,0,1,0,0,1,2,0,0,0,0,-0.8
11,2019-03-19,bongais01,Isaac Bonga,90,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.AWAY,MILWAUKEE_BUCKS,16,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,2019-03-22,bongais01,Isaac Bonga,90,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,BROOKLYN_NETS,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0
