,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],31.9,Location.AWAY,BOSTON_CELTICS,1,8,1463,4,5,0,1,0,0,1,6,5,3,0,1,14.1
1,2016-10-28,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28.2,Location.HOME,INDIANA_PACERS,11,10,1615,5,11,0,2,0,0,2,9,2,1,0,1,8.2
2,2016-10-29,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],41.3,Location.AWAY,MILWAUKEE_BUCKS,16,14,1830,4,8,0,2,6,6,1,13,1,1,2,0,16.9
3,2016-10-31,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22.6,Location.HOME,CHICAGO_BULLS,4,5,1155,2,7,0,2,1,2,2,6,0,3,0,1,5.7
4,2016-11-02,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.8,Location.HOME,DETROIT_PISTONS,8,4,1796,2,6,0,0,0,0,1,3,2,3,1,2,4.1
5,2016-11-04,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],37.1,Location.HOME,CHARLOTTE_HORNETS,3,12,1696,5,9,0,1,2,2,4,9,1,1,2,1,14.5
6,2016-11-08,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],38.3,Location.HOME,MINNESOTA_TIMBERWOLVES,17,15,1637,7,13,0,1,1,3,0,9,1,3,1,1,12.8
7,2016-11-09,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.2,Location.AWAY,NEW_YORK_KNICKS,19,5,1722,1,6,0,0,3,4,1,5,2,3,0,1,5.6
8,2016-11-12,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],37.6,Location.AWAY,PHOENIX_SUNS,23,19,1549,7,10,1,1,4,4,4,4,4,0,1,0,21.5
9,2016-11-14,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.600000000000001,Location.AWAY,LOS_ANGELES_CLIPPERS,12,4,1346,1,2,0,0,2,2,0,3,2,2,0,2,4.1
10,2016-11-15,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34.5,Location.AWAY,LOS_ANGELES_LAKERS,13,11,1728,5,8,1,1,0,0,3,7,3,1,2,2,12.5
11,2016-11-18,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.3,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,4,1340,2,5,0,1,0,0,0,4,1,1,0,2,1.8
12,2016-11-20,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27.3,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,16,1550,7,9,2,2,0,0,3,1,1,2,0,1,15.8
13,2016-11-23,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],45.9,Location.HOME,BOSTON_CELTICS,1,18,1989,8,13,1,2,1,2,5,7,3,4,0,3,19.2
14,2016-11-25,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],35.5,Location.AWAY,INDIANA_PACERS,11,10,1654,5,8,0,1,0,1,3,7,3,3,1,3,12.6
15,2016-11-27,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27.1,Location.HOME,SACRAMENTO_KINGS,25,8,1588,4,8,0,0,0,0,1,7,5,1,0,1,8.7
16,2016-11-29,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],43.9,Location.HOME,LOS_ANGELES_CLIPPERS,12,15,2497,7,13,0,2,1,1,3,9,5,3,0,2,16.4
17,2016-12-01,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24.6,Location.HOME,MILWAUKEE_BUCKS,16,9,1631,4,7,0,0,1,1,5,3,2,2,0,3,8.9
18,2016-12-05,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],36.1,Location.HOME,WASHINGTON_WIZARDS,29,14,1864,6,9,0,1,2,4,6,7,1,2,1,4,14.6
19,2016-12-07,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34.9,Location.HOME,DENVER_NUGGETS,7,15,2198,6,12,0,1,3,6,1,11,5,1,0,5,10.9
20,2016-12-10,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.8,Location.AWAY,SAN_ANTONIO_SPURS,26,9,1618,4,6,0,1,1,1,0,4,2,0,0,2,7.0
21,2016-12-12,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],36.1,Location.AWAY,HOUSTON_ROCKETS,10,10,1948,4,8,0,0,2,3,0,13,1,4,0,3,10.0
22,2016-12-14,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],32.599999999999994,Location.HOME,LOS_ANGELES_LAKERS,13,8,1763,3,8,1,1,1,5,5,13,2,0,1,3,6.9
23,2016-12-16,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.799999999999997,Location.AWAY,ORLANDO_MAGIC,21,2,1775,0,5,0,2,2,2,3,6,2,1,0,1,3.4
24,2016-12-18,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.2,Location.AWAY,PHILADELPHIA_76ERS,22,5,1834,2,7,0,1,1,2,1,5,4,0,0,2,2.3
25,2016-12-20,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.0,Location.AWAY,TORONTO_RAPTORS,27,11,1202,4,6,1,2,2,2,2,3,2,1,0,4,8.3
26,2016-12-22,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.9,Location.HOME,GOLDEN_STATE_WARRIORS,9,4,1423,2,5,0,0,0,0,3,4,1,2,0,2,4.9
27,2016-12-26,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22.9,Location.HOME,CHARLOTTE_HORNETS,3,3,1345,1,3,0,0,1,2,0,12,3,0,1,2,4.5
28,2016-12-28,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.6,Location.AWAY,CHICAGO_BULLS,4,6,1534,3,7,0,0,0,0,5,8,2,0,1,2,8.3
29,2016-12-30,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.9,Location.AWAY,WASHINGTON_WIZARDS,29,16,1193,6,11,3,4,1,2,2,5,3,0,0,2,12.9
30,2017-01-02,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],40.0,Location.HOME,UTAH_JAZZ,28,17,2048,6,14,1,4,4,4,4,11,2,0,1,1,15.6
31,2017-01-05,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.2,Location.AWAY,INDIANA_PACERS,11,16,1188,7,11,2,2,0,0,2,4,0,0,0,2,11.7
32,2017-01-06,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30.4,Location.HOME,CLEVELAND_CAVALIERS,5,13,1916,6,9,0,0,1,1,1,11,4,0,0,3,10.9
33,2017-01-08,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.3,Location.HOME,PHILADELPHIA_76ERS,22,4,1097,2,3,0,0,0,0,1,3,3,1,1,0,6.1
34,2017-01-12,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34.4,Location.HOME,NEW_ORLEANS_PELICANS,18,8,1783,4,9,0,1,0,2,3,9,4,1,1,0,10.2
35,2017-01-13,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.4,Location.AWAY,TORONTO_RAPTORS,27,6,1596,3,8,0,0,0,0,1,6,4,0,0,0,5.7
36,2017-01-15,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33.0,Location.HOME,HOUSTON_ROCKETS,10,18,1588,8,15,1,4,1,2,1,4,2,3,0,3,13.6
37,2017-01-17,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22.4,Location.HOME,TORONTO_RAPTORS,27,8,1325,4,8,0,1,0,0,2,5,2,0,1,0,7.8
38,2017-01-21,booketr01,Trevor Booker,92,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.799999999999997,Location.AWAY,CHARLOTTE_HORNETS,3,8,1615,4,6,0,1,0,0,3,6,0,2,0,3,7.9
