,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],36.8,Location.HOME,BROOKLYN_NETS,2,17,2043,7,15,3,4,0,0,4,5,6,1,0,3,14.2
1,2016-10-27,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.700000000000003,Location.AWAY,CHICAGO_BULLS,4,16,2436,6,12,1,3,3,4,1,5,5,0,1,2,13.2
2,2016-10-29,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],52.2,Location.AWAY,CHARLOTTE_HORNETS,3,31,2135,11,19,8,11,1,2,1,10,4,1,0,1,26.6
3,2016-11-02,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.0,Location.HOME,CHICAGO_BULLS,4,13,2321,6,15,1,7,0,0,2,3,4,0,0,1,7.4
4,2016-11-03,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],41.0,Location.AWAY,CLEVELAND_CAVALIERS,5,26,2332,11,20,2,6,2,2,1,9,2,1,0,3,18.4
5,2016-11-06,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],39.2,Location.HOME,DENVER_NUGGETS,7,14,2034,6,17,1,5,1,2,2,9,6,0,1,0,12.3
6,2016-11-09,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],35.6,Location.AWAY,WASHINGTON_WIZARDS,29,21,2303,9,14,3,7,0,1,1,2,2,2,1,1,17.6
7,2016-11-11,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],37.0,Location.HOME,NEW_YORK_KNICKS,19,15,1895,5,17,1,4,4,4,3,7,2,3,0,2,10.9
8,2016-11-12,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],35.1,Location.AWAY,INDIANA_PACERS,11,13,2177,5,11,1,4,2,2,1,7,5,2,1,4,11.1
9,2016-11-14,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],30.5,Location.AWAY,NEW_ORLEANS_PELICANS,18,19,2063,7,17,3,8,2,2,1,9,1,0,0,2,10.4
10,2016-11-16,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32.1,Location.HOME,DALLAS_MAVERICKS,6,18,2059,8,19,2,6,0,1,2,11,1,0,0,3,9.5
11,2016-11-18,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],38.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,17,2094,7,15,2,4,1,2,1,9,2,2,1,3,12.6
12,2016-11-19,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.3,Location.AWAY,DETROIT_PISTONS,8,13,2145,6,10,1,3,0,0,1,3,3,0,0,1,10.3
13,2016-11-21,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.600000000000001,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,13,1973,5,12,1,3,2,2,0,3,0,0,0,1,5.3
14,2016-11-23,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],44.9,Location.AWAY,BROOKLYN_NETS,2,22,2024,10,22,1,7,1,2,1,6,1,5,0,2,15.2
15,2016-11-25,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32.1,Location.HOME,SAN_ANTONIO_SPURS,26,19,2306,8,15,3,4,0,0,1,7,3,0,0,1,14.8
16,2016-11-28,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.2,Location.AWAY,MIAMI_HEAT,15,18,2352,8,16,2,2,0,0,0,6,2,0,0,0,11.6
17,2016-11-30,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.2,Location.HOME,DETROIT_PISTONS,8,14,2133,4,12,4,8,2,2,0,6,0,1,0,1,8.6
18,2016-12-02,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33.8,Location.HOME,SACRAMENTO_KINGS,25,15,2089,6,13,2,4,1,1,2,7,2,2,0,1,13.8
19,2016-12-03,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],35.8,Location.AWAY,PHILADELPHIA_76ERS,22,20,1939,9,16,1,6,1,2,2,7,2,1,0,1,16.5
20,2016-12-05,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.5,Location.AWAY,HOUSTON_ROCKETS,10,16,2103,8,16,0,2,0,0,2,8,1,1,0,1,10.5
21,2016-12-07,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],37.3,Location.AWAY,ORLANDO_MAGIC,21,23,1966,7,14,3,5,6,7,0,4,3,1,1,1,19.2
22,2016-12-09,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.0,Location.HOME,TORONTO_RAPTORS,27,19,2053,7,11,5,7,0,0,0,5,2,0,0,4,11.0
23,2016-12-11,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],30.799999999999997,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,18,2117,8,18,2,4,0,1,1,3,2,3,0,4,9.4
24,2016-12-14,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],52.0,Location.AWAY,SAN_ANTONIO_SPURS,26,25,2109,10,16,3,6,2,2,1,9,6,3,0,3,24.6
25,2016-12-16,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25.4,Location.HOME,CHARLOTTE_HORNETS,3,12,1872,5,14,2,6,0,0,1,6,2,1,0,1,6.9
26,2016-12-18,bradlav01,Avery Bradley,96,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27.0,Location.AWAY,MIAMI_HEAT,15,20,2013,9,16,2,4,0,0,1,4,0,1,0,2,12.1
