,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-11-05,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],1.2,Location.AWAY,HOUSTON_ROCKETS,10,0,342,0,1,0,0,0,0,0,1,0,0,0,0,-0.4
1,2017-11-17,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],4.4,Location.AWAY,BROOKLYN_NETS,2,2,187,0,0,0,0,2,2,1,1,0,0,0,0,3.0
2,2017-11-18,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],1.2,Location.AWAY,ORLANDO_MAGIC,21,0,278,0,4,0,1,0,0,1,0,0,0,0,0,-2.5
3,2017-11-22,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],3.2,Location.HOME,CHICAGO_BULLS,4,2,135,1,1,0,0,0,0,0,1,0,0,0,0,2.0
4,2017-11-25,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],1.2,Location.HOME,MILWAUKEE_BUCKS,16,0,92,0,1,0,0,0,0,0,1,0,0,0,0,-0.4
5,2017-11-28,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],2.4,Location.HOME,DENVER_NUGGETS,7,0,126,0,1,0,0,0,0,1,1,0,0,0,0,0.3
6,2017-11-30,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],1.5,Location.AWAY,LOS_ANGELES_CLIPPERS,12,0,83,0,1,0,0,0,0,0,0,1,0,0,0,0.0
7,2017-12-20,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],7.6,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,4,419,2,2,0,0,0,0,1,2,0,0,0,0,4.7
8,2018-03-07,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],0.0,Location.AWAY,INDIANA_PACERS,11,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,2018-12-29,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],2.5999999999999996,Location.HOME,NEW_YORK_KNICKS,19,0,516,0,3,0,0,0,0,2,1,0,0,0,1,-1.8
10,2019-04-05,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],4.4,Location.HOME,SACRAMENTO_KINGS,25,2,185,1,1,0,0,0,0,0,2,0,0,0,0,1.9
11,2019-04-10,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],38.5,Location.AWAY,LOS_ANGELES_CLIPPERS,12,15,1453,7,12,0,0,1,2,7,3,1,2,2,2,15.3
12,2019-10-25,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],4.4,Location.AWAY,LOS_ANGELES_LAKERS,13,2,328,1,1,0,0,0,0,0,2,0,0,0,0,2.3
13,2019-10-26,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],7.4,Location.HOME,SACRAMENTO_KINGS,25,6,282,2,2,0,0,2,3,0,2,0,0,0,1,4.2
14,2019-10-30,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,2019-11-03,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],19.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,8,837,3,5,0,0,2,3,3,2,0,0,2,1,7.6
16,2019-11-06,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],14.6,Location.HOME,PHILADELPHIA_76ERS,22,8,712,4,5,0,0,0,0,3,0,0,1,0,0,8.0
17,2019-11-08,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],20.1,Location.HOME,MILWAUKEE_BUCKS,16,7,689,3,6,0,0,1,4,4,4,1,1,0,1,6.7
18,2019-11-11,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],7.6,Location.AWAY,GOLDEN_STATE_WARRIORS,9,4,810,1,3,0,0,2,2,2,1,0,0,0,0,3.2
19,2019-11-12,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],6.8,Location.HOME,BROOKLYN_NETS,2,2,627,1,2,0,0,0,0,2,2,0,0,0,0,1.8
20,2019-11-15,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],1.4,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,691,0,3,0,0,0,0,0,2,0,0,0,1,-3.3
21,2019-11-22,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],6.7,Location.HOME,GOLDEN_STATE_WARRIORS,9,2,418,1,1,0,0,0,0,0,1,1,0,1,1,2.0
22,2019-11-23,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],25.799999999999997,Location.HOME,NEW_ORLEANS_PELICANS,18,14,1305,7,8,0,0,0,0,2,7,0,0,1,2,11.4
23,2019-11-25,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],33.2,Location.AWAY,MILWAUKEE_BUCKS,16,8,1406,3,4,0,0,2,2,3,8,2,0,3,0,12.4
24,2019-11-27,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],2.0,Location.AWAY,INDIANA_PACERS,11,2,323,1,1,0,0,0,0,0,0,0,0,0,0,1.7
25,2019-12-01,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],6.4,Location.AWAY,TORONTO_RAPTORS,27,4,394,1,2,0,0,2,2,0,2,0,0,0,0,3.2
26,2019-12-02,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],3.2,Location.AWAY,PHILADELPHIA_76ERS,22,2,75,1,1,0,0,0,0,0,1,0,0,0,0,1.6
27,2019-12-04,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],5.6,Location.HOME,LOS_ANGELES_LAKERS,13,0,435,0,2,0,0,0,0,1,2,0,0,1,1,-0.4
28,2019-12-07,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],6.8,Location.HOME,MEMPHIS_GRIZZLIES,14,2,233,1,4,0,0,0,0,4,0,0,0,0,0,2.4
29,2019-12-09,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],11.1,Location.HOME,OKLAHOMA_CITY_THUNDER,20,6,165,3,4,0,0,0,0,1,2,1,0,0,0,6.4
30,2019-12-21,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],-0.8,Location.AWAY,CHARLOTTE_HORNETS,3,0,174,0,0,0,0,0,0,0,1,0,0,0,2,-3.3
31,2019-12-26,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],3.2,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,2,194,1,1,0,0,0,0,0,1,0,0,0,0,1.6
32,2019-12-28,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],2.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,2,701,1,1,0,0,0,0,0,0,0,0,0,0,0.1
33,2019-12-30,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],20.4,Location.HOME,DETROIT_PISTONS,8,6,792,3,6,0,0,0,0,3,4,0,1,1,0,6.4
34,2020-01-02,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],21.9,Location.AWAY,CHICAGO_BULLS,4,6,763,3,5,0,0,0,2,2,5,1,0,2,0,7.5
35,2020-01-04,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],12.2,Location.AWAY,ORLANDO_MAGIC,21,5,866,2,5,0,0,1,2,3,3,0,0,0,0,4.9
36,2020-01-06,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],17.1,Location.AWAY,NEW_ORLEANS_PELICANS,18,7,832,2,3,0,0,3,4,1,2,1,0,2,1,6.1
37,2020-01-08,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],19.4,Location.HOME,NEW_YORK_KNICKS,19,12,923,6,7,0,0,0,0,4,3,0,0,0,1,10.6
38,2020-01-10,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],10.5,Location.HOME,CHARLOTTE_HORNETS,3,5,797,2,2,0,0,1,2,3,2,1,0,0,2,4.6
39,2020-01-12,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],12.9,Location.AWAY,WASHINGTON_WIZARDS,29,2,629,1,1,0,0,0,0,3,4,1,1,0,2,3.9
40,2020-01-14,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],20.2,Location.AWAY,BROOKLYN_NETS,2,4,687,1,2,0,0,2,2,1,5,0,3,0,0,7.4
41,2020-01-16,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],14.2,Location.AWAY,NEW_ORLEANS_PELICANS,18,2,836,1,3,0,0,0,0,2,4,0,1,1,1,2.0
42,2020-01-18,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],6.4,Location.HOME,SACRAMENTO_KINGS,25,4,754,2,3,0,0,0,0,2,0,0,0,0,0,3.7
43,2020-01-20,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],25.0,Location.HOME,INDIANA_PACERS,11,8,1014,4,5,0,0,0,0,3,7,0,1,1,1,9.4
44,2020-01-22,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],11.4,Location.AWAY,GOLDEN_STATE_WARRIORS,9,3,627,1,3,0,0,1,3,3,4,0,0,0,0,2.6
45,2020-01-25,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],14.799999999999999,Location.HOME,DALLAS_MAVERICKS,6,4,656,2,2,0,0,0,0,3,6,0,0,0,0,6.5
46,2020-01-27,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],13.8,Location.HOME,HOUSTON_ROCKETS,10,6,651,3,3,0,0,0,0,0,4,0,1,0,0,5.3
47,2020-01-29,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],4.0,Location.AWAY,SAN_ANTONIO_SPURS,26,4,627,2,3,0,0,0,0,0,0,0,0,0,0,2.7
48,2020-02-05,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],2.5999999999999996,Location.HOME,DENVER_NUGGETS,7,0,548,0,1,0,0,0,0,0,3,0,0,0,1,-0.8
49,2020-02-07,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],13.5,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,6,663,3,6,0,0,0,0,3,2,1,0,0,0,6.0
50,2020-02-09,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],5.6,Location.AWAY,HOUSTON_ROCKETS,10,2,233,1,1,0,0,0,0,2,1,0,0,0,0,3.0
51,2020-02-10,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],13.9,Location.AWAY,DALLAS_MAVERICKS,6,6,725,3,3,0,0,0,0,6,1,1,0,0,2,6.3
52,2020-02-12,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],18.2,Location.HOME,MIAMI_HEAT,15,8,685,3,3,0,0,2,3,2,4,0,0,1,0,9.6
53,2020-02-21,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],4.4,Location.HOME,SAN_ANTONIO_SPURS,26,0,601,0,2,0,0,0,0,1,1,0,0,1,1,-1.5
54,2020-02-24,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],8.2,Location.HOME,PHOENIX_SUNS,23,4,477,1,1,0,0,2,2,1,0,0,0,1,0,4.7
55,2020-02-26,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],12.3,Location.HOME,BOSTON_CELTICS,1,6,788,3,3,0,0,0,0,3,1,1,0,0,0,8.2
56,2020-02-28,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],18.9,Location.HOME,WASHINGTON_WIZARDS,29,9,758,3,6,1,1,2,2,4,3,1,0,0,0,10.0
57,2020-03-02,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],16.2,Location.AWAY,CLEVELAND_CAVALIERS,5,6,858,3,3,0,0,0,0,2,4,2,0,0,0,8.3
58,2020-03-04,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],20.0,Location.AWAY,NEW_YORK_KNICKS,19,8,816,4,4,0,0,0,0,1,4,0,0,2,0,8.5
59,2020-03-06,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],21.3,Location.AWAY,BOSTON_CELTICS,1,6,917,3,5,0,0,0,0,1,3,1,0,3,0,7.7
60,2020-03-07,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],16.6,Location.AWAY,DETROIT_PISTONS,8,8,773,4,5,0,0,0,0,5,3,0,0,0,1,8.3
61,2020-03-09,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],23.3,Location.HOME,TORONTO_RAPTORS,27,5,949,2,3,0,0,1,2,1,3,1,2,2,0,8.6
62,2020-07-30,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],15.0,Location.AWAY,NEW_ORLEANS_PELICANS,18,4,858,2,2,0,0,0,0,3,2,0,1,1,1,6.0
63,2020-08-01,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],11.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,6,739,3,8,0,0,0,0,4,2,0,0,0,2,0.6
64,2020-08-03,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],14.0,Location.HOME,LOS_ANGELES_LAKERS,13,5,863,2,2,0,0,1,2,3,2,0,0,1,0,6.6
65,2020-08-05,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],7.1,Location.HOME,MEMPHIS_GRIZZLIES,14,4,665,2,2,0,0,0,0,2,1,1,0,0,2,3.4
66,2020-08-07,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],43.2,Location.AWAY,SAN_ANTONIO_SPURS,26,15,1329,7,9,1,1,0,1,2,9,2,1,3,0,19.3
67,2020-08-08,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],16.2,Location.AWAY,DENVER_NUGGETS,7,7,981,2,2,0,0,3,3,2,4,0,0,1,1,7.5
68,2020-08-10,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],17.0,Location.HOME,DALLAS_MAVERICKS,6,5,928,2,2,1,1,0,0,2,3,2,0,1,0,8.4
69,2020-08-13,bradlto01,Tony Bradley,97,[<Position.CENTER: 'CENTER'>],21.5,Location.HOME,SAN_ANTONIO_SPURS,26,6,1301,3,7,0,0,0,0,3,7,1,0,1,1,6.5
