,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,breweco01,Corey Brewer,100,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.0,Location.AWAY,LOS_ANGELES_LAKERS,13,4,916,2,4,0,1,0,2,0,0,2,0,0,0,1.4
1,2016-10-28,breweco01,Corey Brewer,100,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.9,Location.AWAY,DALLAS_MAVERICKS,6,5,654,2,5,1,2,0,0,0,2,1,0,0,1,2.2
2,2016-10-30,breweco01,Corey Brewer,100,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.4,Location.HOME,DALLAS_MAVERICKS,6,3,898,1,2,1,2,0,0,0,2,0,0,0,0,1.4
3,2016-11-01,breweco01,Corey Brewer,100,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.6,Location.AWAY,CLEVELAND_CAVALIERS,5,9,1251,4,7,0,1,1,2,1,2,2,1,0,0,8.6
4,2016-11-02,breweco01,Corey Brewer,100,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.600000000000001,Location.AWAY,NEW_YORK_KNICKS,19,4,850,1,2,0,0,2,2,1,2,4,1,0,1,5.9
5,2016-11-05,breweco01,Corey Brewer,100,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.0,Location.AWAY,ATLANTA_HAWKS,0,0,914,0,3,0,2,0,0,0,0,0,2,0,2,-2.5
6,2016-11-07,breweco01,Corey Brewer,100,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.1,Location.AWAY,WASHINGTON_WIZARDS,29,4,961,1,2,0,1,2,2,0,3,1,0,0,0,3.8
7,2016-11-09,breweco01,Corey Brewer,100,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.9,Location.AWAY,SAN_ANTONIO_SPURS,26,0,847,0,5,0,4,0,0,1,1,1,0,0,1,-3.2
8,2016-11-12,breweco01,Corey Brewer,100,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.5,Location.HOME,SAN_ANTONIO_SPURS,26,0,964,0,3,0,3,0,0,0,0,1,1,1,0,-0.9
9,2016-11-14,breweco01,Corey Brewer,100,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.8,Location.HOME,PHILADELPHIA_76ERS,22,4,851,1,2,0,1,2,2,1,3,0,0,1,3,1.1
10,2016-11-16,breweco01,Corey Brewer,100,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.4,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,9,1017,4,6,1,2,0,0,2,0,0,0,0,1,6.4
11,2016-11-17,breweco01,Corey Brewer,100,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.6,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,9,1071,4,8,0,1,1,1,1,2,0,1,0,0,6.5
12,2016-11-19,breweco01,Corey Brewer,100,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.5,Location.HOME,UTAH_JAZZ,28,6,887,2,3,0,1,2,2,2,3,1,0,0,0,7.7
13,2016-11-21,breweco01,Corey Brewer,100,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.2,Location.AWAY,DETROIT_PISTONS,8,7,809,2,3,1,2,2,4,0,1,0,0,0,0,4.8
14,2016-11-23,breweco01,Corey Brewer,100,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.6,Location.HOME,TORONTO_RAPTORS,27,7,620,3,5,1,3,0,0,0,3,0,0,1,1,4.9
15,2016-11-25,breweco01,Corey Brewer,100,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.4,Location.AWAY,SACRAMENTO_KINGS,25,10,760,4,5,2,2,0,0,0,2,0,1,0,0,8.5
16,2016-11-27,breweco01,Corey Brewer,100,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.3,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,0,918,0,2,0,0,0,0,0,4,1,0,1,1,-0.6
17,2016-11-29,breweco01,Corey Brewer,100,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.4,Location.AWAY,UTAH_JAZZ,28,0,1089,0,4,0,2,0,0,0,2,2,0,0,0,-2.0
18,2016-12-01,breweco01,Corey Brewer,100,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.9,Location.AWAY,GOLDEN_STATE_WARRIORS,9,2,776,1,3,0,1,0,0,0,2,1,1,0,0,2.2
