,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-17,bridgmi01,Mikal Bridges,101,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,DALLAS_MAVERICKS,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,2018-10-20,bridgmi01,Mikal Bridges,101,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.8,Location.AWAY,DENVER_NUGGETS,7,10,888,4,6,2,4,0,1,1,3,2,2,0,0,12.0
2,2018-10-22,bridgmi01,Mikal Bridges,101,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.2,Location.AWAY,GOLDEN_STATE_WARRIORS,9,5,950,1,5,1,4,2,2,0,1,0,0,0,0,1.4
3,2018-10-24,bridgmi01,Mikal Bridges,101,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.5,Location.HOME,LOS_ANGELES_LAKERS,13,2,836,1,2,0,1,0,0,0,0,1,2,0,0,3.7
4,2018-10-27,bridgmi01,Mikal Bridges,101,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.2,Location.AWAY,MEMPHIS_GRIZZLIES,14,7,1457,2,8,1,3,2,2,1,5,2,0,0,1,3.6
5,2018-10-28,bridgmi01,Mikal Bridges,101,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,9,1304,3,7,1,4,2,2,0,1,0,2,0,4,1.6
6,2018-10-31,bridgmi01,Mikal Bridges,101,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.7,Location.HOME,SAN_ANTONIO_SPURS,26,16,1632,6,9,1,2,3,4,0,1,3,2,0,1,14.3
7,2018-11-02,bridgmi01,Mikal Bridges,101,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.2,Location.HOME,TORONTO_RAPTORS,27,2,655,1,3,0,1,0,0,0,1,0,1,0,0,1.2
8,2018-11-04,bridgmi01,Mikal Bridges,101,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.2,Location.HOME,MEMPHIS_GRIZZLIES,14,14,1541,5,6,4,5,0,0,0,1,0,2,1,1,12.6
9,2018-11-06,bridgmi01,Mikal Bridges,101,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.7,Location.HOME,BROOKLYN_NETS,2,6,1658,2,7,2,5,0,0,0,1,1,0,0,0,2.5
10,2018-11-08,bridgmi01,Mikal Bridges,101,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.0,Location.HOME,BOSTON_CELTICS,1,2,772,1,5,0,1,0,0,0,0,0,2,0,0,0.9
11,2018-11-10,bridgmi01,Mikal Bridges,101,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.0,Location.AWAY,NEW_ORLEANS_PELICANS,18,7,1120,3,8,1,5,0,0,0,0,0,1,0,2,0.4
12,2018-11-12,bridgmi01,Mikal Bridges,101,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.3,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,13,1542,3,8,1,4,6,6,1,3,3,1,2,3,10.1
13,2018-11-14,bridgmi01,Mikal Bridges,101,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.4,Location.HOME,SAN_ANTONIO_SPURS,26,8,1505,4,6,0,2,0,0,0,2,0,0,1,0,5.5
