,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-11-18,brissos01,Oshae Brissett,104,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,CHARLOTTE_HORNETS,3,0,319,0,2,0,0,0,0,0,0,0,0,0,0,-1.4
1,2019-11-20,brissos01,Oshae Brissett,104,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.0,Location.HOME,ORLANDO_MAGIC,21,3,86,1,1,1,1,0,0,0,0,0,0,0,0,2.7
2,2019-11-27,brissos01,Oshae Brissett,104,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.7,Location.HOME,NEW_YORK_KNICKS,19,0,352,0,0,0,0,0,0,0,1,1,1,0,0,2.0
3,2019-12-01,brissos01,Oshae Brissett,104,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],-1.0,Location.HOME,UTAH_JAZZ,28,0,271,0,0,0,0,0,0,0,0,0,0,0,1,-1.0
4,2019-12-14,brissos01,Oshae Brissett,104,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],-1.0,Location.HOME,BROOKLYN_NETS,2,0,65,0,0,0,0,0,0,0,0,0,0,0,1,-1.4
5,2019-12-25,brissos01,Oshae Brissett,104,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.0,Location.HOME,BOSTON_CELTICS,1,0,179,0,0,0,0,0,0,0,0,0,0,1,0,0.7
6,2019-12-28,brissos01,Oshae Brissett,104,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.2,Location.AWAY,BOSTON_CELTICS,1,4,892,2,5,0,1,0,0,3,3,2,0,0,1,3.1
7,2019-12-29,brissos01,Oshae Brissett,104,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.2,Location.HOME,OKLAHOMA_CITY_THUNDER,20,4,1057,2,4,0,1,0,0,0,1,0,0,0,0,1.5
8,2019-12-31,brissos01,Oshae Brissett,104,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.8,Location.HOME,CLEVELAND_CAVALIERS,5,1,872,0,3,0,2,1,2,2,2,0,0,0,0,-0.3
9,2020-01-04,brissos01,Oshae Brissett,104,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.2,Location.AWAY,BROOKLYN_NETS,2,6,565,1,1,0,0,4,4,0,1,0,1,0,0,6.6
10,2020-01-07,brissos01,Oshae Brissett,104,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.7,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,12,1364,5,9,2,4,0,0,3,3,1,1,0,0,12.0
11,2020-01-08,brissos01,Oshae Brissett,104,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.AWAY,CHARLOTTE_HORNETS,3,0,572,0,5,0,3,0,0,0,1,0,0,0,0,-4.4
12,2020-01-12,brissos01,Oshae Brissett,104,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],-1.0,Location.HOME,SAN_ANTONIO_SPURS,26,0,182,0,0,0,0,0,0,0,0,0,0,0,1,-1.4
13,2020-01-28,brissos01,Oshae Brissett,104,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.19999999999999996,Location.HOME,ATLANTA_HAWKS,0,0,124,0,0,0,0,0,0,0,1,0,0,0,1,-0.7
14,2020-01-31,brissos01,Oshae Brissett,104,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],-1.0,Location.AWAY,DETROIT_PISTONS,8,0,93,0,1,0,1,0,0,0,0,0,0,0,1,-2.5
15,2020-02-02,brissos01,Oshae Brissett,104,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.2,Location.HOME,CHICAGO_BULLS,4,2,192,1,1,0,0,0,0,0,1,0,1,0,1,2.0
16,2020-02-08,brissos01,Oshae Brissett,104,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.7,Location.HOME,BROOKLYN_NETS,2,1,503,0,2,0,2,1,2,1,0,1,0,0,0,0.2
17,2020-02-21,brissos01,Oshae Brissett,104,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.4,Location.HOME,PHOENIX_SUNS,23,0,88,0,0,0,0,0,0,0,2,0,0,0,0,0.6
18,2020-02-23,brissos01,Oshae Brissett,104,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.2,Location.HOME,INDIANA_PACERS,11,4,329,1,2,0,0,2,2,0,1,2,0,0,0,4.7
