,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-22,brownan02,Anthony Brown,110,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.2,Location.AWAY,ATLANTA_HAWKS,0,0,468,0,1,0,1,0,0,1,0,0,1,1,2,-0.7
1,2016-11-23,brownan02,Anthony Brown,110,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,6,162,2,2,2,2,0,0,0,0,0,0,0,0,5.0
2,2016-11-25,brownan02,Anthony Brown,110,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,0,511,0,1,0,1,0,0,0,1,0,0,0,0,-0.4
3,2016-11-27,brownan02,Anthony Brown,110,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.4,Location.AWAY,DALLAS_MAVERICKS,6,0,598,0,3,0,3,0,0,0,2,0,0,0,0,-1.5
4,2016-11-29,brownan02,Anthony Brown,110,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.2,Location.HOME,LOS_ANGELES_LAKERS,13,7,1307,3,5,1,2,0,0,2,4,2,2,0,1,8.1
5,2016-12-02,brownan02,Anthony Brown,110,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.1,Location.HOME,LOS_ANGELES_CLIPPERS,12,9,1527,4,7,1,4,0,0,1,2,1,0,0,0,6.9
6,2016-12-04,brownan02,Anthony Brown,110,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,3,1152,1,5,1,4,0,0,1,4,0,0,0,1,-0.4
7,2016-12-05,brownan02,Anthony Brown,110,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.2,Location.HOME,MEMPHIS_GRIZZLIES,14,9,1762,4,10,1,4,0,0,1,5,2,1,0,1,6.4
8,2016-12-08,brownan02,Anthony Brown,110,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.9,Location.HOME,PHILADELPHIA_76ERS,22,0,1065,0,7,0,3,0,0,0,2,1,1,0,0,-2.6
9,2017-01-22,brownan02,Anthony Brown,110,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.6,Location.HOME,GOLDEN_STATE_WARRIORS,9,2,269,1,2,0,0,0,0,2,1,0,0,0,0,2.3
10,2017-01-27,brownan02,Anthony Brown,110,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.8,Location.AWAY,BOSTON_CELTICS,1,7,720,3,7,1,3,0,0,0,4,2,0,0,1,4.5
11,2018-04-01,brownan02,Anthony Brown,110,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.5,Location.HOME,UTAH_JAZZ,28,3,224,1,1,1,1,0,0,0,0,1,0,0,0,3.4
