,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-24,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.2,Location.AWAY,GOLDEN_STATE_WARRIORS,9,4,404,1,3,0,0,2,2,0,1,0,1,0,0,3.2
1,2018-10-28,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.8,Location.AWAY,LOS_ANGELES_CLIPPERS,12,3,412,1,3,1,1,0,0,1,3,0,0,0,1,1.9
2,2018-11-02,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.6,Location.HOME,OKLAHOMA_CITY_THUNDER,20,7,574,3,4,1,2,0,0,1,2,0,1,0,0,7.7
3,2018-11-04,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.HOME,NEW_YORK_KNICKS,19,0,87,0,1,0,0,0,0,0,1,0,0,0,0,-0.4
4,2018-11-06,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.0,Location.AWAY,DALLAS_MAVERICKS,6,2,76,0,1,0,0,2,2,0,0,0,0,0,0,1.3
5,2018-11-14,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.0,Location.HOME,CLEVELAND_CAVALIERS,5,2,246,1,1,0,0,0,0,0,0,2,0,0,0,3.1
6,2018-11-16,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.HOME,BROOKLYN_NETS,2,0,78,0,1,0,0,0,0,0,1,0,0,0,0,-0.4
7,2018-11-18,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.5,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,2,630,1,2,0,1,0,0,0,0,1,0,0,0,0.9
8,2018-11-28,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.0,Location.AWAY,NEW_ORLEANS_PELICANS,18,1,214,0,1,0,0,1,2,0,0,0,0,0,0,-0.1
9,2018-11-30,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.7,Location.AWAY,PHILADELPHIA_76ERS,22,6,1257,2,7,0,1,2,2,0,6,5,0,0,2,4.4
10,2018-12-01,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.0,Location.HOME,BROOKLYN_NETS,2,2,99,1,1,0,0,0,0,0,0,0,0,0,0,1.7
11,2018-12-05,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.1,Location.AWAY,ATLANTA_HAWKS,0,4,445,2,4,0,0,0,0,1,2,1,1,0,0,5.0
12,2018-12-16,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.9,Location.HOME,LOS_ANGELES_LAKERS,13,0,921,0,4,0,1,0,0,0,2,1,3,0,1,-0.3
13,2018-12-19,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.5,Location.AWAY,HOUSTON_ROCKETS,10,0,255,0,3,0,1,0,2,0,0,1,0,0,0,-2.2
14,2018-12-23,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.0,Location.AWAY,INDIANA_PACERS,11,0,365,0,1,0,0,0,0,0,0,2,0,0,0,0.3
15,2018-12-26,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.5,Location.AWAY,DETROIT_PISTONS,8,0,29,0,0,0,0,0,0,0,0,1,0,0,0,0.7
16,2018-12-29,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.4,Location.HOME,CHARLOTTE_HORNETS,3,9,1054,3,4,1,2,2,2,1,1,2,0,1,1,9.1
17,2019-01-02,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.7,Location.HOME,ATLANTA_HAWKS,0,2,361,1,3,0,1,0,0,0,1,1,0,0,0,1.3
18,2019-01-06,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,2019-01-08,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.6,Location.AWAY,PHILADELPHIA_76ERS,22,2,1097,0,4,0,0,2,2,0,3,2,1,0,0,2.1
20,2019-01-09,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.5,Location.HOME,PHILADELPHIA_76ERS,22,2,155,1,1,0,0,0,0,0,0,1,0,0,1,1.4
21,2019-01-13,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.5,Location.HOME,TORONTO_RAPTORS,27,7,620,3,3,1,1,0,0,0,0,1,0,0,0,6.0
22,2019-01-17,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.1,Location.HOME,NEW_YORK_KNICKS,19,2,565,1,2,0,1,0,0,0,3,1,1,0,0,3.6
23,2019-01-21,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,DETROIT_PISTONS,8,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,2019-01-24,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.5,Location.HOME,GOLDEN_STATE_WARRIORS,9,2,387,1,1,0,0,0,0,0,0,1,0,0,0,1.6
25,2019-01-27,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.9,Location.AWAY,SAN_ANTONIO_SPURS,26,3,836,1,3,0,1,1,2,0,2,1,0,0,0,1.8
26,2019-01-29,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.4,Location.AWAY,CLEVELAND_CAVALIERS,5,6,671,2,4,0,2,2,5,0,2,0,0,0,0,3.0
27,2019-01-30,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.7000000000000002,Location.HOME,INDIANA_PACERS,11,0,173,0,1,0,0,0,0,0,1,1,0,0,1,-0.7
28,2019-02-02,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.8,Location.HOME,MILWAUKEE_BUCKS,16,2,235,1,2,0,0,0,0,1,3,2,0,0,1,3.0
29,2019-02-23,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.0,Location.HOME,INDIANA_PACERS,11,0,271,0,1,0,1,0,0,0,0,2,0,0,0,0.3
30,2019-02-27,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.0,Location.AWAY,BROOKLYN_NETS,2,7,786,3,7,1,3,0,0,4,1,2,0,0,1,6.4
31,2019-03-01,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.3,Location.AWAY,BOSTON_CELTICS,1,7,801,3,7,0,1,1,1,0,4,1,1,1,0,6.9
32,2019-03-03,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.3,Location.HOME,MINNESOTA_TIMBERWOLVES,17,2,1034,1,5,0,0,0,0,2,2,5,1,0,0,5.4
33,2019-03-06,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.3,Location.HOME,DALLAS_MAVERICKS,6,9,991,3,9,1,4,2,2,3,1,3,0,0,0,7.2
34,2019-03-08,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.0,Location.AWAY,CHARLOTTE_HORNETS,3,9,1098,4,6,1,2,0,0,0,5,4,0,0,1,8.9
35,2019-03-09,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.1,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,2,759,1,4,0,2,0,0,1,2,1,1,0,0,1.8
36,2019-03-11,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.1,Location.HOME,SACRAMENTO_KINGS,25,6,803,1,3,1,1,3,4,0,3,1,0,0,1,3.3
37,2019-03-13,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.1,Location.HOME,ORLANDO_MAGIC,21,6,1014,3,7,0,2,0,0,1,2,3,1,0,0,6.7
38,2019-03-15,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.6,Location.HOME,CHARLOTTE_HORNETS,3,10,1036,4,7,2,2,0,0,1,7,2,0,0,0,10.9
39,2019-03-16,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.0,Location.HOME,MEMPHIS_GRIZZLIES,14,5,1242,2,5,0,0,1,2,0,5,2,0,0,0,3.6
40,2019-03-18,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.7,Location.HOME,UTAH_JAZZ,28,2,1526,1,6,0,0,0,0,1,5,3,1,1,4,-1.4
41,2019-03-20,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.0,Location.AWAY,CHICAGO_BULLS,4,9,1782,3,5,1,3,2,2,3,7,2,1,0,2,10.5
42,2019-03-21,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.5,Location.HOME,DENVER_NUGGETS,7,13,1969,6,10,0,2,1,1,1,4,3,0,0,2,10.0
43,2019-03-23,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.0,Location.HOME,MIAMI_HEAT,15,7,1532,2,9,0,4,3,4,4,1,2,1,0,2,3.4
44,2019-03-26,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.3,Location.AWAY,LOS_ANGELES_LAKERS,13,6,1529,3,10,0,1,0,1,1,3,1,0,1,2,0.0
45,2019-03-27,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.6,Location.AWAY,PHOENIX_SUNS,23,2,1361,1,5,0,1,0,3,1,2,2,1,0,2,-1.8
46,2019-03-29,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.3,Location.AWAY,UTAH_JAZZ,28,15,1782,6,9,3,4,0,1,2,2,1,2,0,1,13.6
47,2019-03-31,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],36.9,Location.AWAY,DENVER_NUGGETS,7,24,2545,9,16,5,7,1,1,2,5,1,1,0,0,20.2
48,2019-04-03,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.4,Location.HOME,CHICAGO_BULLS,4,6,2149,2,7,0,3,2,2,0,2,2,1,0,1,3.5
49,2019-04-05,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.3,Location.HOME,SAN_ANTONIO_SPURS,26,13,1977,5,11,1,4,2,2,1,3,3,0,1,0,10.9
50,2019-04-07,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],33.1,Location.AWAY,NEW_YORK_KNICKS,19,13,2189,6,12,1,3,0,0,2,6,5,1,0,0,13.9
51,2019-04-09,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.8,Location.HOME,BOSTON_CELTICS,1,5,1150,2,8,1,4,0,0,0,4,2,0,0,3,-0.6
52,2019-10-30,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.6,Location.HOME,HOUSTON_ROCKETS,10,14,1003,5,7,2,4,2,2,1,2,0,0,0,1,10.6
53,2019-11-02,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,4,1309,2,4,0,1,0,0,2,3,2,3,1,0,9.0
54,2019-11-04,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],40.0,Location.HOME,DETROIT_PISTONS,8,14,1830,5,10,0,1,4,4,2,8,4,3,0,1,17.2
55,2019-11-06,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.4,Location.AWAY,INDIANA_PACERS,11,7,1030,3,9,1,3,0,0,1,1,0,0,0,1,1.9
56,2019-11-08,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.7,Location.HOME,CLEVELAND_CAVALIERS,5,3,1150,1,8,1,2,0,0,5,1,1,2,0,3,0.5
57,2019-11-13,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.9,Location.AWAY,BOSTON_CELTICS,1,7,1646,3,4,1,2,0,0,0,2,5,0,0,0,9.1
58,2019-11-15,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27.4,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,11,1587,5,8,0,2,1,2,1,6,2,2,0,1,11.9
59,2019-11-17,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.4,Location.AWAY,ORLANDO_MAGIC,21,2,1434,1,5,0,2,0,0,1,6,2,0,0,1,1.4
60,2019-11-20,browntr01,Troy Brown,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.0,Location.HOME,SAN_ANTONIO_SPURS,26,5,1174,2,3,1,1,0,0,1,4,4,1,0,0,8.2
