,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-17,brunsja01,Jalen Brunson,120,[<Position.POINT_GUARD: 'POINT GUARD'>],5.7,Location.AWAY,PHOENIX_SUNS,23,3,1147,1,3,1,3,0,0,0,1,1,0,0,0,1.9
1,2018-10-20,brunsja01,Jalen Brunson,120,[<Position.POINT_GUARD: 'POINT GUARD'>],10.5,Location.HOME,MINNESOTA_TIMBERWOLVES,17,7,1203,3,7,1,4,0,0,0,0,1,1,0,1,4.0
2,2018-10-22,brunsja01,Jalen Brunson,120,[<Position.POINT_GUARD: 'POINT GUARD'>],13.2,Location.HOME,CHICAGO_BULLS,4,6,873,2,7,2,4,0,0,0,1,2,1,0,0,4.6
3,2018-10-24,brunsja01,Jalen Brunson,120,[<Position.POINT_GUARD: 'POINT GUARD'>],12.5,Location.AWAY,ATLANTA_HAWKS,0,6,1113,3,9,0,3,0,0,0,5,1,0,0,1,1.3
4,2018-10-26,brunsja01,Jalen Brunson,120,[<Position.POINT_GUARD: 'POINT GUARD'>],18.6,Location.AWAY,TORONTO_RAPTORS,27,8,1781,3,11,2,4,0,0,0,3,4,1,0,2,3.4
5,2018-10-28,brunsja01,Jalen Brunson,120,[<Position.POINT_GUARD: 'POINT GUARD'>],3.5,Location.HOME,UTAH_JAZZ,28,2,735,1,5,0,2,0,0,0,0,1,0,0,0,-0.8
6,2018-10-29,brunsja01,Jalen Brunson,120,[<Position.POINT_GUARD: 'POINT GUARD'>],6.5,Location.AWAY,SAN_ANTONIO_SPURS,26,6,841,2,5,0,2,2,2,0,0,1,0,0,1,2.6
7,2018-10-31,brunsja01,Jalen Brunson,120,[<Position.POINT_GUARD: 'POINT GUARD'>],6.7,Location.AWAY,LOS_ANGELES_LAKERS,13,4,667,1,1,0,0,2,2,0,1,1,0,0,0,3.9
8,2018-11-02,brunsja01,Jalen Brunson,120,[<Position.POINT_GUARD: 'POINT GUARD'>],1.2,Location.HOME,NEW_YORK_KNICKS,19,0,207,0,0,0,0,0,0,0,1,0,0,0,0,0.3
9,2018-11-06,brunsja01,Jalen Brunson,120,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,WASHINGTON_WIZARDS,29,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0.0
