,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,burketr01,Trey Burke,124,[<Position.POINT_GUARD: 'POINT GUARD'>],12.0,Location.AWAY,ATLANTA_HAWKS,0,8,1063,4,7,0,2,0,1,0,0,2,1,0,2,4.7
1,2016-10-30,burketr01,Trey Burke,124,[<Position.POINT_GUARD: 'POINT GUARD'>],8.7,Location.AWAY,MEMPHIS_GRIZZLIES,14,3,974,1,4,0,0,1,2,0,1,1,0,1,0,1.9
2,2016-11-02,burketr01,Trey Burke,124,[<Position.POINT_GUARD: 'POINT GUARD'>],-1.8,Location.HOME,TORONTO_RAPTORS,27,0,363,0,0,0,0,0,0,0,1,0,0,0,3,-3.5
3,2016-11-04,burketr01,Trey Burke,124,[<Position.POINT_GUARD: 'POINT GUARD'>],2.4,Location.HOME,ATLANTA_HAWKS,0,0,409,0,3,0,0,0,0,0,2,0,0,0,0,-1.5
4,2016-11-05,burketr01,Trey Burke,124,[<Position.POINT_GUARD: 'POINT GUARD'>],3.0,Location.AWAY,ORLANDO_MAGIC,21,4,933,2,5,0,0,0,0,0,0,0,0,0,1,-0.1
5,2016-11-07,burketr01,Trey Burke,124,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.HOME,HOUSTON_ROCKETS,10,0,376,0,0,0,0,0,0,0,0,1,0,0,0,0.7
6,2016-11-09,burketr01,Trey Burke,124,[<Position.POINT_GUARD: 'POINT GUARD'>],22.2,Location.HOME,BOSTON_CELTICS,1,18,1025,7,9,3,4,1,2,1,0,2,0,0,0,15.0
7,2016-11-11,burketr01,Trey Burke,124,[<Position.POINT_GUARD: 'POINT GUARD'>],15.9,Location.HOME,CLEVELAND_CAVALIERS,5,9,1326,4,7,0,0,1,1,0,2,3,0,0,0,8.4
8,2016-11-12,burketr01,Trey Burke,124,[<Position.POINT_GUARD: 'POINT GUARD'>],12.5,Location.AWAY,CHICAGO_BULLS,4,6,1018,3,7,0,0,0,0,0,0,3,1,0,1,4.4
9,2016-11-16,burketr01,Trey Burke,124,[<Position.POINT_GUARD: 'POINT GUARD'>],2.0,Location.AWAY,PHILADELPHIA_76ERS,22,2,329,1,5,0,0,0,0,0,0,0,0,0,0,-1.5
10,2016-11-21,burketr01,Trey Burke,124,[<Position.POINT_GUARD: 'POINT GUARD'>],2.7,Location.HOME,PHOENIX_SUNS,23,0,367,0,3,0,0,0,0,1,0,1,0,0,0,-0.7
