,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-01-02,burksal01,Alec Burks,125,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],-1.0,Location.AWAY,BROOKLYN_NETS,2,0,187,0,1,0,1,0,0,0,0,0,0,0,1,-1.7
1,2017-01-05,burksal01,Alec Burks,125,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.2,Location.AWAY,TORONTO_RAPTORS,27,4,239,1,1,0,0,2,3,0,1,0,0,0,0,3.6
2,2017-01-07,burksal01,Alec Burks,125,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.5,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,4,405,2,3,0,0,0,1,0,0,1,0,0,0,3.0
3,2017-01-08,burksal01,Alec Burks,125,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,2017-01-13,burksal01,Alec Burks,125,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.HOME,DETROIT_PISTONS,8,2,284,1,4,0,1,0,0,0,0,0,0,0,0,-0.4
5,2017-01-14,burksal01,Alec Burks,125,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.7,Location.HOME,ORLANDO_MAGIC,21,8,886,3,5,1,1,1,3,2,4,1,1,0,1,7.8
6,2017-01-16,burksal01,Alec Burks,125,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,PHOENIX_SUNS,23,0,544,0,4,0,0,0,1,0,0,0,0,0,0,-4.4
7,2017-01-20,burksal01,Alec Burks,125,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.4,Location.AWAY,DALLAS_MAVERICKS,6,7,729,1,3,1,3,4,6,0,2,0,0,0,0,4.7
8,2017-01-21,burksal01,Alec Burks,125,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.3,Location.HOME,INDIANA_PACERS,11,13,1159,5,8,1,4,2,2,1,3,1,1,0,1,10.1
9,2017-01-23,burksal01,Alec Burks,125,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.4,Location.HOME,OKLAHOMA_CITY_THUNDER,20,13,1486,4,7,0,2,5,6,0,2,2,0,1,0,10.8
