,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-19,burtode02,Deonte Burton,126,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,2018-10-21,burtode02,Deonte Burton,126,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.2,Location.HOME,SACRAMENTO_KINGS,25,5,413,2,4,1,2,0,0,0,1,0,0,1,0,4.0
2,2018-10-28,burtode02,Deonte Burton,126,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,PHOENIX_SUNS,23,0,282,0,2,0,0,0,0,0,0,0,0,0,0,-1.8
3,2018-11-12,burtode02,Deonte Burton,126,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,PHOENIX_SUNS,23,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,2018-11-14,burtode02,Deonte Burton,126,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.3,Location.HOME,NEW_YORK_KNICKS,19,7,720,3,6,1,2,0,0,1,3,1,2,1,1,7.6
5,2018-11-17,burtode02,Deonte Burton,126,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.4,Location.AWAY,PHOENIX_SUNS,23,0,619,0,3,0,1,0,0,0,2,0,0,0,1,-3.3
6,2018-11-19,burtode02,Deonte Burton,126,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,SACRAMENTO_KINGS,25,0,423,0,2,0,0,0,0,0,1,0,0,0,0,-1.5
7,2018-11-21,burtode02,Deonte Burton,126,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.5,Location.AWAY,GOLDEN_STATE_WARRIORS,9,6,189,3,3,0,0,0,0,0,0,1,0,0,0,5.4
8,2018-11-23,burtode02,Deonte Burton,126,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.4,Location.HOME,CHARLOTTE_HORNETS,3,11,1275,4,8,1,3,2,3,0,2,2,0,0,0,7.8
9,2018-11-24,burtode02,Deonte Burton,126,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.4,Location.HOME,DENVER_NUGGETS,7,8,839,4,6,0,1,0,0,0,2,0,1,0,0,6.2
10,2018-11-28,burtode02,Deonte Burton,126,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.4,Location.HOME,CLEVELAND_CAVALIERS,5,8,979,3,6,1,2,1,1,0,2,0,0,2,0,7.0
11,2018-11-30,burtode02,Deonte Burton,126,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.7,Location.HOME,ATLANTA_HAWKS,0,2,1180,1,2,0,0,0,0,0,1,1,0,1,3,-1.1
12,2018-12-03,burtode02,Deonte Burton,126,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.0,Location.AWAY,DETROIT_PISTONS,8,2,467,0,1,0,0,2,2,0,0,0,0,0,1,-0.9
13,2018-12-05,burtode02,Deonte Burton,126,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.19999999999999996,Location.AWAY,BROOKLYN_NETS,2,0,262,0,2,0,1,0,0,0,1,0,0,0,1,-2.5
14,2018-12-10,burtode02,Deonte Burton,126,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,UTAH_JAZZ,28,0,86,0,1,0,1,0,0,0,0,0,0,0,0,-1.1
15,2019-02-05,burtode02,Deonte Burton,126,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,ORLANDO_MAGIC,21,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16,2019-02-07,burtode02,Deonte Burton,126,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.HOME,MEMPHIS_GRIZZLIES,14,0,149,0,1,0,0,0,0,0,1,0,0,0,0,-0.4
17,2019-02-09,burtode02,Deonte Burton,126,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.1,Location.AWAY,HOUSTON_ROCKETS,10,0,573,0,1,0,1,0,0,2,1,1,0,0,0,0.5
