,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,butleji01,Jimmy Butler,127,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],42.9,Location.HOME,BOSTON_CELTICS,1,24,2196,6,17,4,6,8,12,3,4,3,2,0,0,19.5
1,2016-10-29,butleji01,Jimmy Butler,127,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29.5,Location.HOME,INDIANA_PACERS,11,16,1556,6,9,0,2,4,4,2,3,3,1,0,0,16.7
2,2016-10-31,butleji01,Jimmy Butler,127,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],31.200000000000003,Location.AWAY,BROOKLYN_NETS,2,22,1637,6,10,2,3,8,9,1,5,2,0,0,1,18.4
3,2016-11-02,butleji01,Jimmy Butler,127,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],34.8,Location.AWAY,BOSTON_CELTICS,1,23,2146,8,21,2,5,5,5,2,7,2,0,0,2,12.4
4,2016-11-04,butleji01,Jimmy Butler,127,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],36.0,Location.HOME,NEW_YORK_KNICKS,19,26,2233,7,15,1,4,11,11,2,3,2,1,0,2,21.0
5,2016-11-05,butleji01,Jimmy Butler,127,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.8,Location.AWAY,INDIANA_PACERS,11,16,1905,5,7,1,1,5,6,0,4,2,0,0,6,8.1
6,2016-11-07,butleji01,Jimmy Butler,127,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],45.5,Location.HOME,ORLANDO_MAGIC,21,20,1839,5,13,0,2,10,10,2,3,7,4,0,3,21.1
7,2016-11-09,butleji01,Jimmy Butler,127,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],68.3,Location.AWAY,ATLANTA_HAWKS,0,39,2357,13,24,4,9,9,12,1,3,7,6,0,4,34.3
8,2016-11-10,butleji01,Jimmy Butler,127,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],39.3,Location.AWAY,MIAMI_HEAT,15,20,2263,5,11,1,2,9,10,1,3,5,3,0,2,19.6
9,2016-11-12,butleji01,Jimmy Butler,127,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],67.1,Location.HOME,WASHINGTON_WIZARDS,29,37,2299,11,23,1,3,14,14,2,6,9,3,0,2,35.0
10,2016-11-15,butleji01,Jimmy Butler,127,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],44.9,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,27,2063,9,16,1,1,8,8,3,9,5,0,0,4,22.9
11,2016-11-17,butleji01,Jimmy Butler,127,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],43.9,Location.AWAY,UTAH_JAZZ,28,20,2431,7,19,2,4,4,6,2,10,3,2,0,1,16.2
