,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,canaais01,Isaiah Canaan,133,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.9,Location.HOME,BOSTON_CELTICS,1,0,407,0,3,0,3,0,0,0,2,1,1,0,0,0.2
1,2016-10-29,canaais01,Isaiah Canaan,133,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.0,Location.HOME,INDIANA_PACERS,11,11,851,4,6,3,5,0,0,0,0,2,1,0,0,10.4
2,2016-10-31,canaais01,Isaiah Canaan,133,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],30.6,Location.AWAY,BROOKLYN_NETS,2,15,1321,5,7,3,4,2,2,1,2,6,1,0,0,17.8
3,2016-11-02,canaais01,Isaiah Canaan,133,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.5,Location.AWAY,BOSTON_CELTICS,1,4,1153,1,4,1,3,1,2,0,0,3,1,0,1,2.5
4,2016-11-04,canaais01,Isaiah Canaan,133,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.7,Location.HOME,NEW_YORK_KNICKS,19,4,856,2,5,0,2,0,0,0,1,1,0,0,0,2.3
5,2016-11-05,canaais01,Isaiah Canaan,133,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.5,Location.AWAY,INDIANA_PACERS,11,2,831,0,1,0,1,2,2,0,0,1,2,0,1,3.0
6,2016-11-07,canaais01,Isaiah Canaan,133,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.8,Location.HOME,ORLANDO_MAGIC,21,10,1249,3,6,1,3,3,4,0,4,0,0,0,0,7.4
7,2016-11-09,canaais01,Isaiah Canaan,133,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.6,Location.AWAY,ATLANTA_HAWKS,0,8,1302,3,9,2,5,0,0,0,3,2,0,1,1,4.1
8,2016-11-10,canaais01,Isaiah Canaan,133,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,MIAMI_HEAT,15,0,544,0,1,0,1,0,0,0,1,0,0,0,0,-0.4
9,2016-11-12,canaais01,Isaiah Canaan,133,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.4,Location.HOME,WASHINGTON_WIZARDS,29,8,1611,3,7,1,5,1,1,0,2,0,0,0,0,4.1
10,2016-11-15,canaais01,Isaiah Canaan,133,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.2,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,8,1446,2,6,1,4,3,3,0,1,0,0,0,0,3.7
11,2016-11-17,canaais01,Isaiah Canaan,133,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.4,Location.AWAY,UTAH_JAZZ,28,8,1547,4,9,0,1,0,0,0,2,0,1,0,2,2.1
12,2016-11-19,canaais01,Isaiah Canaan,133,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.2,Location.AWAY,LOS_ANGELES_CLIPPERS,12,8,1039,2,5,1,4,3,4,0,1,2,0,0,1,4.0
13,2016-11-20,canaais01,Isaiah Canaan,133,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.4,Location.AWAY,LOS_ANGELES_LAKERS,13,17,1840,6,10,3,6,2,2,0,2,0,2,0,3,12.0
14,2016-11-22,canaais01,Isaiah Canaan,133,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.2,Location.AWAY,DENVER_NUGGETS,7,2,1078,1,6,0,4,0,0,0,1,0,2,0,0,0.1
15,2016-11-25,canaais01,Isaiah Canaan,133,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.5,Location.AWAY,PHILADELPHIA_76ERS,22,8,1547,2,9,2,7,2,2,0,5,1,1,0,2,3.3
16,2016-11-30,canaais01,Isaiah Canaan,133,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.7,Location.HOME,LOS_ANGELES_LAKERS,13,5,1544,2,9,1,5,0,0,1,0,1,1,0,1,0.9
17,2016-12-02,canaais01,Isaiah Canaan,133,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.0,Location.HOME,CLEVELAND_CAVALIERS,5,9,1668,4,8,1,5,0,0,0,0,0,0,0,0,4.2
18,2016-12-03,canaais01,Isaiah Canaan,133,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.1,Location.AWAY,DALLAS_MAVERICKS,6,10,1715,4,6,1,2,1,1,0,3,1,1,0,2,7.6
19,2016-12-05,canaais01,Isaiah Canaan,133,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.8,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,10,1726,4,11,0,3,2,2,3,1,2,2,0,2,6.5
20,2016-12-06,canaais01,Isaiah Canaan,133,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.1,Location.AWAY,DETROIT_PISTONS,8,2,1384,1,5,0,2,0,0,0,3,1,1,0,0,0.3
21,2016-12-08,canaais01,Isaiah Canaan,133,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],-1.0,Location.HOME,SAN_ANTONIO_SPURS,26,0,616,0,2,0,1,0,0,0,0,0,0,0,1,-2.8
