,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],28.799999999999997,Location.AWAY,LOS_ANGELES_LAKERS,13,16,1540,8,11,0,0,0,1,3,6,0,0,1,1,13.9
1,2016-10-28,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],17.799999999999997,Location.AWAY,DALLAS_MAVERICKS,6,4,1507,2,5,0,0,0,0,2,7,0,1,1,3,3.1
2,2016-10-30,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],26.5,Location.HOME,DALLAS_MAVERICKS,6,4,1586,2,7,0,0,0,4,1,9,1,1,2,0,4.0
3,2016-11-01,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],16.3,Location.AWAY,CLEVELAND_CAVALIERS,5,8,1111,3,5,0,0,2,3,1,3,1,0,1,1,6.1
4,2016-11-02,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],21.7,Location.AWAY,NEW_YORK_KNICKS,19,8,1264,4,6,0,0,0,3,5,1,1,1,1,1,8.2
5,2016-11-05,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],23.0,Location.AWAY,ATLANTA_HAWKS,0,12,1269,6,7,0,0,0,0,1,9,0,1,0,4,7.9
6,2016-11-07,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],34.2,Location.AWAY,WASHINGTON_WIZARDS,29,14,1631,7,10,0,0,0,2,2,4,0,1,4,2,12.2
7,2016-11-09,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],19.0,Location.AWAY,SAN_ANTONIO_SPURS,26,12,1071,5,8,0,0,2,4,2,3,0,0,1,2,7.0
8,2016-11-12,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],29.0,Location.HOME,SAN_ANTONIO_SPURS,26,12,1485,5,9,0,0,2,2,4,6,2,0,1,1,11.8
9,2016-11-14,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],40.1,Location.HOME,PHILADELPHIA_76ERS,22,8,1532,3,7,0,0,2,3,3,10,1,0,5,0,13.2
10,2016-11-16,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],38.8,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,13,1651,5,8,0,0,3,4,4,10,0,0,3,0,16.5
11,2016-11-17,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],30.9,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,15,1608,7,9,0,0,1,2,2,5,1,1,2,3,12.9
12,2016-11-19,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],40.1,Location.HOME,UTAH_JAZZ,28,20,1831,10,19,0,0,0,2,3,5,5,0,1,0,16.5
13,2016-11-21,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],36.4,Location.AWAY,DETROIT_PISTONS,8,15,2102,7,10,0,0,1,2,4,8,2,0,2,2,14.4
14,2016-11-23,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],31.2,Location.HOME,TORONTO_RAPTORS,27,12,1833,6,7,0,0,0,0,3,3,0,0,4,0,15.3
15,2016-11-25,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],34.0,Location.AWAY,SACRAMENTO_KINGS,25,17,1803,7,14,0,0,3,4,3,7,0,0,2,1,13.4
16,2016-11-27,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],37.8,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,21,1957,9,12,0,0,3,4,3,6,0,0,2,0,19.9
17,2016-11-29,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],22.7,Location.AWAY,UTAH_JAZZ,28,8,1705,4,6,0,0,0,0,2,4,1,1,1,0,9.2
18,2016-12-01,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],17.8,Location.AWAY,GOLDEN_STATE_WARRIORS,9,10,1492,5,8,0,0,0,3,1,3,0,0,2,3,3.6
19,2016-12-02,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],26.299999999999997,Location.AWAY,DENVER_NUGGETS,7,13,1561,6,8,0,0,1,1,2,7,1,0,1,2,11.5
20,2016-12-05,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],28.299999999999997,Location.HOME,BOSTON_CELTICS,1,11,1296,5,7,0,0,1,2,2,7,1,1,1,1,12.2
21,2016-12-07,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],35.8,Location.HOME,LOS_ANGELES_LAKERS,13,12,1212,6,10,0,0,0,0,1,8,2,2,2,2,12.5
22,2016-12-09,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],18.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,13,1033,5,10,0,0,3,5,3,3,0,0,0,2,7.4
23,2016-12-10,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],27.0,Location.HOME,DALLAS_MAVERICKS,6,13,1646,4,8,0,0,5,7,5,5,2,0,0,1,12.0
24,2016-12-12,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],18.2,Location.HOME,BROOKLYN_NETS,2,8,1139,4,4,0,0,0,4,0,6,2,0,0,0,6.8
25,2016-12-14,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],23.4,Location.HOME,SACRAMENTO_KINGS,25,14,1086,7,10,0,0,0,1,1,1,2,1,1,2,11.1
26,2016-12-16,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],25.2,Location.HOME,NEW_ORLEANS_PELICANS,18,8,1330,4,6,0,0,0,2,2,9,0,0,2,2,5.7
27,2016-12-17,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],13.8,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,10,900,5,5,0,0,0,0,1,3,0,0,0,1,8.7
28,2017-01-17,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],11.7,Location.AWAY,MIAMI_HEAT,15,0,519,0,3,0,0,0,0,2,4,1,0,1,0,1.9
29,2017-01-18,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],14.6,Location.HOME,MILWAUKEE_BUCKS,16,5,654,2,3,0,0,1,2,1,2,0,0,2,0,5.6
30,2017-01-20,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],41.9,Location.HOME,GOLDEN_STATE_WARRIORS,9,22,1254,10,16,0,0,2,2,6,6,1,1,1,2,20.0
31,2017-01-21,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],15.8,Location.AWAY,MEMPHIS_GRIZZLIES,14,5,960,2,4,0,0,1,2,2,2,2,0,1,0,5.5
32,2017-01-23,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],21.1,Location.AWAY,MILWAUKEE_BUCKS,16,16,1332,7,12,0,0,2,3,1,2,1,0,0,0,10.8
33,2017-01-25,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],26.9,Location.AWAY,BOSTON_CELTICS,1,12,1227,5,10,0,0,2,7,2,5,1,0,2,1,8.2
34,2017-01-27,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],29.200000000000003,Location.AWAY,PHILADELPHIA_76ERS,22,17,1283,7,11,0,0,3,3,2,4,0,2,1,4,12.2
35,2017-01-29,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],22.3,Location.AWAY,INDIANA_PACERS,11,10,1345,4,6,0,0,2,2,1,3,1,1,1,0,10.6
36,2017-01-31,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],24.7,Location.HOME,SACRAMENTO_KINGS,25,12,1202,5,8,0,0,2,5,4,7,1,0,0,2,8.8
37,2017-02-02,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],39.8,Location.HOME,ATLANTA_HAWKS,0,22,1873,9,11,0,0,4,5,5,4,0,2,1,2,22.1
38,2017-02-03,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],26.799999999999997,Location.HOME,CHICAGO_BULLS,4,14,1898,7,8,0,0,0,0,2,7,0,0,1,1,12.8
39,2017-02-07,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],33.8,Location.HOME,ORLANDO_MAGIC,21,17,1699,7,9,0,0,3,8,2,7,0,1,1,0,16.3
40,2017-02-09,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],32.6,Location.AWAY,CHARLOTTE_HORNETS,3,11,1560,5,8,0,0,1,3,4,4,2,3,1,3,11.1
41,2017-02-11,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],20.0,Location.HOME,PHOENIX_SUNS,23,9,1073,3,4,0,0,3,4,2,3,2,0,1,1,9.6
42,2017-02-15,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],14.4,Location.HOME,MIAMI_HEAT,15,12,949,5,7,0,0,2,3,0,2,0,0,0,0,8.1
43,2017-02-23,capelca01,Clint Capela,135,[<Position.CENTER: 'CENTER'>],31.6,Location.AWAY,NEW_ORLEANS_PELICANS,18,15,1133,7,8,0,0,1,2,2,6,0,0,3,2,13.1
