,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-12-15,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],20.2,Location.HOME,HOUSTON_ROCKETS,10,11,1333,5,9,1,5,0,0,0,1,0,2,1,1,7.5
1,2018-12-17,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],12.6,Location.AWAY,GOLDEN_STATE_WARRIORS,9,5,1519,2,8,1,4,0,0,0,3,2,1,0,2,-0.1
2,2018-12-19,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,0,697,0,1,0,0,0,0,0,0,1,0,0,0,-0.4
3,2018-12-21,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],0.19999999999999996,Location.AWAY,SACRAMENTO_KINGS,25,0,204,0,1,0,0,0,0,0,1,0,0,0,1,-2.2
4,2018-12-31,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],3.0,Location.AWAY,HOUSTON_ROCKETS,10,0,305,0,1,0,1,0,0,0,0,2,0,0,0,0.7
5,2019-01-04,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],11.0,Location.HOME,BROOKLYN_NETS,2,2,666,1,4,0,2,0,0,0,0,2,2,0,0,2.2
6,2019-01-05,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],21.1,Location.AWAY,SAN_ANTONIO_SPURS,26,6,1360,2,8,2,5,0,0,0,3,3,3,0,2,3.6
7,2019-01-07,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],7.4,Location.AWAY,NEW_ORLEANS_PELICANS,18,0,1017,0,5,0,4,0,0,0,2,4,0,0,1,-1.5
8,2019-01-12,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],3.0,Location.AWAY,MIAMI_HEAT,15,0,387,0,1,0,1,0,0,0,0,0,0,1,0,0.0
9,2019-01-14,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],12.2,Location.AWAY,HOUSTON_ROCKETS,10,8,884,2,6,2,4,2,2,0,1,2,0,0,0,5.1
10,2019-01-16,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],27.9,Location.HOME,MILWAUKEE_BUCKS,16,8,1705,3,9,2,6,0,1,1,1,5,2,2,2,8.0
11,2019-01-18,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.AWAY,BOSTON_CELTICS,1,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,2019-01-19,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],15.399999999999999,Location.AWAY,TORONTO_RAPTORS,27,6,1570,2,7,2,5,0,0,1,1,4,1,0,2,4.3
13,2019-01-21,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],1.2,Location.HOME,NEW_ORLEANS_PELICANS,18,0,892,0,1,0,0,0,0,1,0,0,0,0,0,-0.4
14,2019-01-23,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],3.5,Location.HOME,CHARLOTTE_HORNETS,3,2,248,1,2,0,1,0,0,0,0,1,0,0,0,1.7
15,2019-01-25,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],14.9,Location.HOME,SACRAMENTO_KINGS,25,6,791,2,7,0,2,2,2,1,1,3,1,0,1,4.2
16,2019-01-26,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],0.19999999999999996,Location.HOME,INDIANA_PACERS,11,0,1587,0,6,0,2,0,2,0,1,0,0,0,1,-6.9
17,2019-01-30,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,1,512,0,0,0,0,1,2,0,0,1,0,0,1,0.3
18,2019-02-01,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],26.9,Location.AWAY,CHARLOTTE_HORNETS,3,8,2059,3,11,2,6,0,0,0,2,3,3,1,0,7.1
19,2019-02-03,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],5.6,Location.AWAY,NEW_YORK_KNICKS,19,0,630,0,3,0,0,0,0,0,3,0,0,1,1,-1.5
20,2019-02-05,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],-1.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,0,374,0,1,0,0,0,0,0,0,0,0,0,1,-2.1
21,2019-02-07,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],21.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,4,1322,1,3,0,2,2,2,0,5,6,1,1,4,4.1
22,2019-02-09,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],10.4,Location.HOME,NEW_ORLEANS_PELICANS,18,0,932,0,4,0,2,0,0,0,2,2,2,0,1,-0.2
23,2019-02-12,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],10.5,Location.HOME,SAN_ANTONIO_SPURS,26,3,841,1,6,1,3,0,0,0,0,1,1,1,0,1.2
24,2019-02-13,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],17.3,Location.AWAY,CHICAGO_BULLS,4,3,895,1,3,0,1,1,2,1,3,3,2,0,1,5.2
25,2019-02-22,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,0,171,0,1,0,0,0,0,0,0,0,0,0,0,-1.5
26,2019-03-02,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],26.6,Location.AWAY,DALLAS_MAVERICKS,6,15,704,5,8,4,6,1,1,0,3,0,1,2,1,12.9
27,2019-03-03,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],4.7,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,4,796,1,2,0,0,2,2,0,1,1,0,0,2,1.2
28,2019-03-22,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],6.5,Location.AWAY,ORLANDO_MAGIC,21,3,973,1,3,1,2,0,0,0,0,3,0,0,1,1.2
29,2019-03-23,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],5.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,2,627,1,5,0,3,0,0,0,0,2,0,0,0,0.3
30,2019-03-25,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],17.7,Location.HOME,OKLAHOMA_CITY_THUNDER,20,2,1005,0,7,0,4,2,2,3,3,5,1,0,2,2.6
31,2019-03-27,carteje01,Jevon Carter,137,[<Position.POINT_GUARD: 'POINT GUARD'>],2.4,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,60,0,2,0,1,0,0,2,0,0,0,0,0,0.0
