,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.9,Location.HOME,MINNESOTA_TIMBERWOLVES,17,3,1685,1,4,0,2,1,2,1,6,1,1,1,0,3.9
1,2016-10-29,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.1,Location.AWAY,NEW_YORK_KNICKS,19,5,1528,2,4,1,3,0,0,1,2,1,0,0,0,4.2
2,2016-10-30,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27.9,Location.HOME,WASHINGTON_WIZARDS,29,18,1909,5,6,5,6,3,4,0,2,1,1,1,0,17.6
3,2016-11-01,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.3,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,5,863,2,7,1,5,0,0,0,4,1,2,0,0,4.4
4,2016-11-02,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.6,Location.HOME,NEW_ORLEANS_PELICANS,18,0,1911,0,5,0,4,0,0,1,2,2,2,1,2,-1.7
5,2016-11-04,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.9,Location.HOME,LOS_ANGELES_CLIPPERS,12,5,1358,2,7,1,3,0,0,1,6,3,0,1,0,5.4
6,2016-11-06,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.5,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,11,1554,4,10,1,5,2,2,2,3,1,1,0,2,6.8
7,2016-11-08,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],37.1,Location.HOME,DENVER_NUGGETS,7,20,1857,8,13,3,7,1,2,0,3,5,0,2,0,18.3
8,2016-11-12,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.2,Location.AWAY,MILWAUKEE_BUCKS,16,17,2052,7,11,1,5,2,2,0,1,2,1,0,0,13.6
9,2016-11-14,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],31.4,Location.AWAY,UTAH_JAZZ,28,20,1877,6,11,3,5,5,6,1,6,2,1,0,3,15.0
10,2016-11-16,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.6,Location.AWAY,LOS_ANGELES_CLIPPERS,12,12,1594,5,10,2,4,0,0,0,3,2,1,0,1,8.1
11,2016-11-18,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.1,Location.AWAY,DALLAS_MAVERICKS,6,9,1444,4,11,1,5,0,0,0,3,1,0,0,1,1.9
12,2016-11-19,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.5,Location.HOME,MINNESOTA_TIMBERWOLVES,17,4,1546,0,7,0,5,4,5,2,3,1,0,0,0,0.9
13,2016-11-21,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.5,Location.AWAY,CHARLOTTE_HORNETS,3,10,1967,3,8,2,6,2,3,1,4,5,1,0,1,9.4
14,2016-11-23,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.4,Location.AWAY,PHILADELPHIA_76ERS,22,7,2310,3,11,1,6,0,1,0,2,0,0,1,1,-0.8
15,2016-11-25,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.0,Location.HOME,MIAMI_HEAT,15,7,943,2,7,1,4,2,2,1,4,0,1,0,1,3.6
16,2016-11-26,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.8,Location.AWAY,MIAMI_HEAT,15,6,971,2,8,0,5,2,2,0,4,4,0,0,0,4.8
17,2016-11-28,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.9,Location.HOME,CHARLOTTE_HORNETS,3,8,1220,2,9,1,6,3,4,0,2,1,3,0,3,2.6
18,2016-12-13,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.4,Location.AWAY,CLEVELAND_CAVALIERS,5,3,1090,1,4,1,4,0,0,0,2,4,0,0,0,4.0
19,2016-12-14,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.0,Location.HOME,CLEVELAND_CAVALIERS,5,6,1134,2,4,2,3,0,0,1,4,2,0,0,0,6.5
20,2016-12-16,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.7,Location.HOME,SACRAMENTO_KINGS,25,2,1088,1,5,0,4,0,2,0,6,1,2,0,1,0.8
21,2016-12-18,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.9,Location.HOME,UTAH_JAZZ,28,6,1060,2,6,1,2,1,1,1,1,1,0,0,1,2.5
22,2016-12-20,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.4,Location.HOME,BOSTON_CELTICS,1,6,879,2,5,2,4,0,0,0,2,2,2,1,1,6.6
23,2016-12-21,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.0,Location.AWAY,DETROIT_PISTONS,8,5,982,2,4,1,3,0,0,0,0,0,0,0,0,3.0
24,2016-12-23,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.8,Location.HOME,HOUSTON_ROCKETS,10,14,1302,5,8,4,6,0,0,0,4,0,0,0,0,11.2
25,2016-12-26,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.2,Location.AWAY,ORLANDO_MAGIC,21,3,928,1,4,1,3,0,0,0,1,2,0,1,0,2.2
26,2016-12-27,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.6,Location.AWAY,BOSTON_CELTICS,1,5,1389,2,10,1,6,0,2,0,3,2,2,0,1,0.5
27,2016-12-29,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.4,Location.HOME,OKLAHOMA_CITY_THUNDER,20,4,1313,1,3,1,2,1,2,0,2,4,2,2,0,6.7
28,2016-12-31,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.6,Location.AWAY,SACRAMENTO_KINGS,25,14,1235,5,8,4,6,0,0,0,3,0,1,1,1,12.0
29,2017-01-03,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.4,Location.AWAY,LOS_ANGELES_LAKERS,13,12,1259,3,7,2,4,4,4,1,1,0,1,1,0,10.6
30,2017-01-04,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.9,Location.AWAY,LOS_ANGELES_CLIPPERS,12,11,1812,4,10,3,5,0,2,2,5,1,0,2,1,7.6
31,2017-01-06,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.9,Location.AWAY,GOLDEN_STATE_WARRIORS,9,3,858,1,6,1,4,0,0,0,2,1,0,0,0,-1.9
32,2017-01-08,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.7,Location.HOME,UTAH_JAZZ,28,3,1490,1,3,1,3,0,0,0,1,3,1,0,0,4.3
33,2017-01-11,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.1,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,11,1764,3,6,3,4,2,4,1,2,1,1,1,0,9.3
34,2017-01-13,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.9,Location.AWAY,HOUSTON_ROCKETS,10,3,1282,1,3,0,1,1,2,1,1,1,0,0,0,1.8
35,2017-01-15,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.2,Location.HOME,CHICAGO_BULLS,4,10,1834,4,8,2,5,0,0,0,1,2,0,1,0,7.6
36,2017-01-18,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.9,Location.AWAY,WASHINGTON_WIZARDS,29,12,1789,4,9,3,6,1,2,0,2,1,3,0,1,10.2
37,2017-01-20,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.8,Location.HOME,SACRAMENTO_KINGS,25,11,1338,3,5,2,4,3,3,0,4,2,2,0,0,12.9
38,2017-01-21,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.6,Location.HOME,HOUSTON_ROCKETS,10,8,1193,1,6,0,3,6,6,1,2,2,0,0,0,5.7
39,2017-01-25,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.1,Location.HOME,TORONTO_RAPTORS,27,7,1819,2,4,0,1,3,4,0,3,3,0,1,0,7.1
40,2017-01-27,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.9,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,13,1479,4,8,1,1,4,4,2,0,1,1,0,0,11.3
41,2017-01-28,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.4,Location.AWAY,UTAH_JAZZ,28,0,1775,0,7,0,3,0,0,0,2,0,1,0,0,-5.3
42,2017-01-30,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.5,Location.AWAY,PHOENIX_SUNS,23,5,1668,1,6,1,2,2,2,1,4,5,3,0,1,7.8
43,2017-02-01,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],32.0,Location.AWAY,DENVER_NUGGETS,7,14,1578,4,6,3,3,3,4,1,4,6,0,1,0,16.6
44,2017-02-03,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.5,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,7,1141,3,6,1,4,0,0,0,0,3,0,1,0,6.4
45,2017-02-04,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.1,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,11,1858,3,7,3,5,2,2,0,3,1,1,1,1,8.4
46,2017-02-06,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27.2,Location.HOME,SAN_ANTONIO_SPURS,26,7,1443,3,9,1,5,0,1,1,5,2,0,4,2,5.1
47,2017-02-10,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.4,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,1112,0,3,0,1,0,0,1,1,0,0,0,1,-3.3
48,2017-02-13,cartevi01,Vince Carter,139,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.1,Location.AWAY,BROOKLYN_NETS,2,14,1172,5,8,4,5,0,0,0,3,1,2,0,0,13.6
