,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-18,cartewe01,Wendell Carter,140,[<Position.CENTER: 'CENTER'>],18.1,Location.AWAY,PHILADELPHIA_76ERS,22,8,1199,4,10,0,0,0,0,1,2,3,0,1,1,4.1
1,2018-10-20,cartewe01,Wendell Carter,140,[<Position.CENTER: 'CENTER'>],15.899999999999999,Location.HOME,DETROIT_PISTONS,8,8,1060,4,6,0,0,0,0,0,2,1,0,2,2,4.9
2,2018-10-22,cartewe01,Wendell Carter,140,[<Position.CENTER: 'CENTER'>],20.799999999999997,Location.AWAY,DALLAS_MAVERICKS,6,4,1901,2,7,0,1,0,0,2,7,4,0,1,3,2.7
3,2018-10-24,cartewe01,Wendell Carter,140,[<Position.CENTER: 'CENTER'>],22.4,Location.HOME,CHARLOTTE_HORNETS,3,6,1781,2,7,0,0,2,6,3,4,2,0,2,1,4.2
4,2018-10-26,cartewe01,Wendell Carter,140,[<Position.CENTER: 'CENTER'>],20.3,Location.AWAY,CHARLOTTE_HORNETS,3,7,1077,2,5,1,1,2,2,0,4,1,0,3,2,5.1
5,2018-10-27,cartewe01,Wendell Carter,140,[<Position.CENTER: 'CENTER'>],31.5,Location.AWAY,ATLANTA_HAWKS,0,10,1327,4,9,0,2,2,2,2,8,1,1,2,1,10.8
6,2018-10-29,cartewe01,Wendell Carter,140,[<Position.CENTER: 'CENTER'>],35.4,Location.HOME,GOLDEN_STATE_WARRIORS,9,18,1605,7,13,0,2,4,5,1,6,4,1,0,0,16.8
7,2018-10-31,cartewe01,Wendell Carter,140,[<Position.CENTER: 'CENTER'>],59.1,Location.HOME,DENVER_NUGGETS,7,25,2268,9,21,2,3,5,6,6,2,5,3,3,1,24.7
8,2018-11-02,cartewe01,Wendell Carter,140,[<Position.CENTER: 'CENTER'>],34.6,Location.HOME,INDIANA_PACERS,11,11,1449,5,10,0,0,1,1,6,2,6,1,1,1,13.7
9,2018-11-03,cartewe01,Wendell Carter,140,[<Position.CENTER: 'CENTER'>],46.1,Location.HOME,HOUSTON_ROCKETS,10,14,2150,4,7,0,1,6,6,2,11,1,2,4,3,16.7
