,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-19,carusal01,Alex Caruso,141,[<Position.POINT_GUARD: 'POINT GUARD'>],5.2,Location.HOME,LOS_ANGELES_CLIPPERS,12,2,733,1,1,0,0,0,0,0,1,2,0,0,1,2.4
1,2017-10-20,carusal01,Alex Caruso,141,[<Position.POINT_GUARD: 'POINT GUARD'>],3.2,Location.AWAY,PHOENIX_SUNS,23,0,408,0,1,0,0,0,0,0,1,2,0,0,1,0.0
2,2017-12-20,carusal01,Alex Caruso,141,[<Position.POINT_GUARD: 'POINT GUARD'>],2.4,Location.AWAY,HOUSTON_ROCKETS,10,0,183,0,0,0,0,0,0,0,2,0,0,0,0,0.2
3,2017-12-22,carusal01,Alex Caruso,141,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.AWAY,GOLDEN_STATE_WARRIORS,9,0,420,0,0,0,0,0,0,0,0,1,0,0,0,-0.1
4,2017-12-23,carusal01,Alex Caruso,141,[<Position.POINT_GUARD: 'POINT GUARD'>],2.0,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,0,705,0,1,0,0,0,0,0,0,0,0,1,1,-1.4
5,2017-12-25,carusal01,Alex Caruso,141,[<Position.POINT_GUARD: 'POINT GUARD'>],2.5,Location.HOME,MINNESOTA_TIMBERWOLVES,17,2,622,1,2,0,0,0,0,0,0,1,0,0,1,0.3
6,2017-12-27,carusal01,Alex Caruso,141,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,MEMPHIS_GRIZZLIES,14,0,257,0,1,0,0,0,0,0,0,0,0,0,0,-1.1
7,2017-12-29,carusal01,Alex Caruso,141,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.HOME,LOS_ANGELES_CLIPPERS,12,0,367,0,1,0,1,0,0,0,0,1,0,0,0,-0.4
8,2017-12-31,carusal01,Alex Caruso,141,[<Position.POINT_GUARD: 'POINT GUARD'>],6.4,Location.AWAY,HOUSTON_ROCKETS,10,4,523,2,5,0,0,0,1,1,1,0,0,0,0,0.7
9,2018-01-01,carusal01,Alex Caruso,141,[<Position.POINT_GUARD: 'POINT GUARD'>],6.699999999999999,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,1,1066,0,2,0,1,1,2,0,1,1,2,0,3,-2.0
10,2018-01-03,carusal01,Alex Caruso,141,[<Position.POINT_GUARD: 'POINT GUARD'>],12.1,Location.HOME,OKLAHOMA_CITY_THUNDER,20,5,491,2,3,1,2,0,0,1,2,3,0,0,1,6.1
