,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,casspom01,Omri Casspi,142,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.6,Location.AWAY,PHOENIX_SUNS,23,4,512,2,2,0,0,0,0,1,2,0,1,0,2,3.7
1,2016-10-29,casspom01,Omri Casspi,142,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.5999999999999996,Location.HOME,MINNESOTA_TIMBERWOLVES,17,0,586,0,1,0,1,0,0,0,3,0,0,0,0,-0.2
2,2016-11-03,casspom01,Omri Casspi,142,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.0,Location.AWAY,ORLANDO_MAGIC,21,12,1396,5,13,2,4,0,0,3,2,0,1,0,1,6.4
3,2016-11-05,casspom01,Omri Casspi,142,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.2,Location.AWAY,MILWAUKEE_BUCKS,16,6,1427,3,8,0,3,0,0,3,3,2,0,0,3,2.6
4,2016-11-06,casspom01,Omri Casspi,142,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2000000000000002,Location.AWAY,TORONTO_RAPTORS,27,2,578,1,1,0,0,0,0,0,1,0,0,0,2,0.0
5,2016-11-11,casspom01,Omri Casspi,142,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.7,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,2,1011,1,4,0,1,0,0,0,1,1,1,0,0,1.2
6,2016-11-25,casspom01,Omri Casspi,142,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.3,Location.HOME,HOUSTON_ROCKETS,10,7,1695,3,7,0,2,1,2,0,4,5,0,0,1,5.8
7,2016-11-27,casspom01,Omri Casspi,142,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.0,Location.AWAY,BROOKLYN_NETS,2,8,1094,3,3,2,2,0,0,0,5,0,0,0,0,8.6
8,2016-11-28,casspom01,Omri Casspi,142,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.6,Location.AWAY,WASHINGTON_WIZARDS,29,2,958,1,4,0,1,0,0,0,3,2,0,0,1,0.9
9,2016-12-02,casspom01,Omri Casspi,142,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.5,Location.AWAY,BOSTON_CELTICS,1,7,1608,2,9,1,2,2,3,3,2,1,0,1,0,4.8
10,2016-12-04,casspom01,Omri Casspi,142,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.1,Location.AWAY,NEW_YORK_KNICKS,19,6,1173,2,4,0,1,2,2,0,3,1,1,0,0,6.2
