,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-03-24,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.AWAY,NEW_ORLEANS_PELICANS,18,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,2019-03-26,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.AWAY,MILWAUKEE_BUCKS,16,0,75,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
2,2019-03-28,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],4.2,Location.HOME,DENVER_NUGGETS,7,0,201,0,1,0,0,0,0,0,1,0,1,0,0,0.6
3,2019-04-02,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],8.4,Location.AWAY,SACRAMENTO_KINGS,25,3,271,1,1,1,1,0,0,1,1,2,0,0,0,4.7
4,2019-04-03,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],-1.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,0,373,0,0,0,0,0,0,0,0,0,0,0,1,-1.0
5,2019-04-05,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],4.5,Location.HOME,NEW_YORK_KNICKS,19,3,434,1,4,1,3,0,0,0,0,1,0,0,0,0.9
6,2019-04-07,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],5.7,Location.HOME,PHOENIX_SUNS,23,0,309,0,1,0,1,0,0,0,1,1,0,1,0,1.0
7,2019-10-23,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],18.1,Location.AWAY,DALLAS_MAVERICKS,6,6,1169,2,5,2,3,0,0,0,3,3,1,1,2,4.4
8,2019-10-25,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],12.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,913,0,4,0,1,0,0,0,1,4,1,1,1,0.2
9,2019-11-26,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.AWAY,DENVER_NUGGETS,7,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,2019-11-29,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],-1.0,Location.AWAY,LOS_ANGELES_LAKERS,13,0,322,0,2,0,0,0,0,0,0,0,0,0,1,-2.4
11,2019-12-01,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],9.2,Location.AWAY,LOS_ANGELES_CLIPPERS,12,0,377,0,0,0,0,0,0,0,1,2,2,0,1,2.7
12,2019-12-05,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],12.2,Location.HOME,PHILADELPHIA_76ERS,22,0,688,0,4,0,0,0,0,0,1,6,1,0,1,1.3
13,2019-12-06,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],7.7,Location.AWAY,MIAMI_HEAT,15,2,932,1,2,0,0,0,0,0,1,3,0,0,0,3.0
14,2019-12-08,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],21.4,Location.HOME,LOS_ANGELES_CLIPPERS,12,5,936,2,6,1,2,0,0,0,2,6,2,0,1,7.4
15,2019-12-10,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],14.4,Location.AWAY,CHARLOTTE_HORNETS,3,6,812,2,5,2,5,0,0,0,2,2,1,0,0,5.5
16,2019-12-14,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],19.8,Location.AWAY,MEMPHIS_GRIZZLIES,14,8,1096,3,6,2,5,0,0,0,4,2,2,0,2,6.8
17,2020-01-18,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],2.7,Location.HOME,MILWAUKEE_BUCKS,16,0,432,0,3,0,2,0,0,0,1,1,0,0,0,-1.1
18,2020-01-23,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],5.7,Location.HOME,LOS_ANGELES_LAKERS,13,0,264,0,1,0,0,0,0,0,1,1,1,0,0,1.3
19,2020-02-03,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],6.5,Location.HOME,PHOENIX_SUNS,23,0,191,0,1,0,1,0,0,0,0,3,1,0,1,1.4
20,2020-02-05,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],9.7,Location.HOME,GOLDEN_STATE_WARRIORS,9,7,517,3,4,1,2,0,0,0,1,1,0,0,0,6.4
21,2020-02-22,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],2.7,Location.AWAY,CHARLOTTE_HORNETS,3,0,189,0,1,0,1,0,0,1,0,1,0,0,0,0.7
22,2020-02-28,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],-2.0,Location.AWAY,ATLANTA_HAWKS,0,0,219,0,1,0,0,0,0,0,0,0,0,0,2,-2.7
23,2020-03-03,chiozch01,Chris Chiozza,151,[<Position.POINT_GUARD: 'POINT GUARD'>],22.6,Location.AWAY,BOSTON_CELTICS,1,8,1245,3,5,2,3,0,0,2,1,4,2,0,1,10.0
