,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.8,Location.HOME,SACRAMENTO_KINGS,25,7,1332,3,7,0,0,1,2,2,2,2,0,1,4,1.8
1,2016-10-28,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.8,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,7,653,3,5,0,2,1,2,1,3,0,1,1,1,5.4
2,2016-10-30,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.8,Location.HOME,GOLDEN_STATE_WARRIORS,9,7,832,3,6,1,1,0,0,1,3,0,2,0,1,5.4
3,2016-10-31,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.9,Location.AWAY,LOS_ANGELES_CLIPPERS,12,9,1053,2,4,0,1,5,6,0,2,1,1,0,3,4.3
4,2016-11-02,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.3,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,5,934,2,5,0,1,1,3,0,4,1,0,0,0,3.0
5,2016-11-04,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.9,Location.AWAY,NEW_ORLEANS_PELICANS,18,2,623,1,3,0,0,0,0,0,2,1,1,0,2,-0.2
6,2016-11-06,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,LOS_ANGELES_LAKERS,13,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,2016-11-08,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.8,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,7,1222,3,7,0,1,1,2,2,2,0,0,1,1,3.0
8,2016-11-09,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.5,Location.HOME,DETROIT_PISTONS,8,0,849,0,4,0,1,0,0,2,3,1,0,0,1,-1.6
9,2016-11-12,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.0,Location.HOME,BROOKLYN_NETS,2,16,1109,7,15,2,4,0,0,2,3,0,1,0,2,8.8
10,2016-11-13,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.7,Location.AWAY,GOLDEN_STATE_WARRIORS,9,4,949,2,4,0,1,0,0,1,5,1,0,0,4,-1.5
11,2016-11-16,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.AWAY,DENVER_NUGGETS,7,2,718,1,1,0,0,0,1,0,1,0,0,0,0,0.4
12,2016-11-18,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.2,Location.AWAY,INDIANA_PACERS,11,7,963,3,7,0,1,1,2,0,1,0,0,3,1,2.7
13,2016-11-19,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.9,Location.AWAY,PHILADELPHIA_76ERS,22,6,1211,2,7,2,5,0,2,0,2,1,0,0,3,-1.8
14,2016-11-21,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.6,Location.AWAY,WASHINGTON_WIZARDS,29,7,936,3,8,1,2,0,0,2,1,0,0,1,2,1.8
15,2016-11-23,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.6,Location.AWAY,ORLANDO_MAGIC,21,10,1031,3,4,1,1,3,4,1,2,0,1,1,0,10.2
16,2016-11-25,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.4,Location.HOME,MINNESOTA_TIMBERWOLVES,17,9,1404,4,11,0,3,1,2,0,2,2,2,1,0,5.6
17,2016-11-27,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.0,Location.HOME,DENVER_NUGGETS,7,2,602,1,2,0,0,0,0,0,0,0,0,1,1,-1.3
18,2016-11-30,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.4,Location.HOME,ATLANTA_HAWKS,0,7,789,2,4,1,3,2,2,0,2,0,1,0,0,6.6
19,2016-12-03,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.3,Location.AWAY,GOLDEN_STATE_WARRIORS,9,11,1494,3,8,1,4,4,4,2,2,1,0,1,1,7.0
20,2016-12-06,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.8,Location.AWAY,UTAH_JAZZ,28,6,1041,3,7,0,2,0,0,2,2,0,0,0,1,2.1
21,2016-12-07,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.6,Location.HOME,INDIANA_PACERS,11,10,1148,3,6,2,4,2,2,0,3,0,2,0,1,8.1
22,2016-12-09,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.2,Location.AWAY,LOS_ANGELES_LAKERS,13,7,472,3,5,1,3,0,0,0,1,0,0,0,0,3.8
23,2016-12-11,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.5,Location.HOME,NEW_ORLEANS_PELICANS,18,5,1042,1,5,0,3,3,6,0,5,1,0,0,0,1.3
24,2016-12-13,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33.4,Location.HOME,NEW_YORK_KNICKS,19,14,1883,5,12,1,3,3,3,4,8,0,1,1,1,11.5
25,2016-12-15,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.4,Location.HOME,SAN_ANTONIO_SPURS,26,10,1852,4,9,2,4,0,0,1,1,0,1,1,0,7.6
26,2016-12-17,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.1,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,8,1435,3,11,1,2,1,2,3,5,1,0,1,3,2.3
27,2016-12-19,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.8,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,6,996,2,6,1,2,1,2,3,1,2,1,0,2,4.2
28,2016-12-21,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.6,Location.HOME,HOUSTON_ROCKETS,10,7,944,3,7,1,4,0,0,1,2,0,0,0,0,3.8
29,2016-12-23,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.HOME,PHILADELPHIA_76ERS,22,3,424,1,2,1,2,0,0,0,1,0,0,0,1,-0.7
30,2016-12-26,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.5,Location.AWAY,HOUSTON_ROCKETS,10,12,1133,5,9,1,4,1,2,3,2,1,0,2,2,8.9
31,2016-12-28,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.9,Location.AWAY,SAN_ANTONIO_SPURS,26,13,1250,5,9,1,3,2,6,2,0,1,1,0,3,6.4
32,2016-12-29,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.4,Location.HOME,TORONTO_RAPTORS,27,8,1129,3,6,1,3,1,2,1,1,0,0,0,0,4.4
33,2016-12-31,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.4,Location.AWAY,UTAH_JAZZ,28,4,1313,2,7,0,1,0,0,1,1,0,0,0,1,-0.5
34,2017-01-02,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.2,Location.AWAY,LOS_ANGELES_CLIPPERS,12,2,727,1,5,0,2,0,0,1,0,0,1,2,1,0.2
35,2017-01-03,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33.2,Location.HOME,MIAMI_HEAT,15,18,1833,7,11,2,5,2,2,1,5,2,2,0,1,16.1
36,2017-01-05,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.1,Location.AWAY,DALLAS_MAVERICKS,6,2,1098,0,2,0,0,2,2,1,7,1,0,0,3,0.3
37,2017-01-08,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],32.6,Location.HOME,CLEVELAND_CAVALIERS,5,12,1983,4,11,1,2,3,4,1,2,4,1,3,1,10.5
38,2017-01-12,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.600000000000001,Location.HOME,DALLAS_MAVERICKS,6,13,1407,4,6,3,4,2,2,0,3,0,0,0,1,9.1
39,2017-01-14,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.5,Location.HOME,SAN_ANTONIO_SPURS,26,5,905,2,6,1,4,0,0,2,3,1,2,0,1,4.0
40,2017-01-16,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.6,Location.HOME,UTAH_JAZZ,28,5,1326,2,9,0,3,1,1,1,2,0,0,0,0,-1.2
41,2017-01-19,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.3,Location.AWAY,CLEVELAND_CAVALIERS,5,6,1341,3,7,0,0,0,0,2,2,1,1,0,0,4.8
42,2017-01-21,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],32.0,Location.AWAY,NEW_YORK_KNICKS,19,15,1305,6,10,2,5,1,3,3,2,0,3,1,1,14.2
43,2017-01-22,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.2,Location.AWAY,TORONTO_RAPTORS,27,4,1023,2,7,0,4,0,0,0,1,0,2,1,2,-0.7
44,2017-01-24,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.4,Location.HOME,MINNESOTA_TIMBERWOLVES,17,5,708,2,5,1,2,0,0,0,2,0,0,1,0,2.0
45,2017-01-26,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.0,Location.AWAY,DENVER_NUGGETS,7,5,459,2,3,1,2,0,0,0,0,0,2,0,1,3.1
46,2017-01-28,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.6,Location.HOME,DENVER_NUGGETS,7,4,1017,2,4,0,1,0,2,0,3,0,2,1,0,2.8
47,2017-01-30,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33.2,Location.HOME,MEMPHIS_GRIZZLIES,14,20,2055,8,12,2,4,2,4,3,3,0,2,1,3,15.5
48,2017-02-01,chrisma01,Marquese Chriss,152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28.5,Location.HOME,LOS_ANGELES_CLIPPERS,12,9,1664,3,15,1,6,2,2,3,2,1,4,0,0,6.3
