,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-23,clarkbr01,Brandon Clarke,155,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.9,Location.AWAY,MIAMI_HEAT,15,8,1383,3,6,1,1,1,1,2,5,1,0,1,0,8.9
1,2019-10-25,clarkbr01,Brandon Clarke,155,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33.5,Location.HOME,CHICAGO_BULLS,4,14,1517,7,9,0,1,0,0,1,4,1,1,3,0,15.0
2,2019-10-27,clarkbr01,Brandon Clarke,155,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.4,Location.HOME,BROOKLYN_NETS,2,10,1551,5,12,0,3,0,0,1,6,2,1,1,1,7.4
3,2019-10-29,clarkbr01,Brandon Clarke,155,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.2,Location.AWAY,LOS_ANGELES_LAKERS,13,10,1111,4,9,0,0,2,2,1,0,0,1,1,1,5.1
4,2019-11-02,clarkbr01,Brandon Clarke,155,[<Position.POWER_FORWARD: 'POWER FORWARD'>],42.2,Location.HOME,PHOENIX_SUNS,23,16,1325,7,9,1,1,1,2,4,7,0,3,2,2,19.0
5,2019-11-04,clarkbr01,Brandon Clarke,155,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22.7,Location.HOME,HOUSTON_ROCKETS,10,3,1222,1,4,0,1,1,1,1,5,1,0,4,1,5.3
6,2019-11-06,clarkbr01,Brandon Clarke,155,[<Position.POWER_FORWARD: 'POWER FORWARD'>],29.6,Location.HOME,MINNESOTA_TIMBERWOLVES,17,18,1316,7,7,0,0,4,4,2,6,2,0,0,1,19.1
7,2019-11-08,clarkbr01,Brandon Clarke,155,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.7,Location.AWAY,ORLANDO_MAGIC,21,13,1475,5,12,1,3,2,2,1,5,1,0,1,1,8.4
8,2019-11-11,clarkbr01,Brandon Clarke,155,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24.1,Location.AWAY,SAN_ANTONIO_SPURS,26,14,1050,6,7,2,2,0,0,1,7,1,0,0,1,13.6
9,2019-11-13,clarkbr01,Brandon Clarke,155,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.2,Location.AWAY,CHARLOTTE_HORNETS,3,13,1262,6,9,1,2,0,0,2,4,2,0,0,4,7.9
10,2019-11-15,clarkbr01,Brandon Clarke,155,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.8,Location.HOME,UTAH_JAZZ,28,10,1088,5,7,0,0,0,0,1,3,0,1,1,2,8.0
11,2019-11-17,clarkbr01,Brandon Clarke,155,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.5,Location.HOME,DENVER_NUGGETS,7,19,1453,8,8,2,2,1,2,0,5,1,0,0,1,16.2
