,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,clarkia01,Ian Clark,157,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.0,Location.HOME,SAN_ANTONIO_SPURS,26,5,802,2,8,0,4,1,2,0,0,2,0,1,0,1.9
1,2016-10-28,clarkia01,Ian Clark,157,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,NEW_ORLEANS_PELICANS,18,0,324,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
2,2016-10-30,clarkia01,Ian Clark,157,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.4,Location.AWAY,PHOENIX_SUNS,23,3,953,1,5,1,3,0,0,0,2,0,0,0,1,-1.7
3,2016-11-01,clarkia01,Ian Clark,157,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33.9,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,22,1520,8,8,3,3,3,3,0,2,1,3,0,1,22.1
4,2016-11-03,clarkia01,Ian Clark,157,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.6,Location.HOME,OKLAHOMA_CITY_THUNDER,20,8,1143,3,5,1,2,1,1,0,3,0,0,0,0,6.6
5,2016-11-04,clarkia01,Ian Clark,157,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.4,Location.AWAY,LOS_ANGELES_LAKERS,13,2,761,1,5,0,2,0,0,0,2,0,1,0,3,-3.3
6,2016-11-07,clarkia01,Ian Clark,157,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.4,Location.HOME,NEW_ORLEANS_PELICANS,18,2,764,1,3,0,2,0,0,0,2,2,0,1,1,2.0
7,2016-11-09,clarkia01,Ian Clark,157,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.7,Location.HOME,DALLAS_MAVERICKS,6,4,693,2,5,0,2,0,0,0,1,1,1,0,0,3.3
8,2016-11-10,clarkia01,Ian Clark,157,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.0,Location.AWAY,DENVER_NUGGETS,7,3,682,1,4,1,3,0,0,0,0,4,0,0,0,2.6
9,2016-11-13,clarkia01,Ian Clark,157,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.0,Location.HOME,PHOENIX_SUNS,23,4,313,2,2,0,0,0,0,0,0,0,1,0,0,4.0
10,2016-11-18,clarkia01,Ian Clark,157,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.2,Location.AWAY,BOSTON_CELTICS,1,3,440,1,2,1,1,0,0,1,0,0,0,0,0,2.3
11,2016-11-21,clarkia01,Ian Clark,157,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.5,Location.AWAY,INDIANA_PACERS,11,10,1241,4,10,2,5,0,0,1,4,1,0,0,0,6.8
12,2016-11-23,clarkia01,Ian Clark,157,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.7,Location.HOME,LOS_ANGELES_LAKERS,13,21,1078,7,8,5,5,2,4,0,1,1,0,0,1,17.4
13,2016-11-25,clarkia01,Ian Clark,157,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.AWAY,LOS_ANGELES_LAKERS,13,3,534,1,2,1,1,0,0,0,0,0,0,0,0,2.0
14,2016-11-28,clarkia01,Ian Clark,157,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.9,Location.HOME,ATLANTA_HAWKS,0,8,688,3,6,2,5,0,0,0,2,1,0,0,0,5.5
15,2016-12-01,clarkia01,Ian Clark,157,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.7,Location.HOME,HOUSTON_ROCKETS,10,4,726,2,6,0,2,0,0,1,0,1,0,0,0,2.0
16,2016-12-03,clarkia01,Ian Clark,157,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.7,Location.HOME,PHOENIX_SUNS,23,9,944,3,4,0,1,3,4,0,1,3,0,0,0,9.0
17,2016-12-05,clarkia01,Ian Clark,157,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.7,Location.HOME,INDIANA_PACERS,11,11,1137,5,9,1,3,0,0,1,0,3,2,1,2,9.8
18,2016-12-07,clarkia01,Ian Clark,157,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.1,Location.AWAY,LOS_ANGELES_CLIPPERS,12,7,775,3,7,0,2,1,1,0,3,1,0,0,0,4.1
