,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,clarkjo01,Jordan Clarkson,158,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],35.1,Location.HOME,HOUSTON_ROCKETS,10,25,1475,8,12,2,3,7,7,1,2,1,3,0,4,19.6
1,2016-10-28,clarkjo01,Jordan Clarkson,158,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.4,Location.AWAY,UTAH_JAZZ,28,4,1528,2,9,0,3,0,0,0,2,0,0,1,3,-4.0
2,2016-10-30,clarkjo01,Jordan Clarkson,158,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,12,1724,6,14,0,3,0,0,2,3,2,3,0,4,6.5
3,2016-11-01,clarkjo01,Jordan Clarkson,158,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.2,Location.AWAY,INDIANA_PACERS,11,15,1841,7,16,0,4,1,1,1,0,0,0,0,0,6.5
4,2016-11-02,clarkjo01,Jordan Clarkson,158,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27.9,Location.AWAY,ATLANTA_HAWKS,0,18,1383,8,13,1,3,1,2,0,2,3,1,1,3,11.5
5,2016-11-04,clarkjo01,Jordan Clarkson,158,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.7,Location.HOME,GOLDEN_STATE_WARRIORS,9,9,1735,4,13,1,3,0,0,0,1,5,2,0,1,5.9
6,2016-11-06,clarkjo01,Jordan Clarkson,158,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.7,Location.HOME,PHOENIX_SUNS,23,18,1810,8,16,1,2,1,2,2,4,1,0,0,3,7.9
7,2016-11-08,clarkjo01,Jordan Clarkson,158,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.0,Location.HOME,DALLAS_MAVERICKS,6,22,1672,9,12,2,3,2,2,0,0,2,3,0,3,18.6
8,2016-11-10,clarkjo01,Jordan Clarkson,158,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.1,Location.AWAY,SACRAMENTO_KINGS,25,7,1292,3,7,1,3,0,0,0,3,5,1,0,3,4.9
9,2016-11-12,clarkjo01,Jordan Clarkson,158,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.1,Location.AWAY,NEW_ORLEANS_PELICANS,18,23,1503,8,12,4,6,3,3,0,3,1,1,0,3,17.4
