,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-11-08,claxtni01,Nicolas Claxton,160,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.7,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,8,724,3,5,0,0,2,5,5,1,1,0,0,0,8.2
1,2019-11-10,claxtni01,Nicolas Claxton,160,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.4,Location.AWAY,PHOENIX_SUNS,23,4,720,2,2,0,0,0,0,1,1,2,0,0,0,5.4
2,2019-11-12,claxtni01,Nicolas Claxton,160,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.9,Location.AWAY,UTAH_JAZZ,28,0,707,0,2,0,1,0,0,0,2,1,1,0,0,0.5
3,2019-11-14,claxtni01,Nicolas Claxton,160,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.6,Location.AWAY,DENVER_NUGGETS,7,2,994,1,3,0,2,0,0,0,3,0,0,0,0,1.2
4,2019-11-16,claxtni01,Nicolas Claxton,160,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.4,Location.AWAY,CHICAGO_BULLS,4,8,1046,4,6,0,2,0,1,0,2,2,0,0,0,6.6
5,2019-11-18,claxtni01,Nicolas Claxton,160,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.7,Location.HOME,INDIANA_PACERS,11,1,882,0,1,0,0,1,2,0,1,1,0,1,0,1.6
6,2019-11-22,claxtni01,Nicolas Claxton,160,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.4000000000000004,Location.HOME,SACRAMENTO_KINGS,25,2,200,0,0,0,0,2,2,0,2,0,0,0,3,-1.2
7,2019-11-25,claxtni01,Nicolas Claxton,160,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.9,Location.AWAY,CLEVELAND_CAVALIERS,5,2,751,1,2,0,0,0,0,1,1,3,0,3,1,4.8
8,2019-11-27,claxtni01,Nicolas Claxton,160,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.9,Location.AWAY,BOSTON_CELTICS,1,0,1100,0,0,0,0,0,2,1,1,1,0,1,2,-1.2
9,2020-01-06,claxtni01,Nicolas Claxton,160,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,ORLANDO_MAGIC,21,0,91,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
10,2020-01-18,claxtni01,Nicolas Claxton,160,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30.7,Location.HOME,MILWAUKEE_BUCKS,16,14,1141,7,12,0,0,0,0,4,2,1,0,3,1,13.6
11,2020-01-20,claxtni01,Nicolas Claxton,160,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22.8,Location.HOME,PHILADELPHIA_76ERS,22,15,1026,6,8,1,2,2,3,4,0,2,0,0,0,14.8
12,2020-01-25,claxtni01,Nicolas Claxton,160,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.199999999999999,Location.AWAY,DETROIT_PISTONS,8,2,784,1,3,0,0,0,0,1,5,0,0,0,2,-0.3
13,2020-01-26,claxtni01,Nicolas Claxton,160,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.0,Location.AWAY,NEW_YORK_KNICKS,19,4,826,1,1,0,0,2,4,2,3,2,0,0,0,6.6
14,2020-02-28,claxtni01,Nicolas Claxton,160,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.2,Location.AWAY,ATLANTA_HAWKS,0,4,219,1,2,0,0,2,2,0,1,0,0,0,0,3.3
