,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-11-03,clemoch01,Chris Clemons,161,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.1,Location.AWAY,MIAMI_HEAT,15,16,1318,5,10,4,9,2,2,2,1,1,0,1,2,10.9
1,2019-11-04,clemoch01,Chris Clemons,161,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,178,0,0,0,0,0,0,0,0,0,0,0,0,-0.8
2,2019-11-06,clemoch01,Chris Clemons,161,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,176,0,2,0,2,0,0,0,0,0,0,0,0,-1.4
3,2019-11-09,clemoch01,Chris Clemons,161,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.5,Location.AWAY,CHICAGO_BULLS,4,3,192,1,2,1,2,0,0,0,0,1,0,0,1,1.3
4,2019-11-13,clemoch01,Chris Clemons,161,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,0,635,0,2,0,2,0,0,0,0,0,0,0,0,-1.4
5,2019-11-15,clemoch01,Chris Clemons,161,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.2,Location.HOME,INDIANA_PACERS,11,3,421,1,3,1,2,0,0,0,1,0,0,0,1,0.6
6,2019-11-16,clemoch01,Chris Clemons,161,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.2,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,19,1687,7,11,5,9,0,0,0,1,0,2,0,0,16.0
7,2019-11-18,clemoch01,Chris Clemons,161,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.5,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,6,491,2,5,2,4,0,0,0,0,1,0,1,0,4.3
8,2019-11-20,clemoch01,Chris Clemons,161,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.9,Location.AWAY,DENVER_NUGGETS,7,4,521,1,2,1,2,1,2,0,2,1,0,0,1,2.5
9,2019-11-22,clemoch01,Chris Clemons,161,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,2,289,1,3,0,1,0,0,0,0,0,0,0,0,-0.5
10,2019-11-24,clemoch01,Chris Clemons,161,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.4,Location.HOME,DALLAS_MAVERICKS,6,0,108,0,1,0,1,0,0,0,2,2,0,0,0,1.3
11,2019-11-27,clemoch01,Chris Clemons,161,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,MIAMI_HEAT,15,0,32,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
12,2019-11-30,clemoch01,Chris Clemons,161,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.0,Location.HOME,ATLANTA_HAWKS,0,16,922,6,10,4,8,0,0,0,0,0,0,0,1,10.0
13,2019-12-03,clemoch01,Chris Clemons,161,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.AWAY,SAN_ANTONIO_SPURS,26,0,650,0,6,0,3,0,0,0,0,0,1,0,0,-4.0
14,2019-12-05,clemoch01,Chris Clemons,161,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,TORONTO_RAPTORS,27,0,211,0,0,0,0,0,0,0,1,0,0,0,0,0.3
