,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-08,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],19.2,Location.HOME,NEW_ORLEANS_PELICANS,18,9,1654,4,9,1,3,0,0,1,0,4,2,0,3,6.4
1,2016-11-10,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],25.9,Location.HOME,LOS_ANGELES_LAKERS,13,6,1371,2,11,0,0,2,2,0,2,9,2,0,2,5.6
2,2016-11-11,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],29.0,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,20,2269,9,16,0,2,2,2,0,5,4,0,0,3,12.1
3,2016-11-16,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],27.8,Location.HOME,SAN_ANTONIO_SPURS,26,10,1773,4,7,0,1,2,2,1,3,6,2,0,2,12.1
4,2016-11-18,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],19.4,Location.HOME,LOS_ANGELES_CLIPPERS,12,16,1951,7,11,1,2,1,2,1,1,2,0,0,2,9.9
5,2016-11-20,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],33.5,Location.HOME,TORONTO_RAPTORS,27,15,1937,4,8,1,4,6,8,0,0,9,2,0,1,17.1
6,2016-11-23,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],26.0,Location.HOME,OKLAHOMA_CITY_THUNDER,20,21,1882,7,12,3,5,4,4,0,0,6,0,0,4,15.6
7,2016-11-25,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],22.6,Location.HOME,HOUSTON_ROCKETS,10,8,1487,2,6,0,3,4,4,0,3,4,2,0,1,8.9
8,2016-11-27,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],23.4,Location.AWAY,BROOKLYN_NETS,2,18,1784,6,10,2,2,4,6,0,2,2,1,0,3,12.2
9,2016-11-28,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],23.1,Location.AWAY,WASHINGTON_WIZARDS,29,6,1891,2,6,0,1,2,2,2,1,3,2,1,0,8.3
10,2016-12-02,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],22.5,Location.AWAY,BOSTON_CELTICS,1,13,1707,4,8,1,3,4,4,0,0,3,2,0,1,10.9
11,2016-12-04,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],29.6,Location.AWAY,NEW_YORK_KNICKS,19,13,2328,4,10,1,3,4,4,1,2,6,2,0,2,11.9
12,2016-12-07,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],22.1,Location.AWAY,DALLAS_MAVERICKS,6,19,1821,5,10,2,4,7,8,1,2,3,0,0,5,11.6
13,2016-12-09,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],28.1,Location.HOME,NEW_YORK_KNICKS,19,14,1812,5,11,1,2,3,3,0,3,3,2,0,0,12.9
14,2016-12-10,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],22.2,Location.AWAY,UTAH_JAZZ,28,17,1895,7,14,3,5,0,0,1,0,2,1,0,2,10.7
15,2016-12-12,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],25.5,Location.HOME,LOS_ANGELES_LAKERS,13,20,1901,7,11,4,7,2,6,0,0,3,1,0,2,13.8
16,2016-12-14,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],21.3,Location.AWAY,HOUSTON_ROCKETS,10,7,1768,2,10,0,2,3,3,0,4,9,0,0,4,3.9
17,2016-12-16,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],24.4,Location.AWAY,MEMPHIS_GRIZZLIES,14,11,2279,4,13,1,3,2,2,0,2,6,1,0,1,7.1
18,2016-12-18,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],7.7,Location.AWAY,DALLAS_MAVERICKS,6,2,1488,1,8,0,3,0,1,0,1,3,0,0,0,-1.6
19,2016-12-20,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],15.899999999999999,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,10,1270,3,8,0,1,4,5,1,1,3,0,0,1,6.5
20,2016-12-21,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],9.7,Location.AWAY,UTAH_JAZZ,28,8,1328,4,9,0,1,0,0,0,1,1,0,0,1,2.9
21,2016-12-23,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],13.2,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,3,1217,1,5,1,2,0,0,0,1,6,0,0,0,3.6
22,2016-12-26,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],17.2,Location.HOME,PHILADELPHIA_76ERS,22,9,1667,4,10,1,3,0,0,1,0,4,1,0,2,6.1
23,2016-12-28,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],14.7,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,6,1199,2,7,0,1,2,2,0,1,5,0,0,0,5.3
24,2016-12-31,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],23.8,Location.HOME,MEMPHIS_GRIZZLIES,14,16,2320,8,16,0,2,0,0,1,3,2,0,0,0,10.6
25,2017-01-03,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],36.9,Location.AWAY,DENVER_NUGGETS,7,26,2140,10,16,2,5,4,4,1,1,7,0,0,2,22.3
26,2017-01-04,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],18.9,Location.HOME,MIAMI_HEAT,15,10,1600,4,11,1,1,1,1,0,2,3,0,1,1,5.1
27,2017-01-06,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],29.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,20,2095,7,13,3,6,3,3,1,4,2,0,0,0,16.2
28,2017-01-08,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],25.2,Location.HOME,GOLDEN_STATE_WARRIORS,9,14,1820,6,9,2,3,0,0,0,1,2,3,0,2,12.4
29,2017-01-10,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],14.0,Location.HOME,DETROIT_PISTONS,8,9,1667,4,9,1,3,0,0,0,0,4,0,0,1,6.1
30,2017-01-13,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],19.2,Location.HOME,CLEVELAND_CAVALIERS,5,13,1324,5,10,2,4,1,1,0,1,4,0,0,1,9.3
31,2017-01-15,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],30.2,Location.HOME,OKLAHOMA_CITY_THUNDER,20,21,1649,7,9,2,3,5,6,0,1,2,2,0,1,18.2
32,2017-01-18,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],38.9,Location.HOME,INDIANA_PACERS,11,11,2225,4,8,0,0,3,4,0,2,9,4,0,0,16.3
33,2017-01-20,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],13.6,Location.AWAY,MEMPHIS_GRIZZLIES,14,4,1614,2,7,0,3,0,0,0,3,4,0,0,0,2.4
34,2017-01-21,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],14.6,Location.AWAY,CHICAGO_BULLS,4,8,1479,4,11,0,2,0,0,2,1,2,0,0,0,4.2
35,2017-01-23,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],21.3,Location.AWAY,DETROIT_PISTONS,8,12,1536,4,5,2,2,2,2,0,4,3,1,0,3,11.0
36,2017-01-25,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],40.1,Location.AWAY,CLEVELAND_CAVALIERS,5,23,2169,8,14,3,5,4,4,1,2,5,2,1,3,19.7
37,2017-01-27,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],44.3,Location.AWAY,INDIANA_PACERS,11,26,2756,10,17,4,6,2,2,1,3,5,3,0,3,22.0
38,2017-01-28,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],21.0,Location.AWAY,CHARLOTTE_HORNETS,3,17,2090,7,11,2,6,1,1,0,0,2,0,1,2,10.6
39,2017-01-30,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],13.0,Location.AWAY,PHILADELPHIA_76ERS,22,8,1440,3,7,0,1,2,2,0,0,2,1,0,1,5.3
40,2017-01-31,collida01,Darren Collison,165,[<Position.POINT_GUARD: 'POINT GUARD'>],16.4,Location.AWAY,HOUSTON_ROCKETS,10,5,1570,2,10,1,2,0,0,1,1,4,1,0,0,3.2
