,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-18,collijo01,John Collins,166,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.5,Location.AWAY,DALLAS_MAVERICKS,6,14,1344,6,10,0,0,2,3,3,2,1,2,0,1,13.0
1,2017-10-20,collijo01,John Collins,166,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.399999999999999,Location.AWAY,CHARLOTTE_HORNETS,3,5,921,2,4,0,0,1,2,0,2,0,1,2,2,1.2
2,2017-10-22,collijo01,John Collins,166,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30.6,Location.AWAY,BROOKLYN_NETS,2,14,1260,5,11,0,0,4,4,6,7,0,0,1,2,11.3
3,2017-10-23,collijo01,John Collins,166,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33.2,Location.AWAY,MIAMI_HEAT,15,14,1106,6,11,0,0,2,2,4,7,2,0,1,0,14.9
4,2017-10-26,collijo01,John Collins,166,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.0,Location.AWAY,CHICAGO_BULLS,4,13,1492,5,6,0,0,3,5,1,4,0,0,1,1,10.4
5,2017-10-27,collijo01,John Collins,166,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.6,Location.HOME,DENVER_NUGGETS,7,6,860,2,11,0,0,2,2,5,3,0,0,0,0,1.5
6,2017-10-29,collijo01,John Collins,166,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.4,Location.HOME,MILWAUKEE_BUCKS,16,14,1470,5,7,0,0,4,7,1,6,0,0,1,0,12.3
7,2017-11-01,collijo01,John Collins,166,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.4,Location.AWAY,PHILADELPHIA_76ERS,22,7,829,3,7,0,1,1,2,6,1,2,0,1,1,6.1
8,2017-11-03,collijo01,John Collins,166,[<Position.POWER_FORWARD: 'POWER FORWARD'>],38.9,Location.HOME,HOUSTON_ROCKETS,10,8,1682,3,7,0,0,2,2,4,8,1,2,4,3,11.2
9,2017-11-05,collijo01,John Collins,166,[<Position.POWER_FORWARD: 'POWER FORWARD'>],32.1,Location.AWAY,CLEVELAND_CAVALIERS,5,12,1449,3,10,0,0,6,8,7,6,1,0,2,3,10.0
10,2017-11-06,collijo01,John Collins,166,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.2,Location.HOME,BOSTON_CELTICS,1,8,947,3,4,0,0,2,2,1,0,0,0,0,1,4.1
11,2017-11-10,collijo01,John Collins,166,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30.1,Location.AWAY,DETROIT_PISTONS,8,16,1610,8,13,0,0,0,0,2,6,1,0,2,3,10.4
12,2017-11-11,collijo01,John Collins,166,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.1,Location.AWAY,WASHINGTON_WIZARDS,29,2,1347,1,4,0,0,0,0,1,2,1,0,0,0,-0.4
13,2017-11-13,collijo01,John Collins,166,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.7,Location.AWAY,NEW_ORLEANS_PELICANS,18,12,1306,6,10,0,0,0,0,4,2,1,0,0,2,7.9
14,2017-11-15,collijo01,John Collins,166,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.6,Location.HOME,SACRAMENTO_KINGS,25,14,1343,7,9,0,0,0,0,2,6,0,0,0,3,8.7
15,2017-11-18,collijo01,John Collins,166,[<Position.POWER_FORWARD: 'POWER FORWARD'>],29.9,Location.HOME,BOSTON_CELTICS,1,18,1496,7,8,0,0,4,4,3,4,1,1,0,1,18.0
16,2017-11-20,collijo01,John Collins,166,[<Position.POWER_FORWARD: 'POWER FORWARD'>],35.8,Location.AWAY,SAN_ANTONIO_SPURS,26,21,2169,10,12,0,0,1,2,4,5,0,0,2,2,17.9
17,2017-11-22,collijo01,John Collins,166,[<Position.POWER_FORWARD: 'POWER FORWARD'>],40.5,Location.HOME,LOS_ANGELES_CLIPPERS,12,14,2251,7,9,0,0,0,0,3,7,3,4,0,2,17.2
18,2017-11-24,collijo01,John Collins,166,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22.5,Location.HOME,NEW_YORK_KNICKS,19,13,1418,6,10,0,0,1,1,3,2,3,0,0,1,11.0
