,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-20,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],1.4,Location.AWAY,INDIANA_PACERS,11,0,422,0,4,0,1,0,0,2,0,0,0,0,1,-3.2
1,2017-10-28,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],1.5,Location.HOME,PHOENIX_SUNS,23,0,452,0,1,0,0,0,0,0,0,1,0,0,0,-1.2
2,2017-11-02,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],1.2,Location.HOME,LOS_ANGELES_LAKERS,13,0,647,0,2,0,1,0,0,0,1,0,0,0,0,-1.9
3,2017-11-13,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],2.2,Location.HOME,DENVER_NUGGETS,7,3,153,1,1,1,1,0,0,0,1,0,0,0,2,1.0
4,2017-11-18,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],-1.0,Location.HOME,SACRAMENTO_KINGS,25,0,96,0,1,0,0,0,0,0,0,0,0,0,1,-2.5
5,2017-11-22,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],2.9,Location.AWAY,PHILADELPHIA_76ERS,22,0,177,0,0,0,0,0,0,0,2,1,0,0,1,-0.1
6,2017-11-30,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,MILWAUKEE_BUCKS,16,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,2017-12-05,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,WASHINGTON_WIZARDS,29,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8,2017-12-09,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],16.9,Location.HOME,HOUSTON_ROCKETS,10,5,1127,2,5,1,2,0,0,2,0,1,0,3,1,4.7
9,2017-12-11,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],27.4,Location.AWAY,GOLDEN_STATE_WARRIORS,9,9,1518,4,9,0,2,1,2,3,4,2,3,0,2,7.2
10,2017-12-13,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],14.6,Location.AWAY,MIAMI_HEAT,15,9,1289,4,9,0,2,1,4,1,2,0,0,1,1,2.5
11,2017-12-15,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],18.7,Location.AWAY,ORLANDO_MAGIC,21,4,1135,2,8,0,1,0,0,2,4,1,0,2,0,3.5
12,2017-12-16,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],14.0,Location.AWAY,CHARLOTTE_HORNETS,3,3,890,1,4,1,1,0,0,1,9,0,0,0,1,2.6
13,2017-12-18,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],16.5,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,7,1265,3,7,1,3,0,0,2,3,1,0,1,1,4.4
14,2017-12-20,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],7.4,Location.HOME,SAN_ANTONIO_SPURS,26,2,832,1,3,0,0,0,0,0,2,0,1,0,0,1.5
15,2017-12-22,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],15.4,Location.HOME,DENVER_NUGGETS,7,10,1078,4,6,1,1,1,2,0,2,2,0,0,0,6.6
16,2017-12-23,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],25.7,Location.AWAY,LOS_ANGELES_LAKERS,13,11,1840,4,6,1,2,2,4,1,5,3,0,2,3,9.1
17,2017-12-28,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],7.800000000000001,Location.HOME,PHILADELPHIA_76ERS,22,1,1024,0,2,0,0,1,2,0,4,2,0,0,1,0.8
18,2017-12-30,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],9.4,Location.AWAY,ATLANTA_HAWKS,0,2,1012,1,6,0,3,0,0,2,0,0,2,0,1,0.2
19,2018-01-01,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],7.9,Location.AWAY,CHICAGO_BULLS,4,4,716,2,5,0,3,0,0,0,2,1,0,0,0,1.4
20,2018-01-02,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],9.4,Location.AWAY,CLEVELAND_CAVALIERS,5,4,349,2,3,0,0,0,0,0,2,0,0,1,0,3.6
21,2018-01-05,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],19.2,Location.HOME,ATLANTA_HAWKS,0,4,1606,1,4,1,3,1,2,1,5,2,1,1,1,3.9
22,2018-01-07,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],12.6,Location.HOME,SAN_ANTONIO_SPURS,26,9,970,4,8,1,4,0,0,0,3,0,0,0,0,5.9
23,2018-01-09,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],20.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,9,1340,4,9,1,3,0,0,1,4,2,1,0,1,6.8
24,2018-01-10,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],5.2,Location.AWAY,HOUSTON_ROCKETS,10,5,861,2,3,1,1,0,0,1,0,0,0,0,1,3.4
25,2018-01-12,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],7.800000000000001,Location.AWAY,NEW_ORLEANS_PELICANS,18,4,723,2,5,0,0,0,0,2,2,0,0,0,1,0.3
26,2018-01-14,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],11.2,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,7,1726,3,5,1,1,0,0,0,1,2,0,0,0,4.4
27,2018-01-16,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],10.9,Location.HOME,PHOENIX_SUNS,23,5,1197,2,4,1,2,0,0,1,1,1,1,0,1,4.7
28,2018-01-18,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],16.1,Location.HOME,INDIANA_PACERS,11,2,989,1,2,0,0,0,0,2,6,1,0,1,0,5.6
29,2018-01-20,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],3.8,Location.HOME,DALLAS_MAVERICKS,6,0,798,0,2,0,1,0,0,0,4,0,0,0,1,-1.6
30,2018-01-22,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],18.4,Location.AWAY,DENVER_NUGGETS,7,7,1176,3,4,1,2,0,0,1,6,0,0,2,3,4.7
31,2018-01-24,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],13.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,8,1136,3,4,2,3,0,0,0,5,0,0,0,1,6.5
32,2018-01-26,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],19.6,Location.AWAY,DALLAS_MAVERICKS,6,9,920,3,5,2,2,1,1,0,3,2,1,1,2,7.1
33,2018-01-30,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],16.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,4,959,2,4,0,0,0,0,1,4,0,1,1,0,4.8
34,2018-01-31,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],12.7,Location.HOME,CHICAGO_BULLS,4,3,1596,1,8,1,4,0,0,0,6,1,0,1,2,-3.0
35,2018-02-02,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],2.2,Location.AWAY,TORONTO_RAPTORS,27,1,625,0,2,0,1,1,2,0,1,0,0,0,0,-2.5
36,2018-02-04,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],9.9,Location.AWAY,BOSTON_CELTICS,1,0,728,0,0,0,0,0,0,0,2,1,0,2,0,2.3
37,2018-02-05,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],6.8,Location.AWAY,DETROIT_PISTONS,8,2,923,1,8,0,3,0,0,0,4,0,0,0,0,-2.0
38,2018-02-08,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],14.1,Location.HOME,CHARLOTTE_HORNETS,3,6,1012,2,6,1,4,1,2,1,2,1,1,0,0,4.4
39,2018-02-09,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],15.0,Location.AWAY,SACRAMENTO_KINGS,25,4,1467,0,6,0,5,4,4,0,5,2,0,1,1,1.6
40,2018-02-11,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],6.9,Location.HOME,UTAH_JAZZ,28,0,855,0,1,0,0,0,0,0,2,3,0,0,0,1.2
41,2018-02-14,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],4.7,Location.HOME,GOLDEN_STATE_WARRIORS,9,3,380,1,1,1,1,0,0,0,1,1,0,0,1,2.3
42,2018-02-23,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],12.3,Location.AWAY,UTAH_JAZZ,28,4,986,2,3,0,1,0,0,1,3,1,0,1,1,4.3
43,2018-02-24,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],10.8,Location.AWAY,PHOENIX_SUNS,23,6,522,2,3,0,0,2,3,1,3,0,0,0,0,5.5
44,2018-02-27,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],16.2,Location.HOME,SACRAMENTO_KINGS,25,8,1085,3,5,2,3,0,0,1,5,0,1,0,2,6.1
45,2018-03-01,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],10.4,Location.HOME,MINNESOTA_TIMBERWOLVES,17,2,1114,1,6,0,2,0,0,0,2,0,1,1,0,-0.7
46,2018-03-03,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],23.5,Location.HOME,OKLAHOMA_CITY_THUNDER,20,12,1699,5,6,2,2,0,0,1,4,1,0,2,2,11.0
47,2018-03-05,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],3.9,Location.AWAY,LOS_ANGELES_LAKERS,13,0,548,0,1,0,1,0,0,0,2,1,0,0,0,-1.0
48,2018-03-06,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],16.0,Location.HOME,NEW_YORK_KNICKS,19,5,1351,1,7,1,3,2,2,4,6,2,0,0,4,1.3
49,2018-03-09,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],20.3,Location.HOME,GOLDEN_STATE_WARRIORS,9,12,1543,5,6,1,2,1,1,1,3,1,1,0,1,10.9
50,2018-03-12,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],16.8,Location.HOME,MIAMI_HEAT,15,10,963,3,5,2,3,2,2,0,4,0,0,1,1,8.2
51,2018-03-15,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],5.6,Location.HOME,CLEVELAND_CAVALIERS,5,2,474,1,3,0,0,0,0,2,1,0,0,0,0,2.0
52,2018-03-17,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],12.1,Location.HOME,DETROIT_PISTONS,8,5,1037,2,5,1,4,0,0,0,3,1,1,0,1,3.5
53,2018-03-18,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],5.4,Location.AWAY,LOS_ANGELES_CLIPPERS,12,4,911,1,5,1,3,1,2,0,2,0,0,0,1,-1.5
54,2018-03-20,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],5.6,Location.HOME,HOUSTON_ROCKETS,10,4,768,2,5,0,1,0,0,1,2,0,0,0,2,0.6
55,2018-03-23,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],6.8,Location.HOME,BOSTON_CELTICS,1,0,938,0,3,0,2,0,0,1,3,0,0,1,1,-2.0
56,2018-03-25,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],6.7,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,2,622,1,3,0,2,0,0,0,1,1,0,1,1,1.0
57,2018-03-27,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],4.7,Location.AWAY,NEW_ORLEANS_PELICANS,18,2,754,0,2,0,1,2,2,0,1,1,0,0,0,1.2
58,2018-03-28,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],14.899999999999999,Location.AWAY,MEMPHIS_GRIZZLIES,14,10,1336,4,6,2,3,0,0,1,1,1,0,1,2,7.4
59,2018-03-30,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],25.4,Location.HOME,LOS_ANGELES_CLIPPERS,12,15,1262,7,10,0,1,1,1,0,2,4,0,1,1,12.3
60,2018-04-01,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],14.1,Location.HOME,MEMPHIS_GRIZZLIES,14,7,1138,2,8,2,5,1,2,1,2,1,0,1,1,3.1
61,2018-04-03,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],16.9,Location.AWAY,DALLAS_MAVERICKS,6,8,1382,4,9,0,4,0,0,1,6,1,0,0,1,5.1
62,2018-04-05,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],5.1,Location.AWAY,HOUSTON_ROCKETS,10,1,911,0,4,0,1,1,2,1,2,1,0,0,1,-2.0
63,2018-04-07,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],4.6,Location.AWAY,SAN_ANTONIO_SPURS,26,2,1182,1,4,0,2,0,0,1,2,0,0,0,1,-0.5
64,2018-04-09,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],4.4,Location.AWAY,DENVER_NUGGETS,7,3,799,1,4,1,3,0,0,0,2,0,0,0,1,-1.0
65,2018-04-11,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],13.3,Location.HOME,UTAH_JAZZ,28,2,1108,1,3,0,1,0,0,0,4,1,1,1,1,2.1
66,2018-10-18,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],33.2,Location.HOME,LOS_ANGELES_LAKERS,13,6,1579,3,4,0,1,0,0,1,5,2,0,6,1,9.2
67,2018-10-20,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],18.0,Location.HOME,SAN_ANTONIO_SPURS,26,11,923,4,5,2,3,1,2,1,4,0,1,0,2,8.0
68,2018-10-22,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],17.0,Location.HOME,WASHINGTON_WIZARDS,29,7,1156,2,6,0,1,3,4,2,3,0,0,2,2,4.1
69,2018-10-25,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],35.2,Location.AWAY,ORLANDO_MAGIC,21,17,1060,7,7,2,2,1,1,2,4,2,2,1,1,19.0
70,2018-10-27,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],23.8,Location.AWAY,MIAMI_HEAT,15,13,1428,2,4,1,2,8,8,1,3,0,0,2,0,12.4
71,2018-10-29,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],27.1,Location.AWAY,INDIANA_PACERS,11,17,1616,7,10,1,2,2,2,0,3,3,0,1,1,14.7
72,2018-10-30,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],22.3,Location.AWAY,HOUSTON_ROCKETS,10,7,1433,3,7,0,1,1,1,1,3,3,1,2,3,4.4
73,2018-11-01,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],14.7,Location.HOME,NEW_ORLEANS_PELICANS,18,9,1037,3,8,2,4,1,2,1,0,1,0,1,0,4.7
74,2018-11-03,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],13.7,Location.HOME,LOS_ANGELES_LAKERS,13,10,1071,5,10,0,3,0,2,0,1,1,0,1,2,3.1
75,2018-11-04,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],11.4,Location.HOME,MINNESOTA_TIMBERWOLVES,17,11,1107,2,5,1,2,6,6,0,2,0,0,0,2,5.7
76,2018-11-06,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],11.0,Location.HOME,MILWAUKEE_BUCKS,16,9,1450,3,5,1,3,2,2,2,3,0,0,0,4,4.6
77,2018-11-08,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],19.799999999999997,Location.HOME,LOS_ANGELES_CLIPPERS,12,10,1594,3,6,0,1,4,4,3,6,0,0,0,1,9.1
78,2018-11-11,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],17.1,Location.HOME,BOSTON_CELTICS,1,6,1209,3,6,0,1,0,0,5,3,1,0,0,0,7.7
79,2018-11-14,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],9.0,Location.AWAY,LOS_ANGELES_LAKERS,13,5,958,2,7,1,4,0,0,0,0,0,1,1,2,-0.2
80,2018-11-16,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],13.6,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,5,1411,2,5,1,2,0,0,1,7,0,0,0,1,3.3
81,2018-11-18,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],14.100000000000001,Location.AWAY,WASHINGTON_WIZARDS,29,7,777,2,3,0,1,3,3,0,3,3,0,1,4,3.0
82,2018-11-20,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],3.7,Location.AWAY,NEW_YORK_KNICKS,19,2,790,1,4,0,1,0,0,0,1,1,0,0,1,-2.4
83,2018-11-21,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],18.8,Location.AWAY,MILWAUKEE_BUCKS,16,8,1096,3,4,2,2,0,0,2,2,0,1,1,0,9.3
84,2018-11-23,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],12.799999999999997,Location.AWAY,GOLDEN_STATE_WARRIORS,9,0,1086,0,4,0,1,0,0,2,7,2,1,0,4,-1.3
85,2018-11-25,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],24.6,Location.HOME,LOS_ANGELES_CLIPPERS,12,9,1150,4,7,0,1,1,1,1,2,2,0,3,0,8.1
86,2018-11-28,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],14.4,Location.HOME,ORLANDO_MAGIC,21,7,1265,3,6,1,3,0,0,3,4,0,0,0,1,5.1
87,2018-11-30,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],15.5,Location.HOME,DENVER_NUGGETS,7,5,683,2,5,0,1,1,1,3,2,1,0,1,0,4.8
88,2018-12-02,colliza01,Zach Collins,169,[<Position.CENTER: 'CENTER'>],5.7,Location.AWAY,SAN_ANTONIO_SPURS,26,4,683,2,5,0,2,0,0,0,1,1,0,0,1,0.1
