,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-28,cookech01,Charles Cooke,173,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.0,Location.HOME,CLEVELAND_CAVALIERS,5,2,176,1,4,0,2,0,0,0,0,0,1,0,0,0.6
1,2017-11-15,cookech01,Charles Cooke,173,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.HOME,TORONTO_RAPTORS,27,0,130,0,0,0,0,0,0,0,0,1,0,0,0,0.7
2,2017-12-11,cookech01,Charles Cooke,173,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,HOUSTON_ROCKETS,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,2017-12-19,cookech01,Charles Cooke,173,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.0,Location.AWAY,WASHINGTON_WIZARDS,29,4,234,1,1,1,1,1,2,0,0,0,0,0,0,3.3
4,2017-12-22,cookech01,Charles Cooke,173,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],-1.0,Location.AWAY,ORLANDO_MAGIC,21,0,321,0,2,0,1,0,0,0,0,0,0,0,1,-2.4
5,2017-12-23,cookech01,Charles Cooke,173,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,MIAMI_HEAT,15,0,209,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
6,2018-02-03,cookech01,Charles Cooke,173,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,0,107,0,1,0,1,0,0,0,1,0,0,0,0,-0.4
7,2018-02-12,cookech01,Charles Cooke,173,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,DETROIT_PISTONS,8,0,70,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
8,2018-02-14,cookech01,Charles Cooke,173,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,LOS_ANGELES_LAKERS,13,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,2018-03-18,cookech01,Charles Cooke,173,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,BOSTON_CELTICS,1,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,2018-03-24,cookech01,Charles Cooke,173,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,HOUSTON_ROCKETS,10,0,393,0,2,0,1,0,0,0,1,0,0,0,0,-1.1
11,2018-04-06,cookech01,Charles Cooke,173,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,PHOENIX_SUNS,23,0,210,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
12,2018-04-11,cookech01,Charles Cooke,173,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,SAN_ANTONIO_SPURS,26,0,65,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
